tag,country_name,desired_2d2,pre_3d_conscripts,3d_added_conscripts,3d_effective_scripted_total,true_native_max,structural_defer,final_scripted_target,r1_delta,final_effective_conscripts,status,notes
ACE,Aceh,4,0,2,2,4,NO,4,2,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
AGC,Angoche,12,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
AIT,Ait Abbas,2,0,1,1,3,NO,2,1,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
ALK,Alaska,0,0,0,0,2,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
ANH,Anhalt,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
ANK,Ankole,3,0,1,1,3,NO,3,2,3,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
ARB,Arabistan,8,0,2,2,5,NO,5,3,5,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
ASH,Ashanti,50,0,7,7,13,NO,13,6,13,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
AUS,Austria,70,0,39,39,51,NO,51,12,51,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
AWA,Awadh,55,0,7,7,13,NO,13,6,13,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BAD,Baden,4,0,3,3,4,NO,4,1,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BAL,Bali,8,0,5,5,9,NO,8,3,8,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BAV,Bavaria,4,0,4,4,12,NO,4,0,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BEN,Benin,24,0,11,11,19,NO,19,8,19,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BEO,Austrian Netherlands (BEO/Belgium),12,0,0,0,11,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
BGI,Bagirmi,3,0,0,0,2,NO,2,2,2,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
