"record_id","subject","relative_path","fork_value","hotfix_value","vanilla_value","changelog_evidence","classification","priority","protected_overlap","candidate_action","rollback","evidence","runtime_required"
"DEI-001","Canonical event inventory","events/dei_breakup.txt","9828 bytes; SHA256 D960CB892DE0B4C60A54553DB48640DD53CCF6A768C21EDCC5E317419E829591","10822 bytes; SHA256 D4742B8960F93833B01527A83123CAB02A72E476DE4113E7313E3EBC6855A5EE","10757 bytes; SHA256 5E5780EAEEF9BC7113AEE9D6BE755E715B12D880696364C9F6E2B5D2148657EA","Lines 12-13","UNVERIFIED","P0","none","Resolve scoped DEI hunks only; never replace whole file","No gameplay applied","Canonical inventory line 333; hotfix/vanilla differ only in ALK section outside DEI","false"
"DEI-002","Cape Colony and Ceylon breakup outcome","events/dei_breakup.txt:42-102; common/history/states/00_states.txt; dependent buildings and pops","Fork equals hotfix setup; loop requires candidate subject of DEI or Malay-primary-culture country","Same as fork","Vanilla event loop same; 1836 setup differs","Line 12","UNVERIFIED","P0","ADMIN;BIC;STATE_HISTORY","Resolve exact recipient and transfer hunks in 6A.3R","Restore exact current blocks if a later correction is reverted","Block hashes fork=hotfix for Ceylon/Eastern Cape/Cape Colony; DEI subjects only YOG/SRK/COC; independence.2 transfers no state","true_after_fix"
"DEI-003","No Malaya name on independence","common/dynamic_country_names/00_dynamic_country_names.txt:23-42,1507-1522; common/history/countries/dei - dutch east indies company.txt:39-41","DEI excluded from colonial_admin_malaya; East Indies dynamic name only while subject","Same as fork","DEI dynamic block equivalent; mod DEFAULT extension absent","Line 13 and line 70","ALREADY_MERGED_EQUIVALENT","P3","localization","Preserve","Not applicable","Exact fork/hotfix blocks; relevant English keys already present","false"
"DEI-004","DEI industrialist leader/setup","common/history/characters/dei - dutch east indies.txt; common/character_templates/country_dei.txt; common/history/countries/dei - dutch east indies company.txt","Exact files equal hotfix","Exact files equal fork","Different 1836 baseline","Line 34 and line 73","ALREADY_MERGED_EQUIVALENT","P3","none","Preserve 1776 setup","Not applicable","SHA256 equality fork/hotfix for all three files","false"
"DEI-005","DEI building ownership in Ceylon","common/history/buildings/10_india.txt:STATE_CEYLON","DEI region_state and DEI-owned buildings","Same as fork","1836 block differs","Line 35","ALREADY_MERGED_EQUIVALENT","P3","ADMIN;BIC;MARATH","Preserve","Not applicable","Block SHA256 fork=hotfix 36ADEDF838B6F1277E233D512A0C470C2A9BAA995FA6A028E71BCBC3FAC81252","false"
"DEI-006","Sunni devout reset for JAV","events/dei_breakup.txt:103-113","No ig_devout block","Set Sunni Ulema name plus pious_fiction/sharia/da_wat traits","Same as hotfix","No direct custom changelog hunk","VANILLA_1_13_ALREADY_PROVIDES","P1","none","Decide targeted alignment in 6A.3R","Remove only the inserted ig_devout block","Exact hotfix/vanilla equality; objects and localization exist in vanilla 1.13","true_after_fix"
"DEI-007","Primary cultures and characters for JAV","events/dei_breakup.txt:108-136 excluding trigger_event","Remove only Dutch; kill Dutch non-immortal","Remove every primary culture; retire matching characters; retire remaining Dutch","Same as hotfix","No direct custom changelog hunk","VANILLA_1_13_ALREADY_PROVIDES","P1","none","Decide targeted alignment in 6A.3R","Restore fork remove_primary_culture and kill_character block","Exact hotfix/vanilla equality and analogous vanilla bic_breakup APIs","true_after_fix"
"DEI-008","Sunni devout reset for IDN","events/dei_breakup.txt:133-160","No ig_devout block","Set Sunni Ulema name plus pious_fiction/sharia/da_wat traits","Same as hotfix","No direct custom changelog hunk","VANILLA_1_13_ALREADY_PROVIDES","P1","none","Decide targeted alignment in 6A.3R","Remove only the inserted ig_devout block","Exact hotfix/vanilla equality; objects and localization exist in vanilla 1.13","true_after_fix"
"DEI-009","Primary cultures religion and characters for IDN","events/dei_breakup.txt:138-182 excluding trigger_event","Remove only Dutch; add eight cultures; kill Dutch; no religion reset","Remove all primary cultures and matching characters; add eight cultures; set Sunni","Same as hotfix","No direct custom changelog hunk","VANILLA_1_13_ALREADY_PROVIDES","P1","none","Decide targeted alignment in 6A.3R","Restore exact fork culture character and religion block","Exact hotfix/vanilla equality and valid 1.13 APIs","true_after_fix"
"DEI-010","Delayed independence event for JAV","events/dei_breakup.txt:120 / hotfix:137","trigger_event independence.2 without delay","trigger_event independence.2 days=1","Same as hotfix","No direct custom changelog hunk","VANILLA_1_13_ALREADY_PROVIDES","P1","none","Resolve with DEI-007","Remove days=1","Exact hotfix/vanilla equality","true_after_fix"
