Technology_ID,Current_Classification,Reported_Issue,Regions_Reporting,TAG_Count,Historical_Evidence_Summary,Current_Gameplay_Unlocks,Problem_Type,Recommendation,Suggested_Classification,Priority
advanced_crop_rotations,B,CLASSIFICATION_TOO_LATE,EAST_ASIA_SE_ASIA;SOUTH_ASIA,24,"Rotations, double/multiple cropping et systèmes d’enrichissement des sols sont antérieurs à 1776 en Asie orientale; le nœud B est trop tardif si interprété génériquement. Les sources décrivent en Inde précoloniale la rotation des cultures et la connaissance de",Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_TOO_LATE,RECLASSIFY,A sélective,MEDIUM
advanced_spinning,B,MIXED_CONCEPT,AMERICAS_CARIBBEAN;CENTRAL_EUROPE_GERMAN_ITALY;NORTHERN_EASTERN_EUROPE;OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA;WESTERN_EUROPE,167,Le nœud 'Industrial Spinning' débloque notamment des machines à coudre et représente une étape industrielle nettement postérieure au cutoff local. Le gameplay du nœud débloque les machines à coudre; cette capacité est nettement postérieure à 1776 malgré le lib,inclut les machines à coudre du XIXe siècle,MIXED_CONCEPT,MOVE_UNLOCKS,B pour la filature avancée; D pour les machines à coudre,HIGH
casemated_fortifications,C,CLASSIFICATION_REVIEW,WESTERN_EUROPE,2,"Casemated elements existed in French fortification practice before 1776, within the Vauban-era fortified system. The C date is too late for the underlying capability, while the exact reinforced naval-fortification PM remains an abstraction. Luxembourg's first",Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_REVIEW,RECLASSIFY,B/C sélective,MEDIUM
classical_political_economy,B,CLASSIFICATION_TOO_EARLY,CENTRAL_EUROPE_GERMAN_ITALY;WESTERN_EUROPE,51,"Au 1er janvier 1776, le système 'classique' associé au libre-échange smithien n'est pas encore pleinement formulé; les réformes physiocratiques rendent certains cas REVIEW. Au 1er janvier 1776, le système 'classique' associé au libre-échange smithien n'est pas",Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_TOO_EARLY,RECLASSIFY,C ou scission doctrinale,HIGH
clinicopathological_medicine,C,CLASSIFICATION_REVIEW,CENTRAL_EUROPE_GERMAN_ITALY,2,"CLASSIFICATION_REVIEW: à Padoue, Morgagni publie en 1761 la méthode anatomoclinique reliant systématiquement symptômes et lésions; le libellé du nœud correspond donc à une capacité pré-1776. CLASSIFICATION_REVIEW: la première école viennoise pratique avant 177",Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_REVIEW,KEEP_CLASS,C,HIGH
condensing_steam_engines,B,CLASSIFICATION_TOO_EARLY,NORTHERN_EASTERN_EUROPE,10,Pas de preuve suffisante au 1er janvier 1776 d’une capacité locale correspondant à moteurs à condensation séparée de type Watt.,Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_TOO_EARLY,RECLASSIFY,C,HIGH
constitutional_government,B,CLASSIFICATION_TOO_LATE,NORTHERN_EASTERN_EUROPE,3,Capacité établie avant le 1er janvier 1776: gouvernement constitutionnel avec règles fondamentales formalisées. La localité appartient au Commonwealth constitutionnel; ne pas confondre avec le régime de la future Ville libre.,Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_TOO_LATE,RECLASSIFY,A/B sélective,MEDIUM
cotton_gin,C,CLASSIFICATION_REVIEW,SOUTH_ASIA,31,"Le churka/charki à rouleaux est une technologie indienne de longue durée antérieure à 1776. Le nœud C représente donc au moins partiellement une capacité déjà établie, alors que son parent mechanized_spinning encode un chemin industriel européen inadapté.",Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_REVIEW,KEEP_CLASS,C,HIGH
crystal_glass,C,CLASSIFICATION_REVIEW,WESTERN_EUROPE,1,George Ravenscroft developed lead crystal glass and operated dedicated glasshouses from 1673-1675; the C classification is much later than the capability represented by the crystal-glass PM.,Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_REVIEW,RECLASSIFY,B/C sélective,MEDIUM
hydraulic_cements,C,CLASSIFICATION_REVIEW,WESTERN_EUROPE,1,"Smeaton's Eddystone work in the 1750s used experimentally selected hydraulic lime/pozzolana mortar. The historical process predates 1776, but the node's industrial cement-work bundle is broader, so classification needs review.",Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_REVIEW,KEEP_CLASS,C,MEDIUM
hydrographic_surveying,C,CLASSIFICATION_REVIEW,WESTERN_EUROPE,1,France created the Dépôt des cartes et plans de la Marine in 1720 and had an official hydrographic charting service well before 1776. The C classification therefore deserves review.,Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_REVIEW,KEEP_CLASS,C,MEDIUM
improved_agricultural_implements,B,CLASSIFICATION_TOO_LATE,EAST_ASIA_SE_ASIA,3,Outils agricoles métalliques et perfectionnements agronomiques sont établis bien avant 1776; le caractère « frontier » est trop eurocentré si le nœud signifie simplement des outils améliorés.,Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_TOO_LATE,RECLASSIFY,A/B sélective,MEDIUM
industrial_acids,A,MIXED_CONCEPT,AMERICAS_CARIBBEAN;EAST_ASIA_SE_ASIA,102,"Des acides sont connus artisanalement, mais le nœud débloque une industrie chimique/explosifs qui n'est pas une capacité industrielle locale de 1776. Le nœud débloque chemical plant/chemical works/explosives factory: la fabrication préindustrielle d’acides ne",industrie chimique et chaîne d’explosifs intégrée,MIXED_CONCEPT,SPLIT_TECH,A/B pour les acides historiques; déplacer l’industrie chimique/explosifs intégrée,HIGH
industrial_canals,B,CLASSIFICATION_TOO_LATE,EAST_ASIA_SE_ASIA,2,"Le Grand Canal et les réseaux hydrauliques Qing supportent transport fiscal et commercial à très grande échelle; si le nœud signifie une infrastructure de canal économique, la capacité est ancienne. Edo/Osaka disposent de réseaux de canaux artificiels organisa",Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_TOO_LATE,REDEFINE_TECH,"B, mais définition mondiale préindustrielle",HIGH
industrial_ceramics,B,CLASSIFICATION_TOO_LATE,EAST_ASIA_SE_ASIA,1,Jingdezhen est un centre de production céramique à grande échelle avec main-d’œuvre spécialisée et marchés globaux bien avant 1776; le classement frontier est trop tardif pour la composante céramique.,Voir les définitions gameplay chargées et les motifs régionaux.,CLASSIFICATION_TOO_LATE,RECLASSIFY,A/B sélective,LOW
mechanized_weaving,B,CLASSIFICATION_TOO_EARLY,AMERICAS_CARIBBEAN;CENTRAL_EUROPE_GERMAN_ITALY;NORTHERN_EASTERN_EUROPE;OCEANIA_PACIFIC;OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA;WESTERN_EUROPE,206,Le contenu du nœud renvoie aux métiers mécaniques de la phase suivante de mécanisation textile; aucune implantation locale américaine pertinente n'est attestée au cutoff. Les métiers mécaniques industriels représentés par ce nœud sont postérieurs au cutoff; le,métiers mécaniques/power loom postérieurs au cutoff,CLASSIFICATION_TOO_EARLY,RECLASSIFY,C,HIGH
medical_degrees,B,CLASSIFICATION_TOO_LATE,AFRICA;AMERICAS_CARIBBEAN;CENTRAL_EUROPE_GERMAN_ITALY;EAST_ASIA_SE_ASIA;NORTHERN_EASTERN_EUROPE;OCEANIA_PACIFIC;OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA;WESTERN_EUROPE,158,Al-Qarawiyyin et la tradition de l’ijaza fournissent un précédent institutionnel de formation et certification médicales très antérieur à 1776; le nœud ne doit pas être lu comme diplôme moderne du XIXe siècle. Tunis conserve des institutions médicales arabo-is,formation/certification médicale institutionnelle,CLASSIFICATION_TOO_LATE,RECLASSIFY,A sélective,HIGH
