modifier_key,exists_vanilla_1_13_9,mechanical_effect,scope,merchant_navy_interaction,throughput_or_cost,minus_10_assessment,minus_15_assessment,recommendation,recommended_value,notes
country_ship_construction_goods_cost_mult,YES,"changes the monetary/material cost of ship-construction goods",all ship construction,"orthogonal to Merchant Navy construction-efficiency profile",COST,"meaningful and bounded first value","50 percent stronger without a vanilla balance precedent",USE,-0.10,"Best exact match for military and supply/civilian ship construction; refit coverage still needs runtime verification"
country_ship_construction_efficiency_add,YES,"changes construction required per unit of ship progress",all ship construction,"Merchant Navy already applies -0.10 globally",EFFICIENCY,"would cancel the law's intended global penalty if added positively","would over-cancel it further",REJECT,0.00,"Not the requested monetary construction-cost modifier"
country_ship_group_supply_ships_construction_efficiency_add,YES,"changes construction efficiency for supply ships",supply ship group,"Merchant Navy already applies +0.30",EFFICIENCY,"duplicate specialization","larger duplicate specialization",KEEP_VANILLA_ONLY,0.00,"With the law's global -0.10 this produces an additive net +0.20 for the group"
country_ship_type_troop_ship_construction_efficiency_add,YES,"changes construction efficiency for troop ships",troop ship type,"Merchant Navy already applies +0.30",EFFICIENCY,"duplicate specialization","larger duplicate specialization",KEEP_VANILLA_ONLY,0.00,"With the law's global -0.10 this produces an additive net +0.20 for the type"
country_ship_construction_add,YES,"adds weekly ship-construction amount",all ship construction,"would stack as extra progress",PROGRESS,"does not express a percent cost reduction","does not express a percent cost reduction",REJECT,0.00,"Wrong dimension"
country_ship_construction_progress_max_add,YES,"adds to maximum progress deliverable to one ship project",all ship construction,"would stack as a speed-cap increase",PROGRESS_CAP,"does not reduce total material cost","does not reduce total material cost",REJECT,0.00,"Wrong dimension"
country_ship_construction_progress_max_mult,YES,"multiplies maximum progress deliverable to one ship project",all ship construction,"would stack as a speed-cap increase",PROGRESS_CAP,"does not reduce total material cost","does not reduce total material cost",REJECT,0.00,"Wrong dimension"
building_shipyard_throughput_add,YES,"changes both shipyard inputs and outputs",shipyard buildings,"independent building bonus",THROUGHPUT,"increases production and consumption together","stronger production and consumption together",REJECT,0.00,"Not a construction-cost reduction and may distort civilian production"
building_military_shipyard_throughput_add,YES,"changes both military shipyard inputs and outputs",military shipyard buildings,"independent military-building bonus",THROUGHPUT,"military-only and not cost","military-only and not cost",REJECT,0.00,"Fails the requested military plus merchant-marine scope"
country_navy_goods_cost_mult,YES,"changes navy operating-goods cost",active navy,"used at -0.10 by Professional Navy rather than Merchant Navy",OPERATING_COST,"maintenance rather than construction","maintenance rather than construction",REJECT,0.00,"Wrong lifecycle stage"
refit_specific_construction_cost_modifier,NOT_FOUND,"no exact generic refit-cost key confirmed in audited definitions",refit/modification,UNKNOWN,UNKNOWN,"cannot claim coverage","cannot claim coverage",DEFER,0.00,"Validate country_ship_construction_goods_cost_mult during a refit before documenting refits as covered"
