state_region_id,state_numeric_id,display_name_fr,macro_region,category_1776,spice_plantation_potential,starting_level_1776,primary_spices_abstracted,historical_status_1776,design_rationale,source_refs
STATE_MOLUCCAS,549,Moluques,Indonésie,A_CORE_1776,45,15,cloves; nutmeg; mace,"Centre mondial historique des clous de girofle, muscade et macis sous contrôle VOC en 1776.",Cœur absolu du bien spices; forte concentration de potentiel et de production initiale.,HIST-01;HIST-02;BR-01
STATE_CEYLON,469,Ceylan,Inde / Océan Indien,A_CORE_1776,40,12,cinnamon,Grand centre de cannelle contrôlé par la VOC; exportations massives bien établies avant 1776.,Deuxième grand pôle mondial; doit être immédiatement visible sur le marché.,HIST-02;BR-01
STATE_TRAVANCORE,474,Travancore,Inde du Sud,A_CORE_1776,35,10,black pepper; cardamom,"Côte de Malabar / Ghâts occidentaux, cœur ancien du poivre et des épices indiennes.",Production très importante attestée autour de 1760; potentiel élevé et production initiale forte.,HIST-03;HIST-04;BR-01
STATE_ACEH,547,Aceh,Sumatra,A_CORE_1776,30,8,black pepper,Districts poivriers du nord de Sumatra stratégiques dans le commerce de la fin du XVIIIe siècle.,"Pôle majeur du poivre, distinct du monopole des épices fines des Moluques.",HIST-05;HIST-06;BR-01
STATE_SOUTH_SUMATRA,914,Sud de Sumatra,Sumatra,A_CORE_1776,30,8,black pepper,Palembang/Jambi et le sud de Sumatra appartiennent à l'ancien espace majeur du commerce du poivre.,"Potentiel élevé, avec production initiale significative mais moins concentrée que les Moluques.",HIST-06;HIST-07;BR-01
STATE_NORTH_SUMATRA,546,Nord de Sumatra,Sumatra,A_CORE_1776,24,6,black pepper,Zone de culture et d'exportation du poivre reliée à Aceh et aux réseaux de Sumatra.,Complète Aceh sans écraser la spécialisation régionale.,HIST-05;HIST-06;BR-01
STATE_MALAYA,540,Malaisie,Péninsule malaise,A_CORE_1776,22,5,black pepper,Johor et la péninsule malaise voient une culture chinoise du poivre attestée dès les années 1720.,Pôle ancien mais plus diffus que Sumatra/Malabar.,HIST-08;HIST-06;BR-01
STATE_MYSORE,473,Mysore,Inde du Sud,A_CORE_1776,18,4,black pepper; cardamom,Ghâts occidentaux et arrière-pays de la côte poivrière de Malabar.,Production intérieure importante mais moins directement exportatrice que Travancore.,HIST-03;HIST-04;BR-01
STATE_WEST_JAVA,544,Java occidental,Java,B_SECONDARY_1776,18,4,black pepper,Java fait partie des régions historiques de production/commerce du poivre dans l'archipel.,Production réelle mais secondaire face à Sumatra et aux Moluques.,HIST-06;BR-01
STATE_CENTRAL_JAVA,912,Java central,Java,B_SECONDARY_1776,12,2,black pepper; aromatic spices,Climat favorable et intégration ancienne aux réseaux d'épices javanais.,Production initiale limitée pour éviter de transformer toute Java en cœur des épices.,HIST-06;BR-01
