TAG,Country,Region,Subregion,Current_Tier,Tier_Action,Recommended_Tier,Technology_ID,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Note,Gameplay_Note,Reason,Source_1,Source_2
MICC,Michigan Tribal Confederation,Amériques et Caraïbes,Atlantic Coast,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,codified_practical_knowledge,TIER,REMOVE,MEDIUM,ABSENT,"Prérequis non résolus sans importance pratique car le nœud est recommandé REMOVE: institutionalized_scientific_exchange, periodical_print_networks.",—,"Le nœud implique une industrie, artillerie, mine ou bureaucratie de type colonial/étatique non démontrée localement en 1776.",https://www.nps.gov/articles/erosion-of-the-middle-ground.htm,https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/articles-and-essays/timeline/1775/
MICC,Michigan Tribal Confederation,Amériques et Caraïbes,Atlantic Coast,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,distillation,TIER,REMOVE,MEDIUM,ABSENT,—,"PM:pm_pot_stills, PM:pm_spiced_food_preparations","Le nœud implique une industrie, artillerie, mine ou bureaucratie de type colonial/étatique non démontrée localement en 1776.",https://www.nps.gov/articles/erosion-of-the-middle-ground.htm,https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/articles-and-essays/timeline/1775/
MICC,Michigan Tribal Confederation,Amériques et Caraïbes,Atlantic Coast,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,improved_husbandry,TIER,KEEP,MEDIUM,SECTORAL,—,"bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bât…","Agriculture/horticulture ou gestion animale locale possible, mais le paquet de PM agricoles du jeu n'est pas un équivalent exact.",https://www.nps.gov/articles/erosion-of-the-middle-ground.htm,https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/articles-and-essays/timeline/1775/
MICC,Michigan Tribal Confederation,Amériques et Caraïbes,Atlantic Coast,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,international_relations,TIER,KEEP,MEDIUM,ABSTRACT,—,—,"Diplomatie, commerce et relations inter-polités sont établis; le nœud est une abstraction institutionnelle.",https://www.nps.gov/articles/erosion-of-the-middle-ground.htm,https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/articles-and-essays/timeline/1775/
MICC,Michigan Tribal Confederation,Amériques et Caraïbes,Atlantic Coast,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,light_infantry_tactics,TIER,KEEP,MEDIUM,ABSTRACT,Prérequis directs manquants après recommandation: regulated_small_arms. Ne pas les auto-ajouter; traiter l’incohérence dans l’arbre ou revoir le nœud.,—,"Tactiques de guerre mobile et connaissance du terrain sont réelles; conservation comme abstraction militaire, sans supposer une armée européenne standardisée.",https://www.nps.gov/articles/erosion-of-the-middle-ground.htm,https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/articles-and-essays/timeline/1775/
MICC,Michigan Tribal Confederation,Amériques et Caraïbes,Atlantic Coast,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,organized_textile_production,TIER,REVIEW,MEDIUM,ABSTRACT,—,"PM:pm_craftsman_sewing, bâtiment:building_textile_mill","Production textile/artisanale locale possible, mais le nœud débloque une filière de type manufacture qui peut surreprésenter la réalité.",https://www.nps.gov/articles/erosion-of-the-middle-ground.htm,https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/articles-and-essays/timeline/1775/
MICC,Michigan Tribal Confederation,Amériques et Caraïbes,Atlantic Coast,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,regulated_small_arms,TIER,REMOVE,MEDIUM,ABSENT,Prérequis non résolus sans importance pratique car le nœud est recommandé REMOVE: scientific_fortification_siegecraft.,"bâtiment:building_arms_industry, bâtiment:building_artillery_foundry","Le nœud implique une industrie, artillerie, mine ou bureaucratie de type colonial/étatique non démontrée localement en 1776.",https://www.nps.gov/articles/erosion-of-the-middle-ground.htm,https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/articles-and-essays/timeline/1775/
MICC,Michigan Tribal Confederation,Amériques et Caraïbes,Atlantic Coast,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,shaft_mining,TIER,REMOVE,MEDIUM,ABSENT,—,"bâtiment:building_coal_mine, bâtiment:building_copper_mine, bâtiment:building_iron_mine, bâtiment:building_lead_mine, bâtiment:building_limestone_quarry, bâtiment:building_salt_mine, bâtiment:building_sulfur…","Le nœud implique une industrie, artillerie, mine ou bureaucratie de type colonial/étatique non démontrée localement en 1776.",https://www.nps.gov/articles/erosion-of-the-middle-ground.htm,https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/articles-and-essays/timeline/1775/
MICC,Michigan Tribal Confederation,Amériques et Caraïbes,Atlantic Coast,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,standardized_field_artillery,TIER,REMOVE,MEDIUM,ABSENT,Prérequis non résolus sans importance pratique car le nœud est recommandé REMOVE: regulated_small_arms.,PM:pm_cannons,"Le nœud implique une industrie, artillerie, mine ou bureaucratie de type colonial/étatique non démontrée localement en 1776.",https://www.nps.gov/articles/erosion-of-the-middle-ground.htm,https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/articles-and-essays/timeline/1775/
MICC,Michigan Tribal Confederation,Amériques et Caraïbes,Atlantic Coast,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,systematic_administrative_statistics,TIER,REMOVE,MEDIUM,ABSENT,—,"bâtiment:building_government_administration, décret:decree_emergency_relief, décret:decree_road_maintenance","Le nœud implique une industrie, artillerie, mine ou bureaucratie de type colonial/étatique non démontrée localement en 1776.",https://www.nps.gov/articles/erosion-of-the-middle-ground.htm,https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/articles-and-essays/timeline/1775/
