"tag","cleanup2c1_status","runtime_observation","name_problem","title_problem","company_problem","hotfix_action","exact_character_after_hotfix","exact_title_after_hotfix","government_after_hotfix","company_cadre_after_hotfix","deferred_status","files_touched","static_validation","notes"
"USA","CORRECTED_AND_IMPLEMENTED","Displayed as John Hancock Claggett; historical first identity loaded but generated surname appended.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","John Hancock","President of the Continental Congress","gov_cleanup2c1_usa","NOT_APPLICABLE","NOT_DEFERRED","common/character_templates/country_usa.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The fork's combination 'British colony + Washington as President' is internally and historically contradictory. Independence was not declared until July 1776."
"DEI","CORRECTED_AND_IMPLEMENTED","Random company cadre Luuk Heldring displayed; the forced Jeremias van Riemsdijk country-ruler workaround did not control the corporate layer.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES -- obsolete forced company government architecture","YES -- forced country ruler/custom government did not control the native company executive pool","Removed direct country-ruler/custom-government workaround; registered a guaranteed historical candidate in the native company executive pool with company + executive_usage.","Egbert de Vrij Temminck","VOC Director / Bewindhebber, Amsterdam Chamber","gov_chartered_company (native Victoria 3 1.13)","Egbert de Vrij Temminck -- historical executive candidate for company_dutch_east_india_company; one-character abstraction of collective VOC governance","NOT_DEFERRED","common/character_templates/country_dei.txt; common/history/characters/dei - dutch east indies.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","VOC governance was collective through the Heeren XVII. Egbert de Vrij Temminck is a one-character Victoria 3 abstraction of the Amsterdam Chamber director layer, not a President, CEO, monarch or Governor-General."
"AGC","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","IDENTITY_RESEARCH_DEFERRED_PROCEDURAL_ALLOWED","None (content preserved)","PASS -- deferred identity not forced","The polity is historical; accessible scholarship supports its structure but did not yield a secure named holder specifically on 1776-01-01."
"AIT","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","IDENTITY_MAP_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","Late-18th-century authority was associated with the Mokrani lineage, but the exact holder for the start date is not sufficiently secure."
"ANK","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Rwabirere","Omugabe","gov_cleanup2c1_ank","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler chronologies place Rwabirere roughly 1755–1783; precise life dates are not secure."
"ASH","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Displayed as King Osei Kwadwo Bonsu instead of Osei Kwadwo, Asantehene.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Osei Kwadwo","Asantehene","gov_cleanup2c1_ash","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Osei Kwadwo ruled from 1764 until 1777."
"BEN","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Akengbuda","Oba","gov_cleanup2c1_ben","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Akengbuda reigned approximately 1750–1804."
"BGI","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Muhammad al-Amin","Mbang","gov_cleanup2c1_bgi","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler lists place Hajj Muhammad al-Amin in office 1751–1785."
"BNY","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Duhaga","Omukama","gov_cleanup2c1_bny","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Traditional/reconstructed chronologies generally place Duhaga in the mid-18th century through about 1782."
"BOR","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Ali IV","Mai","gov_cleanup2c1_bor","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Common ruler chronologies place Ali IV Kalirgima around 1750–1791."
