TAG,Country,ADD_Count,REMOVE_Count,REVIEW_Count,Tree_Structure_Review_Count,Most_Important_Additions,Most_Important_Removals,General_Assessment
ABB,Arab Emirates,4,0,4,2,codified_practical_knowledge; distillation; international_relations; organized_textile_production,—,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
ABU,Trucial States,1,3,3,2,traditional_food_processing,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
ARB,Arabistan,4,1,2,1,traditional_furniture_making; traditional_food_processing; distillation; international_relations,systematic_administrative_statistics,"Profil artisanal et commercial significatif, mais les capacités d'État centralisées doivent être distinguées des réseaux marchands et des métiers locaux; le second passage favorise les artisanats établis et réduit les extrapolations militaires."
ARM,Armenia,2,2,5,2,traditional_furniture_making; traditional_food_processing,standardized_field_artillery; systematic_administrative_statistics,"Profil artisanal et commercial significatif, mais les capacités d'État centralisées doivent être distinguées des réseaux marchands et des métiers locaux; le second passage favorise les artisanats établis et réduit les extrapolations militaires."
BHN,Bahrain,1,3,3,2,traditional_food_processing,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Les armes à feu et les réseaux commerciaux arabiques sont réels, mais ne doivent pas être assimilés à une industrie d'armes réglementaires, à une artillerie standardisée ou à des statistiques d'État. Les métiers traditionnels sont revalorisés lorsqu'ils sont attestés."
BUK,Bukhara,4,3,3,1,traditional_papermaking; traditional_glassmaking; traditional_furniture_making; traditional_food_processing,standardized_field_artillery; regulated_small_arms; light_infantry_tactics,"Bukhara combine agriculture irriguée, textile, papier, métiers urbains et commerce, mais les sarbāz permanents et l'artillerie régulière appartiennent surtout au XIXe siècle. L'artisanat est revalorisé, les nœuds militaires retirés."
CHC,Chechnya,0,3,5,2,—,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Le Caucase du Nord possède des traditions militaires et artisanales propres; présence d'armes à feu ne signifie ni industrie réglementaire, ni artillerie standardisée, ni bureaucratie statistique. Plusieurs nœuds restent sectoriels/REVIEW."
CHT,Chitral,0,3,5,2,—,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Le sous-espace afghan/hindou-kouchien combine artisanats, circulation d'armes et structures politiques locales sans justifier automatiquement les standards d'une armée régulière ou d'une administration statistique. Les décisions restent volontairement asymétriques."
CIR,Circassia,0,3,4,3,—,standardized_field_artillery; systematic_administrative_statistics; shaft_mining,"Le Caucase du Nord possède des traditions militaires et artisanales propres; présence d'armes à feu ne signifie ni industrie réglementaire, ni artillerie standardisée, ni bureaucratie statistique. Plusieurs nœuds restent sectoriels/REVIEW."
CRO,Croatia,8,0,4,0,specialized_technical_academies; organized_forestry; permanent_engineer_services; scientific_fortification_siegecraft; armament_standardization_inspection; periodical_print_networks,—,"Le raccordement à l'appareil habsbourgeois justifie ingénieurs, fortification, formation camérale et plusieurs artisanats; il ne faut cependant pas transformer toute capacité impériale en diffusion uniforme locale."
DUR,Afghanistan,2,0,4,2,traditional_furniture_making; traditional_food_processing,—,"L'État durrani possède une diplomatie et une administration persanophone réelles et des armes à feu diffusées, mais pas une armée régulière/artillerie standardisée de type XIXe siècle; plusieurs capacités restent sectorielles."
