"feature","status","runtime_validated","public_wording","evidence"
"1776 start date and remodeled world setup","IMPLEMENTED","YES","A 1776 start with period countries, borders, laws, diplomacy and institutions","docs/reports/hotfix/_index/HOTFIX_MERGE_COMPLETION_ROADMAP.md"
"Victoria 3 1.13 / The Great Wave compatibility port","IMPLEMENTED + VALIDATED","YES","Ported and tested for Victoria 3 1.13 / The Great Wave","docs/reports/workshop/frontend/PREP1E/WORKSHOP_PREP_1E_BEO_BASE_COA_DOCUMENTATION_REORGANIZATION_AND_FINAL_RUNTIME_QA.md"
"Legacy script/API compatibility corrections","IMPLEMENTED + VALIDATED","YES","Major accumulated incompatibilities in scripts, journals, events and country setup corrected","docs/reports/hotfix/INDEX.md"
"Five period-adapted player objectives","IMPLEMENTED + VALIDATED","YES","Battle for India, Age of Revolutions, Imperial Rivalries, Mercantile Republics and Learn the Game","docs/reports/workshop/frontend/PREP1E/WORKSHOP_PREP_1E_RUNTIME_RESULTS.csv"
"Custom revolutionary frontend","IMPLEMENTED + VALIDATED","YES","Trafalgar loading screen, Washington menu and Cantus Firmus Monks title theme","docs/reports/workshop/frontend/PREP1D/WORKSHOP_PREP_1D_FINAL_FRONTEND_OBJECTIVE_RUNTIME_CONFIRMATION.md"
"Historical objective flags and base coats of arms","IMPLEMENTED + VALIDATED","YES","Period-facing flags for featured objective countries","docs/reports/workshop/frontend/PREP1E/WORKSHOP_PREP_1E_BEO_BASE_COA_DOCUMENTATION_REORGANIZATION_AND_FINAL_RUNTIME_QA.md"
"English and French objective narratives","IMPLEMENTED + VALIDATED","YES","Expanded English and French objective descriptions without raw localization keys","docs/reports/workshop/frontend/PREP1E/WORKSHOP_PREP_1E_RUNTIME_RESULTS.csv"
"Country-specific journal entries and events","IMPLEMENTED","PARTIAL","A broad set of period and country-specific journals and events; depth varies by country","common/journal_entries; events"
"Equal flavor depth for every country","PARTIAL","NO","Not presented as complete; documented as a known limitation","docs/workshop/STEAM_WORKSHOP_DESCRIPTION_EN.txt"
"Fully rebuilt 1776 technology tree","POST_WORKSHOP_ROADMAP","NO","Long-term technology modernization only; not advertised as delivered","docs/research/technology (protected and excluded from publication)"
"Fully differentiated historical navies","POST_WORKSHOP_ROADMAP","NO","Long-term naval coherence and identity work only","protected stash remains unapplied"
"Comprehensive 1776 economic and military rebalance","PARTIAL","PARTIAL","Current setup is adapted, with deeper balance work remaining","docs/reports/hotfix/_index/HOTFIX_MERGE_COMPLETION_ROADMAP.md"
