Region,Owner_TAG,Country,State_ID,State_Name,Building_ID,Building_Name,Target_Level,Confidence,Economic_Role,Domestic_Demand,Export_Orientation,Industry_Form,Scale_Evidence,Level_Rationale,Tech_Distribution_Review,Map_Rework_Risk,Source_1,Source_2,Notes
R8_NORTH_AMERICA_CARIBBEAN,CUB,Cuba,STATE_CENTRAL_CUBA,Central Cuba,building_livestock_ranch,Livestock Ranches,1,MEDIUM,CUBAN_MIXED_EXPORT_ECONOMY,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,COMMERCIAL_AGRICULTURE,"Before the late-century sugar boom, Cuba combined tobacco, cattle and a still-smaller sugar sector.",Conservative pre-boom level 1.,NO,NONE,https://www.jstor.org/stable/jj.13316147,,
R8_NORTH_AMERICA_CARIBBEAN,CUB,Cuba,STATE_CENTRAL_CUBA,Central Cuba,building_sugar_plantation,Sugar Plantations,1,MEDIUM,CUBAN_MIXED_EXPORT_ECONOMY,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,PLANTATION_SYSTEM,"Before the late-century sugar boom, Cuba combined tobacco, cattle and a still-smaller sugar sector.",Conservative pre-boom level 1.,NO,NONE,https://www.jstor.org/stable/jj.13316147,,
R8_NORTH_AMERICA_CARIBBEAN,CUB,Cuba,STATE_CENTRAL_CUBA,Central Cuba,building_tobacco_plantation,Tobacco Plantations,1,MEDIUM,CUBAN_MIXED_EXPORT_ECONOMY,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,PLANTATION_SYSTEM,"Before the late-century sugar boom, Cuba combined tobacco, cattle and a still-smaller sugar sector.",Conservative pre-boom level 1.,NO,NONE,https://www.jstor.org/stable/jj.13316147,,
R8_NORTH_AMERICA_CARIBBEAN,CUB,Cuba,STATE_EASTERN_CUBA,Eastern Cuba,building_livestock_ranch,Livestock Ranches,1,MEDIUM,CUBAN_MIXED_EXPORT_ECONOMY,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,COMMERCIAL_AGRICULTURE,"Before the late-century sugar boom, Cuba combined tobacco, cattle and a still-smaller sugar sector.",Conservative pre-boom level 1.,NO,NONE,https://www.jstor.org/stable/jj.13316147,,
R8_NORTH_AMERICA_CARIBBEAN,CUB,Cuba,STATE_EASTERN_CUBA,Eastern Cuba,building_sugar_plantation,Sugar Plantations,1,MEDIUM,CUBAN_MIXED_EXPORT_ECONOMY,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,PLANTATION_SYSTEM,"Before the late-century sugar boom, Cuba combined tobacco, cattle and a still-smaller sugar sector.",Conservative pre-boom level 1.,NO,NONE,https://www.jstor.org/stable/jj.13316147,,
R8_NORTH_AMERICA_CARIBBEAN,CUB,Cuba,STATE_EASTERN_CUBA,Eastern Cuba,building_tobacco_plantation,Tobacco Plantations,1,MEDIUM,CUBAN_MIXED_EXPORT_ECONOMY,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,PLANTATION_SYSTEM,"Before the late-century sugar boom, Cuba combined tobacco, cattle and a still-smaller sugar sector.",Conservative pre-boom level 1.,NO,NONE,https://www.jstor.org/stable/jj.13316147,,
R8_NORTH_AMERICA_CARIBBEAN,CUB,Cuba,STATE_WESTERN_CUBA,Western Cuba,building_barrack,Barracks,1,HIGH,HAVANA_IMPERIAL_NAVAL_HUB,MILITARY_STATE_DEMAND,NONE,ARSENAL,Havana was a major imperial port and the most productive Spanish naval shipyard in the eighteenth century.,Shipyard/port exceptionally high; other imperial functions level 1–2.,YES,NONE,https://revistadeindias.revistas.csic.es/index.php/revistadeindias/article/view/630,https://whc.unesco.org/en/list/204,
R8_NORTH_AMERICA_CARIBBEAN,CUB,Cuba,STATE_WESTERN_CUBA,Western Cuba,building_government_administration,Government Administration,2,HIGH,HAVANA_IMPERIAL_NAVAL_HUB,DOMESTIC_NATIONAL,NONE,OTHER,Havana was a major imperial port and the most productive Spanish naval shipyard in the eighteenth century.,Shipyard/port exceptionally high; other imperial functions level 1–2.,NO,NONE,https://revistadeindias.revistas.csic.es/index.php/revistadeindias/article/view/630,https://whc.unesco.org/en/list/204,
R8_NORTH_AMERICA_CARIBBEAN,CUB,Cuba,STATE_WESTERN_CUBA,Western Cuba,building_livestock_ranch,Livestock Ranches,1,MEDIUM,CUBAN_MIXED_EXPORT_ECONOMY,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,COMMERCIAL_AGRICULTURE,"Before the late-century sugar boom, Cuba combined tobacco, cattle and a still-smaller sugar sector.",Conservative pre-boom level 1.,NO,NONE,https://www.jstor.org/stable/jj.13316147,,
R8_NORTH_AMERICA_CARIBBEAN,CUB,Cuba,STATE_WESTERN_CUBA,Western Cuba,building_naval_administration,Naval Administration,2,HIGH,HAVANA_IMPERIAL_NAVAL_HUB,MILITARY_STATE_DEMAND,NONE,ARSENAL,Havana was a major imperial port and the most productive Spanish naval shipyard in the eighteenth century.,Shipyard/port exceptionally high; other imperial functions level 1–2.,NO,NONE,https://revistadeindias.revistas.csic.es/index.php/revistadeindias/article/view/630,https://whc.unesco.org/en/list/204,
