"Technology_ID","Era","Category","Old_EN_Name","New_EN_Name","Old_FR_Name","New_FR_Name","New_EN_Description","New_FR_Description","Reason"
"abolitionist_mobilization","era_5","society","Abolitionism","Abolitionism","Abolitionnisme","Abolitionnisme","Organized opponents of slavery turn moral arguments into petitions, publications, and sustained political pressure.","Les adversaires organisés de l'esclavage transforment leurs arguments moraux en pétitions, publications et pressions politiques durables.","Specific historical description"
"active_principle_pharmacy","era_5","society","Active Principles","Active Principles","Principes actifs","Principes actifs","Isolating the active substances in remedies makes medicines easier to prepare, compare, and dose consistently.","L'isolement des substances actives des remèdes facilite la préparation, la comparaison et le dosage régulier des médicaments.","Specific historical description"
"advanced_crop_rotations","era_3","production","Advanced Crop Rotations","Advanced Crop Rotations","Rotations culturales","Rotations culturales","Alternating cereals with fodder and soil-restoring crops helps farms maintain fertility without leaving as much land fallow.","L'alternance des céréales, des fourrages et des cultures régénératrices préserve la fertilité des sols tout en réduisant la jachère.","Specific historical description"
"advanced_spinning","era_4","production","Sewing Mechanization","Sewing Mechanization","Mécanisation de la couture","Couture mécanisée","Purpose-built sewing machinery mechanizes garment assembly and prepares textile workshops for later electrically powered equipment.","Des machines spécialisées mécanisent l'assemblage des vêtements et préparent les ateliers textiles à l'emploi ultérieur d'équipements électriques.","Shorter or clearer title"
"alloysworking","era_2","production","Industrial Alloying","Industrial Alloying","Élaboration des alliages","Élaboration des alliages","Systematic control of furnace charges and metal proportions makes dependable industrial alloys possible.","Le contrôle méthodique des charges du four et des proportions métalliques permet de produire des alliages industriels fiables.","Existing concise and specific localization retained"
"applied_mineralogy","era_3","production","Applied Mineralogy","Applied Mineralogy","Minéralogie appliquée","Minéralogie appliquée","Identifying ores and useful minerals through systematic observation improves the search for deposits and the choice of extraction methods.","L'observation méthodique des minerais et des minéraux utiles facilite la recherche des gisements et le choix des méthodes d'extraction.","Specific historical description"
"armament_standardization_inspection","era_4","military","Arms Standards & Checks","Armament Standards","Contrôle de l’armement","Normes d’armement","Regular inspection and agreed measurements reveal faulty weapons before issue and support more consistent military supply.","Des contrôles réguliers et des mesures communes permettent d'écarter les armes défectueuses et de fiabiliser l'approvisionnement militaire.","Shorter or clearer title; Specific historical description"
"artificial_fertilizers","era_4","production","Artificial Fertilizers","Artificial Fertilizers","Engrais artificiels","Engrais artificiels","Combining industrial acids with systematic crop rotation makes the large-scale manufacture of agricultural fertilizers possible.","L'association des acides industriels et de rotations culturales systématiques permet la fabrication à grande échelle d'engrais agricoles.","Existing concise and specific localization retained"
"automated_flour_milling","era_4","production","Automated Flour Milling","Automated Flour Milling","Meunerie automatisée","Meunerie automatisée","Linked milling and sifting machinery processes grain more continuously and produces flour of more consistent quality.","L'enchaînement mécanique de la mouture et du blutage transforme le grain plus régulièrement et fournit une farine de qualité plus constante.","Specific historical description"
"automatic_bottle_blowers","era_10","production","Automatic Bottle Blowers","Automatic Bottle Blowers","Souffleuses de bouteilles automatiques","Soufflage automatique","By automating the process of blowing the glass into a bottle shape, it is possible to make many more bottles a day.","En automatisant le processus de soufflage du verre pour lui donner la forme d’une bouteille, il est possible de fabriquer beaucoup plus de bouteilles par jour.","Shorter or clearer title"
