TAG,Technology,Old_Decision,Missing_Prerequisite_Closure,Added_Prerequisites,Final_Decision,Reason
ARG,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
ASH,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
AUS,atmospheric_engine,REMOVED_MISSING_PREREQUISITE,coke_smelting[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait la fonte au coke, explicitement non établie localement en 1776; la technologie reste britannique."
BEL,atmospheric_engine,REMOVED_MISSING_PREREQUISITE,coke_smelting[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait la fonte au coke, explicitement non établie localement en 1776; la technologie reste britannique."
BEO,advanced_crop_rotations,REMOVED_MISSING_PREREQUISITE,selective_breeding[B],selective_breeding,RESTORE_WITH_PREREQUISITES,Selective Breeding complète une chaîne agronomique B courte et plausible pour les Pays-Bas autrichiens.
BEO,atmospheric_engine,REMOVED_MISSING_PREREQUISITE,coke_smelting[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait la fonte au coke, explicitement non établie localement en 1776; la technologie reste britannique."
BIC,military_topographic_surveying,REMOVED_MISSING_PREREQUISITE,permanent_engineer_services[B],permanent_engineer_services,RESTORE_WITH_PREREQUISITES,Permanent Engineer Services n'a pas de déblocage direct disproportionné et représente correctement les corps de relevé de la Compagnie.
BNY,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
BRZ,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
BUG,codified_practical_knowledge,REMOVED_MISSING_PREREQUISITE,institutionalized_scientific_exchange[A];periodical_print_networks[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait à la fois presse périodique et échange scientifique institutionnalisé, capacités trop larges pour le pays au cutoff."
BUK,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
CHI,traditional_papermaking,REMOVED_MISSING_PREREQUISITE,,,RESTORE_WITH_PREREQUISITES,La dépendance artificielle à Organized Forestry a été retirée; la capacité papetière historique est restaurée sans grant forestier forcé.
ECU,light_infantry_tactics,REMOVED_MISSING_PREREQUISITE,regulated_small_arms[A];scientific_fortification_siegecraft[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait industrie d'armes, artillerie et socle de fortification malgré le retrait régional explicite de Regulated Small Arms."
FRA,atmospheric_engine,REMOVED_MISSING_PREREQUISITE,coke_smelting[A],,KEEP_REMOVED_CASCADE_TOO_LARGE,"La fermeture imposerait la fonte au coke, explicitement non établie localement en 1776; la technologie reste britannique."
FRA,industrial_canals,REMOVED_MISSING_PREREQUISITE,turnpike_road_networks[B],turnpike_road_networks,RESTORE_WITH_PREREQUISITES,"Turnpike Road Networks est accepté comme abstraction du socle d'ingénierie routière préalable, conformément à la correction de portée."
