"tag","country_name","historical_system_type","current_land_units","current_land_manpower","historical_standing_low","historical_standing_high","historical_effective_anchor","garrison_adjustment","standing_representation_factor","factor_rationale","target_land_units_low","target_land_units_high","target_land_units_recommended","target_infantry","target_cavalry","target_artillery","target_other","composition_source","composition_confidence","target_barracks_levels","historical_mobilization_type","target_mobilization_capacity","mobilization_model","current_to_target_delta","structural_defer","structural_resolution","tech_dependent_review_later","conversion_confidence","research_status","notes","recommended_formation_count"
"ACE","Aceh","COURT_GARRISON_PLUS_MANDALA_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1","3","2","2","0","0","0","QUALITATIVE_MODEL","LOW","2","MILITIA_LEVY_OR_LOCAL_OBLIGATION","4","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","2","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"AGC","Angoche","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","5","5000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","REGIONAL_MODEL","LOW","4","MILITIA_LEVY_OR_LOCAL_OBLIGATION","12","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"AIT","Ait Abbas","HOUSEHOLD_CORE_PLUS_TRIBAL_PROVINCIAL_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","PROVINCIAL_TRIBAL_CONTINGENTS","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"ALK","Alaska","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","MAP_REWORK_DEFERRED","","YES","MAP_REWORK_DEFERRED","YES","VERY_LOW","STRUCTURAL_DEFER","Russian-American Company had not yet been founded; the fork's centralized Alaska tag is not a clean 1776 sovereign military polity. Numeric independent-force target withheld pending structural/map resolution.",""
"ANH","Anhalt","EUROPEAN_REGULAR_STATE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","0","0","0","0","0","0","QUALITATIVE_MODEL","LOW","0","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0"
"ANK","Ankole","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_LEVY_OR_LOCAL_OBLIGATION","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"ARB","Arabistan","HOUSEHOLD_CORE_PLUS_TRIBAL_PROVINCIAL_FORCE","5","5000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","2","1","0","1","REGIONAL_MODEL","LOW","4","PROVINCIAL_TRIBAL_CONTINGENTS","8","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"ASH","Ashanti","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; strong centralized regional core under Osei Kwadwo.","12","24","18","15","3","0","0","QUALITATIVE_MODEL","LOW","18","MILITIA_LEVY_OR_LOCAL_OBLIGATION","50","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","18","NO","","YES","LOW","QUALITATIVE_ONLY","Strong regional power is historically supported; exact conversion must use relative-scale modeling in 2D-2. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; strong centralized regional core under Osei Kwadwo.","1"
"AUS","Austria","HABSBURG_COMPOSITE_MONARCHY","152","152000","220000","220000","220000 parent establishment","Parent pool distributed among Habsburg tags; no extra component establishments","0.91 parent represented pool; AUS tag allocation 0.636 of parent","Habsburg parent establishment allocated across five tags; AUS receives 140 of the 200-unit represented pool.","130","150","140","105","20","15","0","REGIONAL_MODEL","LOW","140","MILITIA_LEVY_OR_LOCAL_OBLIGATION","70","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-12","NO","","YES","HIGH","QUANTITATIVE_HIGH_CONFIDENCE","Use as establishment-scale anchor, not a direct V3 target. Composition requires separate approximation. Habsburg parent establishment allocated across five tags; AUS receives 140 of the 200-unit represented pool.","4"
"AWA","Awadh","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","49","49000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; household/paid core separated from retainers and levies.","30","45","36","24","9","3","0","REGIONAL_MODEL","LOW","36","MILITIA_LEVY_OR_LOCAL_OBLIGATION","55","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-13","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; household/paid core separated from retainers and levies.","1"
"BAD","Baden","EUROPEAN_REGULAR_STATE","10","10000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","7","12","9","7","1","1","0","REGIONAL_MODEL","LOW","9","MILITIA_RESERVE","4","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"BAL","Bali","COURT_GARRISON_PLUS_MANDALA_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","QUALITATIVE_MODEL","LOW","4","MILITIA_LEVY_OR_LOCAL_OBLIGATION","8","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","4","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
