TAG,Research_Status,Effective_Tiers,Explicit_Technologies,Final_Technologies
GBR,RESEARCHED,tier_4,advanced_crop_rotations;armament_standardization_inspection;atmospheric_engine;coke_smelting;colonization;commercial_insurance_markets;constitutional_government;copper_sheathing;enclosed_dock_systems;improved_agricultural_implements;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;marine_chronometry;mechanized_spinning;medical_degrees;military_topographic_surveying;organized_elementary_schooling;organized_financial_institutions;organized_forestry;organized_military_establishments;organized_workshops;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;political_economy;precision_boring;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;ship_classification_surveying;specialized_technical_academies;state_dockyard_systems;stock_exchange;sugar_refining;traditional_food_processing;traditional_papermaking;turnpike_road_networks;variolation_networks,advanced_crop_rotations;armament_standardization_inspection;atmospheric_engine;coke_smelting;colonization;commercial_insurance_markets;constitutional_government;copper_sheathing;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;marine_chronometry;mechanized_spinning;medical_degrees;military_topographic_surveying;organized_elementary_schooling;organized_financial_institutions;organized_forestry;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;political_economy;precision_boring;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;shaft_mining;ship_classification_surveying;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;stock_exchange;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking;turnpike_road_networks;variolation_networks
FRA,RESEARCHED,tier_4,advanced_crop_rotations;armament_standardization_inspection;atmospheric_engine;colonization;commercial_insurance_markets;enclosed_dock_systems;improved_agricultural_implements;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;marine_chronometry;medical_degrees;military_topographic_surveying;organized_financial_institutions;organized_forestry;organized_military_establishments;organized_workshops;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;political_economy;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;ship_classification_surveying;specialized_technical_academies;state_dockyard_systems;stock_exchange;sugar_refining;systematic_population_registration;traditional_food_processing;traditional_papermaking;turnpike_road_networks;veterinary_science,advanced_crop_rotations;armament_standardization_inspection;atmospheric_engine;colonization;commercial_insurance_markets;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;marine_chronometry;medical_degrees;military_topographic_surveying;organized_financial_institutions;organized_forestry;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;political_economy;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;shaft_mining;ship_classification_surveying;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;stock_exchange;sugar_refining;systematic_administrative_statistics;systematic_population_registration;traditional_food_processing;traditional_papermaking;turnpike_road_networks;veterinary_science
NET,RESEARCHED,,advanced_crop_rotations;colonization;commercial_insurance_markets;constitutional_government;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;industrial_canals;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_elementary_schooling;organized_financial_institutions;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;standardized_field_artillery;state_dockyard_systems;stock_exchange;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking;turnpike_road_networks;variolation_networks,advanced_crop_rotations;colonization;commercial_insurance_markets;constitutional_government;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;industrial_canals;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_elementary_schooling;organized_financial_institutions;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;standardized_field_artillery;state_dockyard_systems;stock_exchange;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking;turnpike_road_networks;variolation_networks
BEL,RESEARCHED,,advanced_crop_rotations;atmospheric_engine;distillation;improved_agricultural_implements;improved_husbandry;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_scientific_exchange;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_forestry;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;selective_breeding;shaft_mining;specialized_technical_academies;standardized_field_artillery;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking;turnpike_road_networks,advanced_crop_rotations;atmospheric_engine;distillation;improved_agricultural_implements;improved_husbandry;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_scientific_exchange;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_forestry;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;selective_breeding;shaft_mining;specialized_technical_academies;standardized_field_artillery;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking;turnpike_road_networks
BEO,RESEARCHED,,advanced_crop_rotations;atmospheric_engine;distillation;improved_agricultural_implements;improved_husbandry;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_scientific_exchange;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_forestry;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;selective_breeding;shaft_mining;specialized_technical_academies;standardized_field_artillery;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking;turnpike_road_networks,advanced_crop_rotations;atmospheric_engine;distillation;improved_agricultural_implements;improved_husbandry;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_scientific_exchange;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_forestry;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;selective_breeding;shaft_mining;specialized_technical_academies;standardized_field_artillery;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking;turnpike_road_networks
HUN,RESEARCHED,,applied_mineralogy;armament_standardization_inspection;atmospheric_engine;distillation;improved_agricultural_implements;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_forestry;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;political_economy;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration;traditional_food_processing;traditional_papermaking;variolation_networks;veterinary_science,applied_mineralogy;armament_standardization_inspection;atmospheric_engine;distillation;improved_agricultural_implements;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_forestry;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;political_economy;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration;traditional_food_processing;traditional_papermaking;variolation_networks;veterinary_science
TUR,RESEARCHED,,distillation;improved_husbandry;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_financial_institutions;organized_military_establishments;organized_textile_production;organized_workshops;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;shaft_mining;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;systematic_administrative_statistics;traditional_food_processing;variolation_networks,distillation;improved_husbandry;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_financial_institutions;organized_military_establishments;organized_textile_production;organized_workshops;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;shaft_mining;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;systematic_administrative_statistics;traditional_food_processing;variolation_networks
VEN,RESEARCHED,,commercial_insurance_markets;distillation;enclosed_dock_systems;improved_husbandry;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;medical_degrees;organized_financial_institutions;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;ship_classification_surveying;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;stock_exchange;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking;variolation_networks,commercial_insurance_markets;distillation;enclosed_dock_systems;improved_husbandry;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;medical_degrees;organized_financial_institutions;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;ship_classification_surveying;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;stock_exchange;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking;variolation_networks
GEN,RESEARCHED,,commercial_insurance_markets;distillation;enclosed_dock_systems;improved_husbandry;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;medical_degrees;organized_financial_institutions;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;scientific_fortification_siegecraft;specialized_technical_academies;state_dockyard_systems;stock_exchange;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking,commercial_insurance_markets;distillation;enclosed_dock_systems;improved_husbandry;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;medical_degrees;organized_financial_institutions;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;scientific_fortification_siegecraft;specialized_technical_academies;state_dockyard_systems;stock_exchange;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking
JAP,RESEARCHED,,advanced_crop_rotations;distillation;improved_agricultural_implements;improved_husbandry;industrial_canals;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;medical_degrees;military_topographic_surveying;organized_elementary_schooling;organized_financial_institutions;organized_forestry;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;selective_breeding;standardized_field_artillery;stock_exchange;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration;traditional_food_processing;traditional_papermaking;turnpike_road_networks;variolation_networks,advanced_crop_rotations;distillation;improved_agricultural_implements;improved_husbandry;industrial_canals;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;medical_degrees;military_topographic_surveying;organized_elementary_schooling;organized_financial_institutions;organized_forestry;organized_military_establishments;organized_textile_production;organized_workshops;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;selective_breeding;standardized_field_artillery;stock_exchange;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration;traditional_food_processing;traditional_papermaking;turnpike_road_networks;variolation_networks
