control_id,category,expected,observed,result,evidence,log_count,scope,notes
verdict,summary,PASS_A2_RUNTIME,PASS_A2_RUNTIME,PASS_A2_RUNTIME,"Runtime observations and fresh logs",0,A2,"All mandatory controls passed"
fresh_logs,session,"Logs from the completed A-2 run","debug 2026-07-16 03:40:55; error/game 2026-07-16 03:40:37; system 2026-07-16 03:14:40",PASS,"Filesystem timestamps after clean quit",0,A2,"Victoria 3 was not relaunched for documentation"
new_bic_game,protocol,"New BIC game","New BIC game used",PASS,"User runtime observation",0,A2,"Not loaded from A-1"
not_a1_save,protocol,"No A-1 save","A-1 save not used",PASS,"User runtime observation",0,A2,"Dedicated A-2 baseline created"
a2_preparation,preparation,"Preparation applied manually","Apply both disposable setup mutations selected",PASS,"Preparation event and runtime screenshot",0,A2,"No automatic Sepoy event during preparation"
ceylon_before,ownership,"Main STATE_CEYLON portion owned by DEI","DEI owner before preparation",PASS,"Baseline setup and C1F topology",0,A2,"Witness source"
ceylon_after_preparation,ownership,"Main STATE_CEYLON portion owned by BIC","BIC owner after preparation",PASS,"Runtime observation and open-decision gate",0,A2,"Witness created"
madras_before,ownership,"PUD portion of STATE_MADRAS owned by PUD","PUD owner before preparation",PASS,"Baseline setup and C1F topology",0,A2,"Sole receiver source"
madras_after_preparation,ownership,"Former PUD portion owned by GBR","GBR owner after preparation",PASS,"Runtime observation and open-decision gate",0,A2,"PUD portion absent"
valid_receiver_zero,receiver_gate,"Zero valid receiver adjacent to witness","Open-event decision visible and available",PASS,"The possible block rejects any neighboring owner with South Asian primary culture",0,A2,"Runtime confirmation of stricter gate"
real_event_open,event,"Manual single opening of sepoy_mutiny_events.2","Opened manually once",PASS,"User runtime observation",0,A2,"No automatic or repeated call"
option_2a,event,"Manual exclusive selection of 2.a","Only 2.a selected manually",PASS,"User runtime observation and event screenshot",0,A2,"India is lost option"
loop_finish,runtime,"Redistribution loop terminates","Event closed normally and game remained active",PASS,"Runtime observation",0,A2,"No unfinished loop"
played_country,runtime,"Played country becomes GBR","Played country became GBR",PASS,"Runtime UI observation",0,A2,"Expected final play_as"
bic_status,runtime,"BIC annexed","BIC annexed",PASS,"Runtime map and country observation",0,A2,"No BIC remainder"
ceylon_final,ownership,"Witness portion ultimately owned by GBR","Ceylon witness owned by GBR",PASS,"Post-event runtime state panel",0,A2,"Passed through BIC annexation"
null_owner,integrity,"No null owner","No null owner observed",PASS,"Runtime state inspection and targeted log search",0,A2,"No unowned witness"
invalid_transfer,integrity,"No invalid transfer","No invalid transfer observed or logged",PASS,"Runtime result and targeted log search",0,A2,"All inspected portions retained an owner"
crash,runtime,"No crash","No crash; one day passed; save completed; clean quit",PASS,"User runtime observation",0,A2,"Game fully closed afterward"
blocking,runtime,"No blocking","No blocking",PASS,"Event closed and game advanced",0,A2,"UI and simulation remained responsive"
error_harness,logs,"Zero zz_sepoy_test_a2 errors","Zero occurrences",PASS,"error.log targeted count",0,A2,"Exact pattern search"
error_event,logs,"Zero sepoy_mutiny_events.2 errors","Zero occurrences",PASS,"error.log targeted count",0,A2,"Exact pattern search"
error_ceylon,logs,"Zero STATE_CEYLON errors","Zero occurrences",PASS,"error.log targeted count",0,A2,"Exact pattern search"
error_madras,logs,"Zero STATE_MADRAS errors","Zero occurrences",PASS,"error.log targeted count",0,A2,"Exact pattern search"
error_set_state_owner,logs,"Zero set_state_owner errors","Zero occurrences",PASS,"error.log targeted count",0,A2,"Exact pattern search"
sr_errors,logs,"Document separately","2591 Invalid right side during comparison sr errors",OUT_OF_SCOPE,"error.log aggregation",2591,OTHER,"Mostly common/journal_entries/01_natural_borders_of_france.txt; lines 128-130 total 2377"
law_errors,logs,"Document separately","6 has_law_or_variant parent-law errors",OUT_OF_SCOPE,"error.log aggregation",6,OTHER,"common/interest_groups/00_landowners.txt:459"
unknown_tooltip,logs,"Document separately","1 Unknown tooltip type warning",NON_BLOCKING,"error.log telemetry warning",1,OTHER,"No A-2 identifier; game remained active"
sepoy_sources,integrity,"Sepoy sources unchanged","Fork and disposable-copy hashes match",PASS,"SHA-256 verification",0,A2,"JE DAEFCB59...; events 557936500..."
harness_files,integrity,"A-2 harness unchanged","Four C1F hashes unchanged; disposable copy still 956 files",PASS,"SHA-256 and file-count verification",0,A2,"No harness edit during documentation"
technology_research,integrity,"docs/research/technology intact","7 pre-existing untracked files intact",PASS,"File count and SHA-256 verification",0,PROTECTED,"Not created or modified by this phase"
marath_stash,integrity,"MARATH stash intact","stash@{0} WIP NAVY-3C-3 Maratha Konkan Flotilla still present",PASS,"git stash list",0,PROTECTED,"Not applied or altered"
gameplay_changes,integrity,"No gameplay or harness modification","Only two documentation files created",PASS,"git status and final name checks",0,PROTECTED,"No commit created"
