"objective_id","tag","localization_key","english_chars","french_chars","setup_basis","static_status"
"objective_battle_for_india","GLOBAL","objective_battle_for_india_desc","410","443","Mughal tributary under DUR; Indian rivals; European company and coastal networks","PASS"
"objective_battle_for_india","FRA","objective_battle_for_india_desc_FRA","453","477","Louis XVI; surviving enclaves; American war against GBR","PASS"
"objective_battle_for_india","BIC","objective_battle_for_india_desc_BIC","453","470","Warren Hastings; chartered company; Bengal/Bihar/Awadh/Circars; consolidation JE","PASS"
"objective_battle_for_india","MARATH","objective_battle_for_india_desc_MARATH","403","442","Oligarchic monarchy; Bombay/Malwa/Agra; four vassals; hostile regional rivals","PASS"
"objective_battle_for_india","DUR","objective_battle_for_india_desc_DUR","416","456","Timur Durrani; Mughal tributary; Sindh/Kafiristan vassals; Hindustan JE","PASS"
"objective_battle_for_india","HYD","objective_battle_for_india_desc_HYD","435","464","Deccan core; two vassals; BIC/Maratha/Mysore hostility","PASS"
"objective_battle_for_india","DEI","objective_battle_for_india_desc_DEI","458","476","Dutch chartered company; Reinier de Klerk; Java/Ceylon/Moluccas network","PASS"
"objective_battle_for_india","NET","objective_battle_for_india_desc_NET","426","480","Mercantile monarchy; Travancore; DEI subject; Portugal rivalry","PASS"
"objective_battle_for_india","POR","objective_battle_for_india_desc_POR","458","495","Absolute monarchy; Brazil/Africa/Goa/Macau/Timor; Dutch rivalry","PASS"
"objective_egalitarian_society","GLOBAL","objective_egalitarian_society_desc","369","383","1776 natural-rights discourse versus Ancien Régime institutions","PASS"
"objective_egalitarian_society","FRA","objective_egalitarian_society_desc_FRA","379","421","Louis XVI; Bourbon absolutism; privileged groups; American war","PASS"
"objective_egalitarian_society","USA","objective_egalitarian_society_desc_USA","364","399","GBR colonial subject; independence war; Washington; wealth voting; slavery","PASS"
"objective_egalitarian_society","PLC","objective_egalitarian_society_desc_PLC","402","425","Poniatowski; elective monarchy; oligarchy; serfdom; reform JE","PASS"
"objective_hegemon","GLOBAL","objective_hegemon_desc","389","400","1776 dynastic balance across Europe and global empires","PASS"
"objective_hegemon","GBR","objective_hegemon_desc_GBR","438","454","George III; American revolt; colonies and chartered companies; FRA/SPA rivalry","PASS"
"objective_hegemon","SPA","objective_hegemon_desc_SPA","414","466","Charles III; Bourbon absolutism; colonial system; American war","PASS"
"objective_hegemon","RUS","objective_hegemon_desc_RUS","427","440","Catherine; autocracy/serfdom; Ottoman rivalry; Caucasus JE; protectorates","PASS"
"objective_hegemon","PRU","objective_hegemon_desc_PRU","450","463","Autocracy; professional army; scattered possessions; PLC hostility","PASS"
"objective_mercantile_republics","GLOBAL","objective_mercantile_republics_desc","418","452","Mediterranean patrician republics; commerce, fleet, banking, Atlantic competition","PASS"
"objective_mercantile_republics","VEN","objective_mercantile_republics_desc_VEN","430","439","Merchant republic/banking/navy; Adriatic, Ionian and Aegean possessions","PASS"
"objective_mercantile_republics","GEN","objective_mercantile_republics_desc_GEN","428","437","Compact Ligurian merchant republic; bank, credit and fleet","PASS"
"objective_tutorial","GLOBAL","objective_tutorial_desc","415","398","Guided 1776 campaign; economy, politics, diplomacy, technology and warfare","PASS"
"objective_tutorial","SWE","objective_tutorial_desc_SWE","444","486","Iron exports; oligarchic monarchy; professional navy; German puppets; Russia/Prussia balance","PASS"
"objective_tutorial","BEO","objective_tutorial_desc_BEO","452","487","Austrian crown land; Flanders/Wallonia; landed voting; traditionalism; Vienna autonomy","PASS"
"objective_tutorial","DAI","objective_tutorial_desc_DAI","447","482","Traditional unrecognized kingdom; sericulture; CAM tributary; SIA rivalry; CHI suspicion","PASS"
"objective_tutorial","DENNOR","objective_tutorial_desc_DENNOR","446","481","Danish straits; Norwegian resources; HOL/SCH personal unions; colonies; professional navy","PASS"
