"historical_identity","root_cause_group","country_tag_if_known","law_or_variant_if_known","law_script_key","fallback_law","script_path_if_known","source_mode","historical_occurrences","normalized_message","log10_classification","log11_decision","canonical_status","current_cleanup_blocker","gameplay_files_modified","deferred_to","design_dependencies","decision_reason"
"CL-001","CL-G01_TECH_PREREQUISITES","ANH","Censorship","law_censorship","Right of Assembly","common/history/countries/anh - anhalt.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-002","CL-G01_TECH_PREREQUISITES","ANH","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/anh - anhalt.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-003","CL-G01_TECH_PREREQUISITES","AP7","Mercantilism","law_mercantilism","Isolationism","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-004","CL-G01_TECH_PREREQUISITES","AP7","Outlawed Dissent","law_outlawed_dissent","Right of Assembly","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Outlawed Dissent, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-005","CL-G01_TECH_PREREQUISITES","BAD","Censorship","law_censorship","Right of Assembly","common/history/countries/bad - baden.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-006","CL-G01_TECH_PREREQUISITES","BAD","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/bad - baden.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-007","CL-G01_TECH_PREREQUISITES","BAV","Censorship","law_censorship","Right of Assembly","common/history/countries/bav - bavaria.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-008","CL-G01_TECH_PREREQUISITES","BAV","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/bav - bavaria.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-009","CL-G03_CONFLICTING_LAWS","BAV","Traditionalism","law_traditionalism","Interventionism","common/history/countries/bav - bavaria.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Traditionalism, fix this or consider Interventionism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-010","CL-G01_TECH_PREREQUISITES","BRA","Censorship","law_censorship","Right of Assembly","common/history/countries/bra - braunschweig.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
