"object_id","exact_file","current_inputs","future_industrial_chemicals_role","future_salt_role","future_limestone_role","recommended_phase","confidence","notes"
"pm_leblanc_process","common/production_methods/01_industry.txt","sulfur=20;fertilizer=20","Legacy explosives PM preserved; rename only in a dedicated migration phase","No role in this legacy PM","No role in this legacy PM","LEGACY_CLEANUP","HIGH","Current PM still outputs explosives=50; TECH6C3B avoided the ID conflict with pm_leblanc_alkali_process"
"pm_leblanc_alkali_process","common/production_methods/12_tech6c3a_chemical_works_and_consumers.txt","salt=15;limestone=15;sulfur=12;coal=15;tools=5","Implemented output of industrial_chemicals=65","Implemented reactant at 15 per level","Implemented carbonate reactant at 15 per level","TECH6C3B_IMPLEMENTED","HIGH","Gated by industrial_alkalis; pollution=20; workforce=5000"
"pm_leaded_glass","common/production_methods/01_industry.txt","wood=20;lead=10;limestone=10;industrial_chemicals=5","Implemented refining/finishing input at 5 per level","No role","Implemented calcium-bearing raw material input at 10 per level","TECH6C3C_IMPLEMENTED","HIGH","Output increased from glass=40 to glass=50; workforce=5000; pollution=5; gross margin preserved at 800"
"pm_bleached_paper","common/production_methods/01_industry.txt","wood=30;sulfur=10;dye=10;industrial_chemicals=10","Implemented productive bleaching input at 10 per level","No direct role currently recommended","No direct role currently recommended","TECH6C3A_IMPLEMENTED","HIGH","Existing output and unrelated inputs preserved"
"pm_chemical_bleaching_textile_mill","common/production_methods/12_tech6c3a_chemical_works_and_consumers.txt","fabric=40;dye=5;industrial_chemicals=10","Implemented textile bleaching and finishing input at 10 per level","No direct role currently recommended","No direct role currently recommended","TECH6C3A_IMPLEMENTED","HIGH","New PM gated by chemical_bleaching"
"building_chemical_plant","common/buildings/01_industry.txt","Fertilizer PMs use sulfur;iron;salt;oil depending on tier","Candidate acid/intermediate input for advanced fertilizer production","Already used by fork fertilizer PMs at selected tiers; preserve pending review","No direct role unless a calcium-based fertilizer route is approved","TECH6C3C","MEDIUM","Keep separate from dedicated building_chemical_works unless consolidation is explicitly approved"
"building_explosives_factory","common/buildings/01_industry.txt","Explosives PMs use sulfur;fertilizer;paper;electricity depending on tier","Candidate acid/intermediate input replacing part of abstract fertilizer usage","Possible future chlorate/brine route only in a dedicated design pass","No direct role currently recommended","TECH6C3C","HIGH","Legacy pm_leblanc_process naming conflict must be resolved first"
"pm_dye_production","common/production_methods/01_industry.txt","sulfur=20;fertilizer=30;salt=10;industrial_chemicals=10","Implemented chemical intermediate feedstock at 10 per level","Existing salt input retained at 10 per level","No direct role","TECH6C3D_IMPLEMENTED","HIGH","Output increased from dye=80 to dye=90; workforce=5000; pollution=5; gross margin preserved at 1000"
"N/A — no current pharmaceuticals object","N/A — no pharmaceuticals building or PM found in current common/buildings or common/production_methods","N/A","Industrial chemicals should be a primary productive input if pharmaceuticals are later introduced","Potential specialist reagent only if justified","Potential excipient/mineral role only if justified","FUTURE_CHEMISTRY","LOW","No ID is proposed in this audit; create only under a separately approved phase"
"pm_rubber_grips","common/production_methods/01_industry.txt","rubber=10;steel=30;industrial_chemicals=5","Implemented vulcanization/processing chemical input at 5 per level","No direct role","No direct role","TECH6C3D_IMPLEMENTED","HIGH","Output increased from tools=110 to tools=115; workforce=5000; gross margin preserved at 2500"
"pm_houseware_plastics","common/production_methods/01_industry.txt","oil=20;lead=30;industrial_chemicals=10","Implemented polymer/houseware chemical input at 10 per level","No direct role","No direct role","TECH6C3D_IMPLEMENTED","HIGH","Output increased from glass=100 to glass=110; workforce=5000; pollution=15; gross margin preserved at 2000; no dedicated refinery object exists"
"N/A — no current petroleum refinery object","N/A — no dedicated petroleum refining building or PM found in current common/buildings or common/production_methods","N/A","Industrial chemicals may become a refinery reagent or output family in a future dedicated chain","No direct role currently recommended","No direct role currently recommended","FUTURE_CHEMISTRY","LOW","No ID is proposed in this audit"
