TAG,Country,Region,Category,Technology_ID,Classification,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Status,Tree_Issue,Classification_Issue,Reason,Source_1,Source_2
ABS,Absaroka,Great Plains,PRODUCTION,coke_smelting,A,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,"La fonte au coke est une innovation britannique du début du XVIIIe siècle, mais aucune implantation locale pertinente n'est attestée ici au 1er janvier 1776.",https://www.ironbridge.org.uk/about-us/key-figures-in-the-history-of-the-ironbridge-gorge/,https://www.nps.gov/articles/comanches-and-horses.htm
ABS,Absaroka,Great Plains,PRODUCTION,distillation,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Aucune preuve suffisante d'une capacité locale correspondant au nœud `distillation` au 1er janvier 1776; l'existence d'un savoir apparenté, d'importations ou d'une capacité métropolitaine n'est pas comptée.",https://www.nps.gov/articles/comanches-and-horses.htm,
ABS,Absaroka,Great Plains,PRODUCTION,improved_husbandry,A,PRESENT,REVIEW,MEDIUM,SECTORAL,NOT_APPLICABLE,,,"La gestion des chevaux/animaux ou certaines pratiques agricoles sont réelles, mais le nœud débloque une agriculture de fermes/plantations/ranchs structurés qui ne correspond qu'imparfaitement à l'économie locale.",https://www.nps.gov/articles/comanches-and-horses.htm,https://www.nps.gov/articles/comanches-and-horses.htm
ABS,Absaroka,Great Plains,PRODUCTION,industrial_acids,A,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,CLASSIFICATION_TOO_EARLY,"Des acides sont connus artisanalement, mais le nœud débloque une industrie chimique/explosifs qui n'est pas une capacité industrielle locale de 1776.",https://www.sciencehistory.org/education/scientific-biographies/nicolas-leblanc/,https://www.nps.gov/articles/comanches-and-horses.htm
ABS,Absaroka,Great Plains,PRODUCTION,organized_forestry,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Aucune preuve suffisante d'une capacité locale correspondant au nœud `organized_forestry` au 1er janvier 1776; l'existence d'un savoir apparenté, d'importations ou d'une capacité métropolitaine n'est pas comptée.",https://www.nps.gov/articles/comanches-and-horses.htm,
ABS,Absaroka,Great Plains,PRODUCTION,organized_textile_production,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Aucune preuve suffisante d'une capacité locale correspondant au nœud `organized_textile_production` au 1er janvier 1776; l'existence d'un savoir apparenté, d'importations ou d'une capacité métropolitaine n'est pas comptée.",https://www.nps.gov/articles/comanches-and-horses.htm,
ABS,Absaroka,Great Plains,PRODUCTION,shaft_mining,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Aucune preuve suffisante d'une capacité locale correspondant au nœud `shaft_mining` au 1er janvier 1776; l'existence d'un savoir apparenté, d'importations ou d'une capacité métropolitaine n'est pas comptée.",https://www.nps.gov/articles/comanches-and-horses.htm,
ABS,Absaroka,Great Plains,PRODUCTION,sugar_refining,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,CLASSIFICATION_TOO_EARLY,Aucune industrie locale de raffinage du sucre suffisamment établie n'est démontrée; en outre le contenu gameplay du nœud est anachroniquement avancé.,https://www.nps.gov/articles/comanches-and-horses.htm,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/latin-america-17001870/C8AEB15FB4841B919B5827F7847FC0CF
ABS,Absaroka,Great Plains,PRODUCTION,traditional_food_processing,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Aucune preuve suffisante d'une capacité locale correspondant au nœud `traditional_food_processing` au 1er janvier 1776; l'existence d'un savoir apparenté, d'importations ou d'une capacité métropolitaine n'est pas comptée.",https://www.nps.gov/articles/comanches-and-horses.htm,
ABS,Absaroka,Great Plains,PRODUCTION,traditional_furniture_making,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,Ancien prérequis `organized_forestry` supprimé conformément à la nouvelle structure; aucune dette forestière.,,"Aucune preuve suffisante d'une capacité locale correspondant au nœud `traditional_furniture_making` au 1er janvier 1776; l'existence d'un savoir apparenté, d'importations ou d'une capacité métropolitaine n'est pas comptée.",https://www.nps.gov/articles/comanches-and-horses.htm,
