"record_type","identifier","attribute","before","after","expected","result","determinism","evidence","notes"
"session","A1","scenario","prepared BIC baseline","sepoy_mutiny_events.2.a completed","exclusive A-1 general breakup","PASS","MANUAL_OBSERVATION","manual session and screenshots","No other Sepoy option selected"
"session","date","game_date","1776-01-01 paused","1776-01-02 paused","no manual time advance","OBSERVED_VARIANCE","ENVIRONMENT_DEPENDENT","top-right date in screenshots","One day advanced during engine processing"
"country","played_country","tag","BIC","GBR","GBR after play_as","PASS","DETERMINISTIC","manual UI observation","Event closed normally"
"country","BIC","existence_and_territory","subject of GBR with seven target portions","no territorial BIC visible","remainder annexed by GBR","PASS","DETERMINISTIC","post-option map and country switch","Binary save retained as evidence"
"country","GBR","role","BIC overlord","played country and apparent final remainder owner","play_as GBR and annex BIC","PASS","DETERMINISTIC","manual UI observation","No crash during switch"
"country","COO","subject_status","direct BIC puppet","independent appearance with own market","made independent","PASS","DETERMINISTIC","pre diplomacy and post country/state screens","Capital remained Cooch Behar"
"country","JEY","subject_status","direct BIC puppet","independent appearance with own market","made independent","PASS","DETERMINISTIC","pre diplomacy and post country/state screens","Capital remained Jeypore"
"state","STATE_EAST_BENGAL","owner_controller_of_BIC_portion","BIC","receiver not individually opened","valid South Asian neighbouring receiver","NOT_OBSERVABLE","RANDOM_VALID_RECEIVER","post map remained colored","Exact receiver not recorded"
"state","STATE_BIHAR","owner_controller_of_BIC_portion","BIC","receiver not individually opened","valid South Asian neighbouring receiver","NOT_OBSERVABLE","RANDOM_VALID_RECEIVER","post map remained colored","Exact receiver not recorded"
"state","STATE_WEST_BENGAL","owner_controller_of_BIC_portion","BIC portion alongside COO","COO","valid South Asian neighbouring receiver","PASS","RANDOM_VALID_RECEIVER","post screen Poshchim Bongo - State of Cooch Behar","Observed receiver COO"
"state","STATE_AWADH","owner_controller_of_BIC_portion","BIC","receiver not individually opened","MUG branch when setup conditions hold","NOT_OBSERVABLE","DETERMINISTIC","script and static setup only","Runtime owner not opened"
"state","STATE_BUNDELKHAND","owner_controller_of_BIC_portion","BIC","receiver not individually opened","valid South Asian neighbouring receiver","NOT_OBSERVABLE","RANDOM_VALID_RECEIVER","post map remained colored","Exact receiver not recorded"
"state","STATE_CIRCARS","owner_controller_of_BIC_portion","BIC portion alongside JEY","map consistent with HYD transfer","HYD priority transfer","PASS","DETERMINISTIC","post map plus event branch","State panel was not opened after transfer"
"state","STATE_PEGU","owner_controller_of_BIC_portion","BIC","not individually opened","GBR after final BIC annex","NOT_OBSERVABLE","DETERMINISTIC","script and successful BIC-to-GBR transition","Runtime owner not opened"
"harness","preparation_decision","availability","visible","consumed; opening decision visible","prepare marker only","PASS","DETERMINISTIC","journal screenshots before and after preparation","No visible world mutation"
"harness","opening_decision","availability","hidden before preparation","visible after preparation","visible only after marker","PASS","DETERMINISTIC","journal screenshot","No event opened automatically"
"event","sepoy_mutiny_events.2.a","availability","not opened","first option visible and manually selected","available on BIC","PASS","MANUAL_OBSERVATION","event screenshot and script identification","Calcutta and Bombay options not selected"
"event","general_breakup_loop","termination","not started","completed and event closed","terminates without hang","PASS","ENVIRONMENT_DEPENDENT","manual UI observation","Interface remained responsive"
"runtime","crash_or_hang","presence","none","none","none","PASS","MANUAL_OBSERVATION","clean manual exit","No blocked interface"
"logs","sepoy_a1_errors","attributable_error_count","not applicable","0","0","PASS","DETERMINISTIC","exact search across error.log game.log debug.log","Global sr debt excluded by source attribution"
"save","pre_option","proof","absent before test","HOTFIX_5C2E4C1E_A1_PRE_OPTION_1776_01_01.v3; 7905889 bytes; DB72163CD9E469DF8C09BDDC9B508F3D6FBB2C4B030E9D020FC79ABC1A44C870","distinct pre-option save","PASS","DETERMINISTIC","filesystem metadata and SHA-256","Not overwritten"
"save","post_option","proof","absent before test","HOTFIX_5C2E4C1E_A1_POST_OPTION_1776_01_01.v3; 8021077 bytes; 3A212C66985F5E12C22F2680E275F20A9144600260F1F4119F4980B980FA67C8","distinct post-option save","PASS","DETERMINISTIC","filesystem metadata and SHA-256","Not a baseline for later scenarios"
"integrity","disposable_copy","controlled_files","C1D hashes and 952 files","same hashes and 952 files","no mod mutation","PASS","DETERMINISTIC","post-runtime SHA-256 verification","Zero mismatch across 12 controlled files"
"verdict","A1_RUNTIME","classification","not tested","PARTIAL_A1_RUNTIME","PASS only if every required state result is observed","NOT_OBSERVABLE","MANUAL_OBSERVATION","combined runtime evidence","Core behavior passed; five state owners not directly read"
