file,line_or_range,event_or_je,sub_block,scope,identifier,occurrence_count,semantic_role,activity_class,fork_behavior,hotfix_behavior,vanilla_behavior,proposed_target,confidence,recommended_phase,notes
"common/journal_entries/04_sepoy_mutiny.txt","44-56","je_uneasy_raj","immediate / saved strategic-region scopes","strategic region","all five invalid IDs","5","Save five presidency-named strategic-region scopes","REMOVE_OR_REDUNDANT","Saves five invalid strategic-region scopes that are never read","Scopes removed","Scopes removed","remove the five unused scope blocks","HIGH","HOTFIX-5C2E2","Progress bars use scripted progress and global variables; they do not consume these scopes"
"common/journal_entries/04_sepoy_mutiny.txt","611-615","je_sepoy_mutiny","fail / hidden_trigger / diplomatic-play target capital","state (target capital)","all five invalid IDs","5","Keep the JE active while a Sepoy Mutiny play target has an Indian capital","CAPITAL_OR_REVOLT_SELECTION","Five invalid strategic-region capital tests","north India OR south India","north India OR south India","region_north_india OR region_south_india","HIGH","HOTFIX-5C2E1","Exact vanilla and hotfix hunk"
"events/india_events/sepoy_mutiny_events.txt","178-182","sepoy_mutiny_events.2","option a / subject existence guard","country (subject capital)","all five invalid IDs","5","Detect Indian subjects before releasing princes","CAPITAL_OR_REVOLT_SELECTION","Five invalid capital-region tests plus Pashtunistan and Quetta","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Do not fold frontier states into the strategic pair"
"events/india_events/sepoy_mutiny_events.txt","194-198","sepoy_mutiny_events.2","option a / every_country release filter","country (subject capital)","all five invalid IDs","5","Release Indian princely subjects","CAPITAL_OR_REVOLT_SELECTION","Five invalid capital-region tests plus Pashtunistan and Quetta","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Keep is_subject_of and make_independent behavior unchanged"
"events/india_events/sepoy_mutiny_events.txt","214-218","sepoy_mutiny_events.2","option a / territorial breakup guard","state","all five invalid IDs","5","Detect Indian territory eligible for prioritized breakup","PAN_INDIA_STRATEGIC","Five invalid state-region tests plus Himalayas and frontier states","north India OR south India plus existing siblings","north India OR south India plus existing siblings","region_north_india OR region_south_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Explicit state snatches below this guard remain unchanged"
"events/india_events/sepoy_mutiny_events.txt","533-537","sepoy_mutiny_events.2","option a / while adjacency source","state","all five invalid IDs","5","Find Indian BIC states adjacent to eligible princely countries","PAN_INDIA_STRATEGIC","Five invalid tests plus Himalayas and frontier states","north India OR south India plus existing siblings","north India OR south India plus existing siblings","region_north_india OR region_south_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Loop termination must be tested"
"events/india_events/sepoy_mutiny_events.txt","548-552","sepoy_mutiny_events.2","option a / neighbouring owner capital filter","country (neighbour owner capital)","all five invalid IDs","5","Restrict adjacent South Asian princes by capital","CAPITAL_OR_REVOLT_SELECTION","Five invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Culture-trait guard remains unchanged"
"events/india_events/sepoy_mutiny_events.txt","566-570","sepoy_mutiny_events.2","option a / every_country prince filter","country (capital)","all five invalid IDs","5","Select eligible South Asian princely countries","CAPITAL_OR_REVOLT_SELECTION","Five invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Do not broaden beyond vanilla frontier exceptions"
"events/india_events/sepoy_mutiny_events.txt","580-584","sepoy_mutiny_events.2","option a / random adjacent state transfer","state","all five invalid IDs","5","Choose a BIC state to transfer to an adjacent prince","PAN_INDIA_STRATEGIC","Five invalid tests plus Himalayas and frontier states","north India OR south India plus existing siblings","north India OR south India plus existing siblings","region_north_india OR region_south_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Ownership transfer scope is high impact"
"events/india_events/sepoy_mutiny_events.txt","635-638","sepoy_mutiny_events.2","option b / subject existence guard","country (subject capital)","Bombay; Madras; Punjab; Central India","4","Detect subjects outside the Bengal retreat core","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Vanilla broadens to the two valid strategic regions despite the omitted Bengal ID"
"events/india_events/sepoy_mutiny_events.txt","650-653","sepoy_mutiny_events.2","option b / every_country release filter","country (subject capital)","Bombay; Madras; Punjab; Central India","4","Release princely subjects during retreat to Bengal","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Exact vanilla and hotfix hunk"
"events/india_events/sepoy_mutiny_events.txt","669-672","sepoy_mutiny_events.2","option b / territorial breakup guard","state","Punjab; Central India; Bombay; Madras","4","Detect territory outside the retained Bengal base","PAN_INDIA_STRATEGIC","Four invalid tests plus Himalayas and frontier states","north India OR south India plus existing siblings","north India OR south India plus existing siblings","region_north_india OR region_south_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Strategic replacement is broader than the old omission but canonical"
"events/india_events/sepoy_mutiny_events.txt","987-990","sepoy_mutiny_events.2","option b / while adjacency source","state","Punjab; Central India; Bombay; Madras","4","Find transferable BIC states during Bengal retreat","PAN_INDIA_STRATEGIC","Four invalid tests plus Himalayas and frontier states","north India OR south India plus existing siblings","north India OR south India plus existing siblings","region_north_india OR region_south_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Test retained West Bengal ownership separately"
"events/india_events/sepoy_mutiny_events.txt","1001-1004","sepoy_mutiny_events.2","option b / neighbouring owner capital filter","country (neighbour owner capital)","Bombay; Madras; Punjab; Central India","4","Find adjacent eligible princes","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Culture-trait guard remains unchanged"
"events/india_events/sepoy_mutiny_events.txt","1018-1021","sepoy_mutiny_events.2","option b / every_country prince filter","country (capital)","Bombay; Madras; Punjab; Central India","4","Select princes receiving adjacent states","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Exact vanilla and hotfix hunk"
"events/india_events/sepoy_mutiny_events.txt","1031-1034","sepoy_mutiny_events.2","option b / random adjacent state transfer","state","Punjab; Central India; Bombay; Madras","4","Choose state transferred to a prince","PAN_INDIA_STRATEGIC","Four invalid tests plus Himalayas and frontier states","north India OR south India plus existing siblings","north India OR south India plus existing siblings","region_north_india OR region_south_india; preserve Himalayas Pashtunistan Quetta","HIGH","HOTFIX-5C2E3","Ownership transfer scope is high impact"
"events/india_events/sepoy_mutiny_events.txt","1051","sepoy_mutiny_events.2","option b / post-retreat radicals","state","region_bengal","1","Add Hindu and Sunni radicals after retreat to Bengal","PAN_INDIA_STRATEGIC","Applies to invalid Bengal strategic region","Applies to region_north_india","Applies to region_north_india","region_north_india","HIGH","HOTFIX-5C2E2","Presidency-named outcome intentionally uses a broad strategic region in vanilla"
"events/india_events/sepoy_mutiny_events.txt","1079-1082","sepoy_mutiny_events.2","option c / subject existence guard","country (subject capital)","Bombay; Madras; Punjab; Central India","4","Detect subjects during retreat to Madras","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Exact vanilla and hotfix hunk"
"events/india_events/sepoy_mutiny_events.txt","1094-1097","sepoy_mutiny_events.2","option c / every_country release filter","country (subject capital)","Bombay; Bengal; Punjab; Central India","4","Release princely subjects during retreat to Madras","CAPITAL_OR_REVOLT_SELECTION","Four invalid capital tests plus frontier states","south India OR north India plus frontier states","south India OR north India plus frontier states","region_south_india OR region_north_india; preserve Pashtunistan and Quetta","HIGH","HOTFIX-5C2E3","Exact vanilla and hotfix hunk"
