target,old_prerequisites,new_prerequisites,cross_edges_removed,same_tree_edges_added,status
state_dockyard_systems,institutionalized_public_credit,NONE,1,0,PASS_EXACT_MATRIX
permanent_military_hospitals,medical_degrees,scientific_fortification_siegecraft,1,1,PASS_EXACT_MATRIX
armament_standardization_inspection,regulated_small_arms;standardized_field_artillery;precision_boring,regulated_small_arms;standardized_field_artillery,1,0,PASS_EXACT_MATRIX
logistics,systematic_administrative_statistics,corps_organization,1,1,PASS_EXACT_MATRIX
military_veterinary_services,veterinary_science,horse_artillery,1,1,PASS_EXACT_MATRIX
rifling,light_infantry_tactics;armament_standardization_inspection;mechanical_tools,light_infantry_tactics;armament_standardization_inspection,1,0,PASS_EXACT_MATRIX
mechanized_naval_dockyards,scientific_naval_architecture;state_dockyard_systems;mechanical_tools;rotative_steam_power,scientific_naval_architecture;state_dockyard_systems;enclosed_dock_systems,2,1,PASS_EXACT_MATRIX
paddle_steamer,scientific_naval_architecture;rotative_steam_power,scientific_naval_architecture,1,0,PASS_EXACT_MATRIX
iron_hull_construction,scientific_naval_architecture;mechanized_naval_dockyards;puddling_and_rolling;mechanical_tools,scientific_naval_architecture;mechanized_naval_dockyards;diagonal_ship_framing,2,1,PASS_EXACT_MATRIX
modern_lighthouse_optics,hydrographic_surveying;pressed_glass,hydrographic_surveying,1,0,PASS_EXACT_MATRIX
precision_boring,coke_smelting;standardized_field_artillery,coke_smelting;atmospheric_engine,1,1,PASS_EXACT_MATRIX
systematic_cadastral_surveying,systematic_administrative_statistics;turnpike_road_networks,systematic_administrative_statistics,1,0,PASS_EXACT_MATRIX
active_principle_pharmacy,experimental_research_laboratories;industrial_acids,experimental_research_laboratories;medical_degrees,1,1,PASS_EXACT_MATRIX
mechanized_printing,periodical_print_networks;mechanical_tools;rotative_steam_power;continuous_papermaking,periodical_print_networks,3,0,PASS_EXACT_MATRIX
