tag,country_1776,current_fork_role,recommended_character,recommended_title,birth_date,age_1776,date_policy,office_1776,government_1776,recommended_v3_representation,shared_monarch,overlord,map_dependency,implementation_decision,identity_confidence,mapping_confidence,source_1,source_2,notes
ANH,Fork abstraction: Anhalt,independent principality,Leopold III Friedrich Franz,Prince of Anhalt-Dessau,1740-08-10,35,exact_birth_date,Reigning Prince of Anhalt-Dessau,Hereditary principality within fragmented Anhalt,Implement only if local fork evidence shows ANH = Anhalt-Dessau; otherwise defer.,NO,,NO,CONDITIONAL_LOCAL_MAPPING,HIGH,MEDIUM,https://www.deutsche-biographie.de/sfz68642.html,https://recherche.landesarchiv.sachsen-anhalt.de/query/detail.aspx?ID=190133,"Anhalt was split into Dessau, Bernburg, Köthen and Zerbst in 1776."
BEO,Austrian Netherlands,AUS crown land,Charles Alexander of Lorraine,Governor-General of the Austrian Netherlands,1712-12-12,63,exact_birth_date,Governor/Statthalter under Maria Theresa,Habsburg crown-land administration,Visible delegated executive; preserve AUS crown_land and Maria Theresa as sovereign.,NO,AUS,NO,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,https://www.deutsche-biographie.de/sfz70325.html,https://www.deutsche-biographie.de/gnd119013797.html?language=en,Do not present Charles Alexander as sovereign monarch.
BRE,Free Imperial City of Bremen,independent presidential republic,Hermann von Line,Bürgermeister / Mayor,,70,documented_approximate_age,Mayor; elevated 1773 and still in office on 1776-01-01,Imperial free-city collective republic,Single-character abstraction of collective executive; preserve republic.,NO,,NO,IMPLEMENT_COLLECTIVE_EXECUTIVE_ABSTRACTION,HIGH,HIGH,https://brema.suub.uni-bremen.de/suubcasual/content/titleinfo/3697924,https://brema.suub.uni-bremen.de/suubcasual/name/list?alpha=t,Daniel Tidemann succeeds only on 28 Nov 1776; use approximate age 70 from birth year 1705.
CRI,Crimean Khanate,active Black Sea polity; map-sensitive context,Devlet IV Giray,Khan,,47,documented_approximate_age,"Crimean Khan, second reign 1775–1777",Crimean khanate,"Implement ruler/title only; no map, subject or diplomacy change.",NO,,YES,IMPLEMENT_RULER_ONLY_MAP_CONTEXT_DEFERRED,HIGH,HIGH,https://islamansiklopedisi.org.tr/sahin-giray,https://en.numista.com/catalogue/ruler.php?id=1870,"Ruler chronology strong; birth year 1728 lower-confidence, so use age 47 rather than exact date."
FRM,Free Imperial City of Frankfurt,independent presidential republic,Hieronymus Maximilian von Glauburg,Älterer Bürgermeister / Senior Mayor,,60,documented_approximate_age,1776 senior-mayor executive abstraction,Imperial free-city patrician republic,Preserve republic; no hereditary succession.,NO,,NO,IMPLEMENT_COLLECTIVE_EXECUTIVE_ABSTRACTION,HIGH_OFFICE_MEDIUM_AGE,HIGH,https://www.frankfurter-patriziat.de/node/26911,https://www.rulers.org/gerstat1.html,1776 table pairs him with Johann Christian Lucius; do not confuse with Johann Hieronymus von Glauburg (1654–1727).
GAL,Kingdom of Galicia and Lodomeria,AUS crown land,Heinrich Joseph Johann von Auersperg,Governor of Galicia and Lodomeria,1697-06-24,78,exact_birth_date,"Governor of Galicia, 1774–1780",Habsburg crown-land administration,Visible delegated governor; preserve AUS crown_land.,NO,AUS,NO,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,https://www.deutsche-digitale-bibliothek.de/person/gnd/122020545,https://yalebooks.yale.edu/book/9780300207279/the-politics-of-cultural-retreat/,Maria Theresa remains sovereign.
HAM,Free Imperial City of Hamburg,independent presidential republic,Nicolaus Schuback,Bürgermeister / Mayor,1700-02-18,75,exact_birth_date,Mayor since 1754; Generalissimus since 1774,Imperial free-city republic,Preserve republic; use mayor as single-character abstraction.,NO,,NO,IMPLEMENT_COLLECTIVE_EXECUTIVE_ABSTRACTION,HIGH,HIGH,https://www.deutsche-biographie.de/sfz79265.html,,Do not create hereditary rule.
HOH,Fork abstraction: Hohenzollern,PRU puppet,Karl Friedrich of Hohenzollern-Sigmaringen,Prince of Hohenzollern-Sigmaringen,1724-01-09,51,exact_birth_date,"Reigning Prince, 1769–1785",Hereditary principality,Implement only if local fork evidence shows HOH = Sigmaringen; otherwise defer. Do not change PRU relation.,NO,PRU,NO,CONDITIONAL_LOCAL_MAPPING,HIGH,MEDIUM,https://www.leo-bw.de/detail/-/Detail/details/PERSON/wlbblb_personen/131601458/Hohenzollern-Sigmaringen%2BKarl%2BFriedrich%3B%2BF%C3%BCrst%2Bvon,,Hohenzollern-Hechingen also existed.
HUN,Kingdom of Hungary,AUS crown land,Albert Casimir of Saxony-Teschen,Royal Governor / Lieutenant of Hungary,1738-07-11,37,exact_birth_date,Appointed governor/lieutenant; in Pressburg from 1766,Habsburg crown-land administration,Visible delegated executive; Maria Theresa remains sovereign/Queen.,NO,AUS,NO,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,https://mnl.gov.hu/mnl/ol/hirek/idegen_herceg_a_magyar_helytartoi_szekben,,Do not make Albert King.
IREK,Kingdom of Ireland,GBR personal union; scripted-but-unverified,George III,King of Ireland,1738-06-04,37,reuse_batch1_exact_birth_date,Shared sovereign with Great Britain,Separate Irish Parliament under shared Crown; pre-1782 subordination,Reuse Batch-1 George III through PU; no duplicate. Audit malformed law ID locally.,YES,GBR,NO,VERIFY_SHARED_MONARCH_AND_TECHNICAL_LAW,HIGH,HIGH,https://www.parliament.uk/about/living-heritage/evolutionofparliament/legislativescrutiny/parliamentandireland/key-dates/,https://www.parliament.uk/about/living-heritage/evolutionofparliament/legislativescrutiny/parliamentandireland/overview/meeting-irelands-terms/,Do not guess the correction for law_type:state_religion; resolve against local 1.13 IDs.
