tech_id_provisional,tech_name_fr,tech_name_en,branch,subbranch,era,era_window,tech_type,prerequisites,cross_branch_prerequisites,direct_unlocks,future_techs_opened,representation,design_status,vanilla_overlap,historical_window,antecedent,practical_breakthrough,institutional_adoption,widespread_use,historical_confidence,gameplay_role,ai_considerations,production_links,military_links,law_institution_links,regional_transfer_notes,notes,source_urls
institutionalized_scientific_exchange,Échanges scientifiques institutionnalisés,Institutionalized Scientific Exchange,Society,Science / connaissance,I,~1690–1719,UNIVERSAL_STARTING_DIFFERENTIAL,BASELINE_LITERACY_AND_KNOWLEDGE_NETWORKS,,Correspondance savante; publications; traduction; circulation internationale des observations; tech spread,codified_practical_knowledge; specialized_technical_academies; polytechnical_education,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Pré-1700 puis expansion au XVIIIe siècle,"Académies, universités, réseaux savants et traditions érudites préexistantes dans plusieurs régions","Réseaux institutionnels capables de collecter, vérifier, publier et traduire des savoirs","XVIIe–XVIIIe siècles, trajectoires nationales et impériales diverses","XVIIIe siècle, surtout dans les États disposant d'institutions lettrées connectées",HIGH,Socle de tech spread et de transferts de connaissances; futur support de l'Industrial Knowledge Loop,"Poids élevé avec universités, academics, forte alphabétisation ou stratégie de rattrapage",Applied Mineralogy; Geological Surveying; chemistry; industrial knowledge,Marine Chronometry; Technical Academies; surveying,,"Qing court science, Rangaku japonais et écoles ottomanes doivent pouvoir interagir avec ce node sans être décrits comme simples copies européennes.",,https://royalsociety.org/about-us/who-we-are/history/;https://royalsociety.org/blog/2022/11/empire-of-learning/
institutionalized_public_credit,Crédit public institutionnalisé,Institutionalized Public Credit,Society,Finance / État,I,~1690–1719,UNIVERSAL_STARTING_DIFFERENTIAL,BASELINE_FISCAL_ADMINISTRATION,,Dette publique structurée; emprunts de long terme; financement de guerre; intermédiaires financiers; bank-of-issue reform hooks,popular_savings_institutions,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Fin XVIIe–XVIIIe siècle,"Prêts aux souverains, fermes fiscales, annuités, réseaux bancaires et marchands anciens",Institutionnalisation de créances publiques cessibles/finançables et d'un crédit étatique durable,Angleterre 1694; voies ottomanes malikane/esham; réseaux indiens et néerlandais selon formes propres,Très inégal selon États au XVIIIe siècle,HIGH,"Dette, war finance, investment confidence, central-bank/law hooks; pas 'invention de la banque'","Poids selon dette, guerre, fiscalité, richesse des capitalistes et besoin d'investissement",Construction / investment pool,War finance / mobilization,Central bank / bank of issue / debt-management reforms,"Les formes ottomanes, indiennes, néerlandaises et anglaises peuvent représenter la même capacité générale par des institutions distinctes.",,https://www.bankofengland.co.uk/about/history;https://www.bankofengland.co.uk/museum/online-collections/blog/why-was-the-bank-of-england-founded
joint_stock_capital_markets,Marchés de capitaux par actions,Joint-Stock Capital Markets,Society,Finance / commerce,I,~1690–1719,UNIVERSAL_STARTING_DIFFERENTIAL,BASELINE_LONG_DISTANCE_COMMERCE,,Actions transférables; sociétés par actions; capital privé mutualisé; securities-market hooks,,NODE,KEEP_CONCEPT,VANILLA_OVERLAP_PENDING_AUDIT_HIGH,"Capacité pré-1700 dans certains centres, diffusion graduelle",Partenariats marchands et compagnies à privilège,Capital permanent et titres transférables à grande échelle,Amsterdam/VOC dès 1602; autres marchés à trajectoires différenciées,XVIIIe–XIXe siècles,HIGH,"Companies, private investment, capital-market capacity","Poids selon merchants/capitalists, companies et marché financier",Companies / private construction,,Corporate/company law hooks,,Stock Exchange est MERGED dans ce node; ne pas créer une tech séparée.,https://www.euronext.com/en/news/exchange-drumming-historical-traditions
commercial_insurance_markets,Marchés d'assurance commerciale,Commercial Insurance Markets,Society,Finance / commerce,I,~1690–1719,UNIVERSAL_STARTING_DIFFERENTIAL,BASELINE_LONG_DISTANCE_COMMERCE,,Underwriting; mutualisation du risque; intelligence maritime; trade-risk reduction,ship_classification_surveying [Military],NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Pré-1700 puis institutionnalisation au XVIIIe siècle,Assurance maritime médiévale et moderne précoce,Marchés spécialisés d'underwriters et information commerciale structurée,Lloyd's à la fin XVIIe; organisation formelle croissante au XVIIIe,Grands centres commerciaux maritimes,HIGH,Réduit le risque commercial et soutient finance maritime/companies,Poids selon commerce maritime et valeur des routes,,Ship Classification & Surveying; Maritime Safety Standards,,,,https://www.lloyds.com/about-lloyds/history/
periodical_print_networks,Réseaux d'imprimés périodiques,Periodical Print Networks,Society,Information / médias,I,~1690–1719,UNIVERSAL_STARTING_DIFFERENTIAL,BASELINE_PRINT_CULTURE,,Gazettes; journaux; revues; périodiques savants; circulation régulière des nouvelles,organized_reform_movements; optical_telegraph_networks; mechanized_printing,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,"Presse périodique pré-1700, expansion forte au XVIIIe","Manuscrits, feuilles d'information, gazettes, xylographie et typographie",Publication régulière et réseaux de distribution de nouvelles,Différent selon cultures de l'imprimé et cadres de censure,XVIIIe siècle dans de nombreuses sociétés urbaines lettrées,HIGH,"Information diffusion, tech/culture spread, movement reach; ne suppose pas Free Press","Poids selon literacy, urbanization et paper supply",Paper demand,,Censorship / Licensed Press / Free Press / Newspaper Taxation,Japon Edo peut avoir forte culture imprimée sans suivre le même chemin typographique européen; réformes ottomanes/égyptiennes peuvent acquérir cette capacité par événements.,,https://www.bl.uk/stories/blogs/posts/400-years-of-british-newspapers
systematic_administrative_statistics,Statistique administrative systématique,Systematic Administrative Statistics,Society,Administration / information,II,~1720–1749,UNIVERSAL_STARTING_DIFFERENTIAL,BASELINE_BUREAUCRATIC_RECORDS,,Rapports standardisés; tableaux fiscaux/économiques/démographiques; comparaison territoriale,systematic_population_registration; systematic_cadastral_surveying; central_statistical_offices,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,"XVIIIe siècle, avec antécédents administratifs très anciens","Registres fiscaux, fonciers, militaires et démographiques anciens",Utilisation régulière et comparée des données pour connaître l'État,"Différencié selon bureaucraties européennes, Qing, ottomanes et autres",XVIIIe–début XIXe,HIGH,"State information, taxation, census, surveying and planning",Poids élevé pour grands États et bureaucraties complexes,Geological Surveying / resource planning,Military Topographic Surveying / mobilization information,,,Ne signifie pas 'invention de compter'.,https://www.cambridge.org/core/books/statistics-public-debate-and-the-state-18001945/5F3B51FFCDCEB42EBA5C1873521B0D80/listing
variolation_networks,Réseaux de variolisation,Variolation Networks,Society,Médecine / transfert de savoir,II,~1720–1749,EVENT_ACQUIRED_UNIVERSAL,EXPOSURE_TO_VARIOLATION_PRACTICE,,Inoculation antivariolique; mortality ↓ avec risques; knowledge-transfer events,vaccination,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Pratiques anciennes en Afrique/Asie/monde ottoman; diffusion documentée au début XVIIIe,Pratiques régionales d'inoculation,Transmission documentée des méthodes vers de nouveaux réseaux médicaux,Années 1710–1720 en Grande-Bretagne et ailleurs par correspondance/voyage,"XVIIIe siècle, très inégal",HIGH,Réduction mortalité avec trade-off risque; prototype de technology transfer régional,"Poids fort face à la variole, selon institutions médicales",,Permanent Military Hospitals benefit,,"Certains pays/régions commencent avec la capacité; d'autres la débloquent par traduction, médecins, diplomatie ou événements.",,https://makingscience.royalsociety.org/in-focus/smallpox-in-the-archives;https://makingscience.royalsociety.org/items/clp_14ii_28/paper-paper-relating-to-the-inoculation-of-the-smallpox-as-it-is-practised-sic-in-the-kingdoms-of-tripoli-tunis-and-algier-algiers-by-cassem-aga
codified_practical_knowledge,Savoirs pratiques codifiés et encyclopédiques,Codified & Encyclopedic Practical Knowledge,Society,Science / information,III,~1750–1774,UNIVERSAL,institutionalized_scientific_exchange; periodical_print_networks,,"Codification des arts, métiers et sciences; qualifications/tech spread ciblé",political_economy; specialized_technical_academies,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Milieu XVIIIe,"Encyclopédies, compendia et traditions de savoir technique antérieurs",Systématisation publique de savoirs pratiques et scientifiques,Milieu–fin XVIIIe,XVIIIe–XIXe,HIGH,Tech spread et diffusion de savoir-faire; pas gros bonus d'innovation brute,"Poids selon literacy, academics, urban centers",All applied branches,Technical education / surveying,,,,https://plato.stanford.edu/archives/spr2012/entries/enlightenment/
political_economy,Économie politique,Political Economy,Society,Économie / pensée,III,~1750–1774,UNIVERSAL,systematic_administrative_statistics; codified_practical_knowledge,,"Economic-policy doctrines; tax/trade law hooks; analysis of agriculture, commerce and public wealth",classical_political_economy,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Milieu XVIIIe,"Mercantilist, agrarian, fiscal and commercial thought traditions","Systematic study of production, circulation, taxation and national wealth",Physiocrats and other schools mid XVIIIe,Late XVIIIe–XIXe,HIGH,Unlock/weight economic laws rather than generic GDP buff,"Poids selon trade, tax reform and merchant/intellectual IGs",Agriculture / industry / trade policy,,,,,https://plato.stanford.edu/archives/spr2012/entries/enlightenment/
specialized_technical_academies,Académies techniques spécialisées,Specialized Technical Academies,Society,Éducation / professions,III,~1750–1774,UNIVERSAL,institutionalized_scientific_exchange,,"Engineering, mining, naval and technical schools; engineer qualifications; targeted applied tech spread",polytechnical_education; specialized_professional_societies,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1740s–1790s,"Apprenticeship, universities, military schools and craft traditions",Permanent higher education specialized in engineering/mining/naval sciences,Ponts 1747; Freiberg 1765; Ottoman naval engineering 1773; other schools follow,Late XVIIIe–XIXe,HIGH,Qualifications + cross-branch research/spread,Poids selon engineer/mining/naval needs,Applied Mineralogy; Professional Civil Engineering; Chemical Works,Scientific Naval Architecture; Engineer Services,,Ottoman and other reform paths can directly grant/progress this universal tech.,,https://www.ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire;https://tu-freiberg.de/en/university/history;https://hst.itu.edu.tr/en/about/history-of-itu
veterinary_science,Science vétérinaire,Veterinary Science,Society,Médecine / professions,III,~1750–1774,UNIVERSAL,institutionalized_scientific_exchange,,Veterinary profession/schools; livestock health; military-veterinary crosslink,military_veterinary_services [Military],NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1760s onward,Farriery and animal medicine traditions,Institutionalized scientific veterinary education,Lyon 1761/62; Alfort 1766; spread thereafter,Late XVIIIe–XIXe,HIGH,Livestock health and qualifications; military animal attrition link,Poids selon livestock/cavalry/agriculture,Selective Breeding; livestock,Military Veterinary Services,,,,https://www.vetagro-sup.fr/history/;https://www.nam.ac.uk/explore/royal-army-veterinary-corps
organized_elementary_schooling,Scolarisation élémentaire organisée,Organized Elementary Schooling,Society,Éducation,III,~1750–1774,UNIVERSAL_STARTING_DIFFERENTIAL,BASELINE_SCHOOLING_TRADITIONS,,Broad basic literacy; teacher networks; reading/writing/arithmetic; Education Institution access,mass_circulation_press,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,"XVIIe–XVIIIe, institutional intensification mid-late XVIIIe","Religious, community, temple, local and private schools",Dense organized elementary-school networks and/or state systematization,"Prussia 1763, Habsburg 1774; Japan terakoya via different non-state path",Highly uneven by 1800,HIGH,"Literacy / education institution throughput, independent from exact ownership law",Poids with low literacy and sufficient bureaucracy/funding,,,Religious / private-local / state / mixed education systems,Japan can start advanced in organized schooling without 'state school' tech.,,https://germanhistorydocs.org/en/the-holy-roman-empire-1648-1815/friedrich-der-grosse-koeniglich-preussisches-general-land-schul-reglement-1763;https://www.bundeskanzleramt.gv.at/bundeskanzleramt/besuchen-sie-uns/gang-der-geschichte/1774.html
systematic_population_registration,Enregistrement systématique de la population,Systematic Population Registration,Society,Administration / démographie,III,~1750–1774,UNIVERSAL_STARTING_DIFFERENTIAL,systematic_administrative_statistics,,Regular enumeration; household/population registers; demographic totals; manpower/tax information,central_statistical_offices,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Mid XVIIIe–early XIXe,"Ancient censuses, household and tax registers",Regular standardized population registration at large territorial scale,Qing annualized demographic reporting 1740s; Sweden 1749; Britain 1801; Ottoman general census 1831 via own reform path,Very uneven before 1836,HIGH,"Tax, conscription and demographic information; not 'invention of census'",Poids for large states and conscription/tax reform,Workforce planning,Mobilization / staff information,,Starting tech assignment must be historically differentiated.,,https://www.ons.gov.uk/census/2011census/howourcensusworks/aboutcensuses/censushistory/earlycensustakinginenglandandwales
clinical_medical_education,Enseignement médical clinique,Clinical Medical Education,Society,Médecine / éducation,III,~1750–1774,UNIVERSAL,institutionalized_scientific_exchange,,Bedside teaching; case histories; anatomical dissection PM; surgical/obstetric training PM,clinicopathological_medicine,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Mid XVIIIe,"Medical schools, hospitals and bedside traditions",Hospital-based systematic teaching from observed patients,Edinburgh 1748 onward and comparable developments,Late XVIIIe–XIXe,HIGH,Medical qualifications and hospital efficiency; supports Military hospitals,Poids according to universities/hospitals and mortality,,Permanent Military Hospitals; Battlefield Evacuation,,,"Anatomy, surgery and obstetrics remain PM/professional specializations, not separate core nodes.",https://www.rcpe.ac.uk/heritage/teaching;https://www.rcpe.ac.uk/heritage/william-cullen
classical_political_economy,Économie politique classique,Classical Political Economy,Society,Économie / pensée,IV,~1775–1799,UNIVERSAL,political_economy,,Market/trade/tax reform doctrines; investment and labor-market analysis,liberal_constitutionalism; early_socialism_cooperativism,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1770s–early XIXe,Political Economy,"Smith and contemporaries systematize classical analysis of markets, division of labor and public policy",Late XVIIIe,Early XIXe,HIGH,Unlock/weight economic law options; does not force laissez-faire,Driven by economic structure and IG ideology,Trade / market / ownership law hooks,,,,,https://www.britannica.com/topic/The-Wealth-of-Nations
constitutional_government,Gouvernement constitutionnel,Constitutional Government,Society,Politique / institutions,IV,~1775–1799,UNIVERSAL,periodical_print_networks,,Written-constitution frameworks; separation of powers; representative-government law hooks,universal_rights_discourse; national_sovereignty; liberal_constitutionalism,NODE,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,1776–1790s,"Older charters, estates, republics, parliaments and mixed constitutions",Written constitutional frameworks explicitly defining sovereign institutions and powers,American constitutions/US 1787; France 1791; rapid Atlantic and later global diffusion,Late XVIIIe–XIXe,HIGH,Government-law unlocks; no automatic democratization,"Driven by revolution, reform movements and elite interests",,,Constitutional monarchy/republic/representative government hooks,"Latin American and Haitian constitutional trajectories must not be modeled as mere copies; multiple liberal, conservative and radical constitutional models existed.",,https://www.archives.gov/milestone-documents/constitution;https://www.elysee.fr/la-presidence/la-constitution-du-3-septembre-1791
