tech_id,branch,era,unlock_count,dead_end_classification,candidate_successor_family,future_action,reason
baking_powder,Production,era_7,1,LIKELY_MISSING_SUCCESSOR,food_industrialization,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
sericulture,Production,era_7,0,JUSTIFIED_DEAD_END,agricultural_modernization,KEEP_UNLESS_TECH4B_REBALANCE_REQUIRES_CHANGE,Specialized or event-oriented endpoint with a defensible terminal role and/or meaningful direct unlocks.
organized_sports,Society,era_7,0,JUSTIFIED_DEAD_END,sports_mass_culture,KEEP_UNLESS_TECH4B_REBALANCE_REQUIRES_CHANGE,Specialized or event-oriented endpoint with a defensible terminal role and/or meaningful direct unlocks.
modern_nursing,Military,era_8,1,LIKELY_MISSING_SUCCESSOR,public_health,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
mechanized_farming,Production,era_8,3,LIKELY_MISSING_SUCCESSOR,agricultural_modernization,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
feminism,Society,era_8,2,LIKELY_MISSING_SUCCESSOR,rights_reform,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
pumpjacks,Production,era_9,11,LIKELY_MISSING_SUCCESSOR,internal_combustion,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
war_propaganda,Military,era_10,0,LIKELY_MISSING_SUCCESSOR,mass_politics_media,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
landing_craft,Naval,era_10,0,POSSIBLE_BRANCH_TERMINAL,amphibious_operations,REVIEW_OPTIONAL_SUCCESSOR_IN_TECH4C,"No direct successor exists; the specialization may be terminal, but the family should be reviewed against overall dead-end density."
submarine,Naval,era_10,0,LIKELY_MISSING_SUCCESSOR,naval_weapons,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
art_silk,Production,era_10,1,JUSTIFIED_DEAD_END,industrial_materials,KEEP_UNLESS_TECH4B_REBALANCE_REQUIRES_CHANGE,Specialized or event-oriented endpoint with a defensible terminal role and/or meaningful direct unlocks.
automatic_bottle_blowers,Production,era_10,1,JUSTIFIED_DEAD_END,food_industrialization,KEEP_UNLESS_TECH4B_REBALANCE_REQUIRES_CHANGE,Specialized or event-oriented endpoint with a defensible terminal role and/or meaningful direct unlocks.
nitrogen_fixation,Production,era_10,3,JUSTIFIED_DEAD_END,agricultural_modernization,KEEP_UNLESS_TECH4B_REBALANCE_REQUIRES_CHANGE,Specialized or event-oriented endpoint with a defensible terminal role and/or meaningful direct unlocks.
plastics,Production,era_10,1,JUSTIFIED_DEAD_END,industrial_materials,KEEP_UNLESS_TECH4B_REBALANCE_REQUIRES_CHANGE,Specialized or event-oriented endpoint with a defensible terminal role and/or meaningful direct unlocks.
multilateral_alliances,Society,era_10,0,POSSIBLE_BRANCH_TERMINAL,nationalism_imperialism,REVIEW_OPTIONAL_SUCCESSOR_IN_TECH4C,"No direct successor exists; the specialization may be terminal, but the family should be reviewed against overall dead-end density."
zeppelins,Society,era_10,1,POSSIBLE_BRANCH_TERMINAL,military_aviation,REVIEW_OPTIONAL_SUCCESSOR_IN_TECH4C,"No direct successor exists; the specialization may be terminal, but the family should be reviewed against overall dead-end density."
electric_railway,Production,era_11,7,LIKELY_MISSING_SUCCESSOR,rail_transport,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
radio,Production,era_11,2,LIKELY_MISSING_SUCCESSOR,telecommunications,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
analytical_philosophy,Society,era_11,1,JUSTIFIED_DEAD_END,philosophy_psychology,KEEP_UNLESS_TECH4B_REBALANCE_REQUIRES_CHANGE,Specialized or event-oriented endpoint with a defensible terminal role and/or meaningful direct unlocks.
behaviorism,Society,era_11,0,LIKELY_MISSING_SUCCESSOR,philosophy_psychology,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
mass_propaganda,Society,era_11,1,LIKELY_MISSING_SUCCESSOR,mass_politics_media,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
paved_roads,Society,era_11,0,LIKELY_MISSING_SUCCESSOR,urban_infrastructure,REVIEW_CONNECTION_IN_TECH4C,"The conceptual family clearly continues or should feed a later family, but the current node has no successor."
