"legacy_region","script_line","surrounding_block","scope_type","old_expression","old_semantics","candidate_expression","vanilla_proof","geographic_match","semantic_match","decision"
"region_persia","348","diplomatic_play_support/great_game_meddling","country.capital_state","capital.region = sr:region_persia","Match the state or capital against the exact legacy region_persia state-region footprint.","capital = { is_in_geographic_region = geographic_region_persia_old }","Vanilla 1.13.9 defines geographic_region_persia_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_madras","1482","state_value/consolidate_colonial_rule","scope:target_state","region = sr:region_madras","Match the state or capital against the exact legacy region_madras state-region footprint.","is_in_geographic_region = geographic_region_madras_old","Vanilla 1.13.9 defines geographic_region_madras_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bombay","1483","state_value/consolidate_colonial_rule","scope:target_state","region = sr:region_bombay","Match the state or capital against the exact legacy region_bombay state-region footprint.","is_in_geographic_region = geographic_region_bombay_old","Vanilla 1.13.9 defines geographic_region_bombay_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bengal","1484","state_value/consolidate_colonial_rule","scope:target_state","region = sr:region_bengal","Match the state or capital against the exact legacy region_bengal state-region footprint.","is_in_geographic_region = geographic_region_bengal_old","Vanilla 1.13.9 defines geographic_region_bengal_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_central_india","1485","state_value/consolidate_colonial_rule","scope:target_state","region = sr:region_central_india","Match the state or capital against the exact legacy region_central_india state-region footprint.","is_in_geographic_region = geographic_region_central_india_old","Vanilla 1.13.9 defines geographic_region_central_india_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_persia","1551","state_value/eastern_frontier","scope:target_state","region = sr:region_persia","Match the state or capital against the exact legacy region_persia state-region footprint.","is_in_geographic_region = geographic_region_persia_old","Vanilla 1.13.9 defines geographic_region_persia_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bombay","1553","state_value/eastern_frontier","scope:target_state","region = sr:region_bombay","Match the state or capital against the exact legacy region_bombay state-region footprint.","is_in_geographic_region = geographic_region_bombay_old","Vanilla 1.13.9 defines geographic_region_bombay_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_punjab","1554","state_value/eastern_frontier","scope:target_state","region = sr:region_punjab","Match the state or capital against the exact legacy region_punjab state-region footprint.","is_in_geographic_region = geographic_region_punjab_old","Vanilla 1.13.9 defines geographic_region_punjab_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_madras","2296","subject_value/indian_suzerain_vs_afghanistan","ROOT.any_scope_state","region = sr:region_madras","Match the state or capital against the exact legacy region_madras state-region footprint.","is_in_geographic_region = geographic_region_madras_old","Vanilla 1.13.9 defines geographic_region_madras_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bombay","2297","subject_value/indian_suzerain_vs_afghanistan","ROOT.any_scope_state","region = sr:region_bombay","Match the state or capital against the exact legacy region_bombay state-region footprint.","is_in_geographic_region = geographic_region_bombay_old","Vanilla 1.13.9 defines geographic_region_bombay_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bengal","2298","subject_value/indian_suzerain_vs_afghanistan","ROOT.any_scope_state","region = sr:region_bengal","Match the state or capital against the exact legacy region_bengal state-region footprint.","is_in_geographic_region = geographic_region_bengal_old","Vanilla 1.13.9 defines geographic_region_bengal_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_central_india","2299","subject_value/indian_suzerain_vs_afghanistan","ROOT.any_scope_state","region = sr:region_central_india","Match the state or capital against the exact legacy region_central_india state-region footprint.","is_in_geographic_region = geographic_region_central_india_old","Vanilla 1.13.9 defines geographic_region_central_india_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_punjab","2300","subject_value/indian_suzerain_vs_afghanistan","ROOT.any_scope_state","region = sr:region_punjab","Match the state or capital against the exact legacy region_punjab state-region footprint.","is_in_geographic_region = geographic_region_punjab_old","Vanilla 1.13.9 defines geographic_region_punjab_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_madras","2307","subject_value/indian_suzerain_subject_states","ROOT.any_subject_or_below.any_scope_state","region = sr:region_madras","Match the state or capital against the exact legacy region_madras state-region footprint.","is_in_geographic_region = geographic_region_madras_old","Vanilla 1.13.9 defines geographic_region_madras_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bombay","2308","subject_value/indian_suzerain_subject_states","ROOT.any_subject_or_below.any_scope_state","region = sr:region_bombay","Match the state or capital against the exact legacy region_bombay state-region footprint.","is_in_geographic_region = geographic_region_bombay_old","Vanilla 1.13.9 defines geographic_region_bombay_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bengal","2309","subject_value/indian_suzerain_subject_states","ROOT.any_subject_or_below.any_scope_state","region = sr:region_bengal","Match the state or capital against the exact legacy region_bengal state-region footprint.","is_in_geographic_region = geographic_region_bengal_old","Vanilla 1.13.9 defines geographic_region_bengal_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_central_india","2310","subject_value/indian_suzerain_subject_states","ROOT.any_subject_or_below.any_scope_state","region = sr:region_central_india","Match the state or capital against the exact legacy region_central_india state-region footprint.","is_in_geographic_region = geographic_region_central_india_old","Vanilla 1.13.9 defines geographic_region_central_india_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_punjab","2311","subject_value/indian_suzerain_subject_states","ROOT.any_subject_or_below.any_scope_state","region = sr:region_punjab","Match the state or capital against the exact legacy region_punjab state-region footprint.","is_in_geographic_region = geographic_region_punjab_old","Vanilla 1.13.9 defines geographic_region_punjab_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_persia","2836","recklessness/eastern_frontier_persia","scope:target_country.capital_state","region = sr:region_persia","Match the state or capital against the exact legacy region_persia state-region footprint.","is_in_geographic_region = geographic_region_persia_old","Vanilla 1.13.9 defines geographic_region_persia_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_madras","3279","aggression/eic_consolidate_colonial_rule","scope:target_country.any_scope_state","region = sr:region_madras","Match the state or capital against the exact legacy region_madras state-region footprint.","is_in_geographic_region = geographic_region_madras_old","Vanilla 1.13.9 defines geographic_region_madras_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bombay","3280","aggression/eic_consolidate_colonial_rule","scope:target_country.any_scope_state","region = sr:region_bombay","Match the state or capital against the exact legacy region_bombay state-region footprint.","is_in_geographic_region = geographic_region_bombay_old","Vanilla 1.13.9 defines geographic_region_bombay_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bengal","3281","aggression/eic_consolidate_colonial_rule","scope:target_country.any_scope_state","region = sr:region_bengal","Match the state or capital against the exact legacy region_bengal state-region footprint.","is_in_geographic_region = geographic_region_bengal_old","Vanilla 1.13.9 defines geographic_region_bengal_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_central_india","3282","aggression/eic_consolidate_colonial_rule","scope:target_country.any_scope_state","region = sr:region_central_india","Match the state or capital against the exact legacy region_central_india state-region footprint.","is_in_geographic_region = geographic_region_central_india_old","Vanilla 1.13.9 defines geographic_region_central_india_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_punjab","3283","aggression/eic_consolidate_colonial_rule","scope:target_country.any_scope_state","region = sr:region_punjab","Match the state or capital against the exact legacy region_punjab state-region footprint.","is_in_geographic_region = geographic_region_punjab_old","Vanilla 1.13.9 defines geographic_region_punjab_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_madras","3308","aggression/britain_consolidating_south_asia","scope:target_country.any_scope_state","region = sr:region_madras","Match the state or capital against the exact legacy region_madras state-region footprint.","is_in_geographic_region = geographic_region_madras_old","Vanilla 1.13.9 defines geographic_region_madras_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bombay","3309","aggression/britain_consolidating_south_asia","scope:target_country.any_scope_state","region = sr:region_bombay","Match the state or capital against the exact legacy region_bombay state-region footprint.","is_in_geographic_region = geographic_region_bombay_old","Vanilla 1.13.9 defines geographic_region_bombay_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_bengal","3310","aggression/britain_consolidating_south_asia","scope:target_country.any_scope_state","region = sr:region_bengal","Match the state or capital against the exact legacy region_bengal state-region footprint.","is_in_geographic_region = geographic_region_bengal_old","Vanilla 1.13.9 defines geographic_region_bengal_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
"region_central_india","3311","aggression/britain_consolidating_south_asia","scope:target_country.any_scope_state","region = sr:region_central_india","Match the state or capital against the exact legacy region_central_india state-region footprint.","is_in_geographic_region = geographic_region_central_india_old","Vanilla 1.13.9 defines geographic_region_central_india_old in common/geographic_regions/06_old_strategic_regions.txt; the same typed trigger is used on state scopes in current vanilla scripts.","EXACT_LEGACY_STATE_REGION_FOOTPRINT","EXACT","PATCH"
