"evidence_region","geographic_scope","default_potential_class","default_candidate_limestone_potential","default_evidence_status","geological_conclusion","state_level_adjustment_rule","source_urls","implementation_status"
"British Isles","Great Britain and Ireland","MEDIUM","28","HIGH_CONFIDENCE","Chalk and other carbonate belts are extensive in southern and eastern England, with additional limestone provinces in Wales, northern England and Ireland; crystalline Highland terrain is less favorable.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www2.bgs.ac.uk/groundwater/shaleGas/aquifersAndShales/maps/aquifers/Chalk.html|https://onegeology.github.io/documentation/using/portal.html","RESEARCHED_PENDING_IMPLEMENTATION"
"France and Benelux","France, Belgium, Luxembourg and the Netherlands","HIGH","48","HIGH_CONFIDENCE","The Paris and Anglo-Paris basins contain major chalk and limestone tracts, while Belgian Paleozoic belts add strong carbonate potential; lowland cover reduces direct access in parts of the Netherlands and Flanders.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.brgm.fr/fr/reference-projet-acheve/premiere-version-carte-lithologique-france-metropolitaine-au-150-000e|https://sigessn.brgm.fr/spip.php?article46=|https://gsb.naturalsciences.be/maps/old-geological-maps-40k/|https://geologievannederland.nl/ondergrond/afzettingen-en-delfstoffen/kalksteen","RESEARCHED_PENDING_IMPLEMENTATION"
"Iberia","Spain and continental Portugal","MEDIUM","28","HIGH_CONFIDENCE","National lithological mapping shows widespread limestone, dolomite and marl across the Iberian sedimentary basins and mountain belts, with lower confidence or access on crystalline western massifs.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://mapas.igme.es/gis/rest/services/oneGeology/IGME_EN_Geology/MapServer/legend|https://onegeology.github.io/documentation/using/portal.html","RESEARCHED_PENDING_IMPLEMENTATION"
"Atlantic volcanic islands","Azores, Madeira, Canary Islands and Cape Verde","LOW","8","LOW_CONFIDENCE","Volcanic bedrock dominates these archipelagos; local marine carbonate lenses may exist, but state-scale cement-grade quarry potential is limited and requires island-specific confirmation.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://onegeology.github.io/documentation/using/portal.html|https://www.usgs.gov/centers/central-energy-resources-science-center/science/world-geologic-maps","REVIEW_REQUIRED"
"Italy","Italian peninsula, Sicily, Sardinia, Corsica and Malta","HIGH","48","MEDIUM_CONFIDENCE","Carbonate successions are widespread through the Alps, Apennines and major islands; alluvial plains and volcanic districts locally reduce direct quarry exposure.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.isprambiente.gov.it/en/databases/data-base-collection/soil-and-territory/geological-and-geotematics-map|https://onegeology.github.io/documentation/using/portal.html","RESEARCHED_PENDING_IMPLEMENTATION"
"German states and Central Europe","Germany, Austria, Switzerland, Czech lands, Hungary, Romania and Slovakia","MEDIUM","28","MEDIUM_CONFIDENCE","Mesozoic limestone belts, Alpine carbonates and Carpathian units create broad quarry potential, while northern lowlands and crystalline cores are more discontinuous.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.bgr.bund.de/DE/Themen/Sammlungen-Grundlagen/GG_geol_Info/Karten/Deutschland/GUEK250/guek250_inhalt.html?nn=1840614|https://www.bgr.bund.de/EN/Themen/Sammlungen-Grundlagen/GG_geol_Info/Karten/Deutschland/Bodenschatzkarte/bodenschatzkarte_node_en.html|https://gemas.eurogeosurveys.org/image/GEMAS_Brochure.pdf","RESEARCHED_PENDING_IMPLEMENTATION"
"Scandinavia and North Atlantic","Denmark, Norway, Sweden, Finland, Iceland and Greenland","MODEST","16","MEDIUM_CONFIDENCE","Danish chalk and Baltic carbonate islands contrast with widespread Scandinavian crystalline shield and North Atlantic volcanic terrain; Greenland includes carbonate successions but faces severe accessibility constraints.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://gemas.eurogeosurveys.org/image/GEMAS_Brochure.pdf|https://www.ni.is/en/resources/publications/maps/geological-maps|https://dataverse.geus.dk/dataverse/geological_maps_greenland%3Bjsessionid%3D151af2eba7d729abaef59babbf5c.proddataverse02?order=asc&page=1&q=&sort=nameSort&types=files|https://eng.geus.dk/media/13271/map1_p01-48.pdf","RESEARCHED_PENDING_IMPLEMENTATION"
"Balkans","Balkan Peninsula, Greece and Thrace","HIGH","48","MEDIUM_CONFIDENCE","The Dinaric, Hellenic and Balkan mountain systems contain extensive Mesozoic carbonate and karst belts, making limestone broadly abundant despite local basin or volcanic interruptions.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://onegeology.github.io/documentation/using/portal.html|https://www.usgs.gov/centers/central-energy-resources-science-center/science/world-geologic-maps","RESEARCHED_PENDING_IMPLEMENTATION"
"Poland and Baltic","Poland, Baltic states, Belarus and western borderlands","MEDIUM","28","HIGH_CONFIDENCE","Polish resource mapping explicitly records limestone, marl and chalk, strongest in southern and central belts; thick Quaternary cover and crystalline terrain lower potential northward and eastward.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.pgi.gov.pl/en/mineral-resources/maps/|https://baza.pgi.gov.pl/en/cbdg/geoportal/uslugi/gis|https://gemas.eurogeosurveys.org/image/GEMAS_Brochure.pdf","RESEARCHED_PENDING_IMPLEMENTATION"
"Russia and Ukraine","European Russia, Ukraine and adjacent platform basins","MODEST","16","MEDIUM_CONFIDENCE","Large sedimentary platform areas contain repeated carbonate formations, with stronger exposure in Ukraine, the Volga region and southern belts; shields, peatlands and deep cover constrain other states.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://pubs.usgs.gov/publication/ofr97470E|https://data.usgs.gov/datacatalog/data/USGS%3A60ad3d53d34e4043c850f275","RESEARCHED_PENDING_IMPLEMENTATION"
"Anatolia and Caucasus","Anatolia, Cyprus and the Caucasus","HIGH","48","MEDIUM_CONFIDENCE","Fold belts and plate margins expose extensive Mesozoic and Cenozoic carbonate sequences; high potential is tempered locally by volcanic massifs and narrow alluvial basins.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://onegeology.github.io/documentation/using/portal.html|https://pubs.usgs.gov/publication/ofr97470E|https://www.usgs.gov/maps/geologic-map-arabian-peninsula","RESEARCHED_PENDING_IMPLEMENTATION"
"Middle East","Levant, Mesopotamia, Iran and Arabian Peninsula","HIGH","48","MEDIUM_CONFIDENCE","The Arabian platform, Levant and Zagros contain very extensive marine carbonate sequences; major river alluvium and interior sand cover reduce directly accessible outcrop in selected states.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.usgs.gov/maps/geologic-map-arabian-peninsula|https://pubs.usgs.gov/publication/ofr97470B|https://onegeology.github.io/documentation/using/portal.html","RESEARCHED_PENDING_IMPLEMENTATION"
"North Africa","Maghreb, Libya, Egypt and northern Sahara","MEDIUM","28","MEDIUM_CONFIDENCE","Atlas belts, Mediterranean basins and Egypt contain widespread carbonate strata, while crystalline massifs, dunes and deep Saharan cover lower practical quarry potential inland.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.brgm.fr/en/reference-completed-project/new-edition-110000000-geological-map-africa|https://infoterre.brgm.fr/rapports/RP-54404-FR.pdf|https://emra.gov.eg/ca/geological-maps|https://cartesgeoscientifiques.mem.gov.ma/?tc=gp","RESEARCHED_PENDING_IMPLEMENTATION"
"Sahel and Nile transition","Sahel, Sudan and upper Nile transition states","MODEST","16","LOW_CONFIDENCE","Carbonate basins and river-margin sedimentary units occur locally, but broad Precambrian, dune and unconsolidated cover plus coarse source resolution warrant conservative potentials.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.brgm.fr/en/reference-completed-project/new-edition-110000000-geological-map-africa|https://infoterre.brgm.fr/rapports/RP-54404-FR.pdf|https://pubs.usgs.gov/publication/ofr97470A","REVIEW_REQUIRED"
"Sub-Saharan Africa","West, Central, East and Southern Africa plus Madagascar","MODEST","16","MEDIUM_CONFIDENCE","Local sedimentary basins and carbonate belts support limestone across the region, but large Precambrian shield areas make distribution discontinuous; South African mapping identifies major limestone and dolomite provinces.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.brgm.fr/en/reference-completed-project/new-edition-110000000-geological-map-africa|https://infoterre.brgm.fr/rapports/RP-54404-FR.pdf|https://www.geoscience.org.za/cgs/systems/publications/downloadable-material/|https://www.geoscience.org.za/cgs/systems/publications/cgs-geological-maps/","RESEARCHED_PENDING_IMPLEMENTATION"
"India","Indian subcontinent and Ceylon","HIGH","48","HIGH_CONFIDENCE","Indian Bureau of Mines state inventories document large cement-grade limestone resources, especially in Rajasthan, Gujarat, central and southern India; major delta and floodplain states are lower.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://ibm.gov.in/writereaddata/files/08062019095529Limestone_2018.pdf|https://ibm.gov.in/writereaddata/files/174963836168495cd990ccdIMYB2022_Volume_III.pdf","RESEARCHED_PENDING_IMPLEMENTATION"
"China","China and Mongolia represented in East Asia state files","MEDIUM","28","HIGH_CONFIDENCE","China Geological Survey sources identify enormous carbonate and karst provinces, particularly in the southwest and several northern basins; deserts, loess cover and crystalline plateaus reduce access elsewhere.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://en.cgs.gov.cn/Achievement/tci/gws/201603/t20160309_265903.html|https://en.cgs.gov.cn/Achievement/tci/gws/201603/t20160309_266042.html|https://m.cgs.gov.cn/cgkx/202108/t20210819_678423.html","RESEARCHED_PENDING_IMPLEMENTATION"
"Japan and Korea","Japanese archipelago and Korea","MODEST","16","MEDIUM_CONFIDENCE","Carbonate units occur in accretionary belts and Korean sedimentary basins but are discontinuous amid volcanic, plutonic and metamorphic terrain.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.gsj.jp/en/education/geomap-e/online-geological-map-of-japan/index.html|https://gbank.gsj.jp/owscontents/index_en.html|https://data.kigam.re.kr/data/d1a66b54-0541-4830-9b7f-0ea847430643?lang=en","RESEARCHED_PENDING_IMPLEMENTATION"
"Southeast Asia","Mainland Southeast Asia, Malaya and Burma","MEDIUM","28","MEDIUM_CONFIDENCE","Regional geological compilation shows widespread carbonate and karst belts from Burma through Indochina and Malaya, interrupted by deltas, volcanic arcs and granitic uplands.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://en.cgs.gov.cn/achievements/201601/t20160112_35416.html|https://gbank.gsj.jp/owscontents/index_en.html","RESEARCHED_PENDING_IMPLEMENTATION"
"Indonesia and Philippines","Indonesian and Philippine archipelagos","HIGH","48","HIGH_CONFIDENCE","Official Indonesian mapping records broad limestone distribution across the major islands; tectonic and volcanic areas make quality and accessibility variable, so not every island receives the same potential.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://geologi.esdm.go.id/storage/publikasi/kcVEQXADi0eq4J94sT1N1Ri8BgnURtxdEFTrvwO7.pdf|https://psg.geologi.esdm.go.id/index.php/layanan-geomap/","RESEARCHED_PENDING_IMPLEMENTATION"
"Australia and New Zealand","Australia and New Zealand","MEDIUM","28","HIGH_CONFIDENCE","Australian sedimentary provinces include the vast Nullarbor limestone plain, while New Zealand mapping shows important limestone basins including Canterbury; crystalline and volcanic provinces are lower.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://services.ga.gov.au/gis/rest/services/Australian_Geological_Provinces/MapServer|https://www.ga.gov.au/scientific-topics/national-location-information/landforms/australian-landforms-and-their-history|https://gis.gns.cri.nz/server/rest/services/Geological_Map_of_New_Zealand_1_Million/NZL_GNS_1M_geology_FeatureService/MapServer/4|https://www.gns.cri.nz/data-and-resources/digital-qmap-geological-maps-at-1250000/|https://shop.gns.cri.nz/mqm15/","RESEARCHED_PENDING_IMPLEMENTATION"
"North America","United States and Canada","MEDIUM","28","HIGH_CONFIDENCE","Limestone and dolomite are widespread across central and eastern North America and major western sedimentary basins; Canadian Shield and young volcanic provinces are substantially lower.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.usgs.gov/publications/natural-aggregates-conterminous-united-states|https://pubs.usgs.gov/bul/b1594/|https://pubs.usgs.gov/bul/1019e/report.pdf|https://geoappext.nrcan.gc.ca/arcgis/rest/services/MMS/GMRC_E/MapServer/0","RESEARCHED_PENDING_IMPLEMENTATION"
"Mexico, Central America and Caribbean","Mexico, Central America, Greater Antilles and Caribbean islands","MEDIUM","28","MEDIUM_CONFIDENCE","Mexican and Greater Antillean sedimentary belts include major carbonate provinces, notably Yucatan and Cuba; volcanic Central America and small oceanic islands receive conservative values.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www.sgm.gob.mx/GeoInfoMexGobMx/|https://www.usgs.gov/maps/geologic-map-greater-antilles-and-virgin-islands|https://onegeology.github.io/documentation/using/portal.html","RESEARCHED_PENDING_IMPLEMENTATION"
"Andes","Colombia, Venezuela, Ecuador, Peru, Bolivia and Chilean Andes","HIGH","48","HIGH_CONFIDENCE","National surveys document extensive limestone and industrial-mineral occurrences in Colombia and Peru; carbonate-bearing Andean basins continue regionally but volcanic massifs and high plateaus lower selected states.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://www2.sgc.gov.co/Publicaciones/Cientificas/NoSeriadas/Documents/Caliza-en-Colombia-geologia.PDF|https://srvags.sgc.gov.co/PortalWeb/Elementos-web/Geoportal/sistema/index.html|https://geocatmin.ingemmet.gob.pe/arcgis/rest/services/SERV_GEOLOGIA_50K_INTEGRADA/MapServer|https://geocatmin.ingemmet.gob.pe/arcgis/rest/services/SERV_ROCAS_MINERALES_INDUSTRIALES/MapServer/17","RESEARCHED_PENDING_IMPLEMENTATION"
"Brazil and Southern Cone","Brazil, Guianas, Argentina, Uruguay and Paraguay","MODEST","16","MEDIUM_CONFIDENCE","Brazilian and Argentine mapping shows carbonate occurrences within sedimentary basins and folded belts, but large shields, Amazon cover, Pampas sediment and Patagonia make potential uneven.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://rigeo.sgb.gov.br/items/32bb9679-e245-49d8-ba89-3fd9d68b59ea|https://repositorio.segemar.gov.ar/bitstream/handle/308849217/2825/CMIRyG_2766II_SM_Tucuman_M.pdf?isAllowed=y&sequence=1|https://onegeology.github.io/documentation/using/portal.html","RESEARCHED_PENDING_IMPLEMENTATION"
"Central Asia and Himalaya","Central Asia, Afghanistan, Tibet and Himalayan states","MEDIUM","28","LOW_CONFIDENCE","Orogenic and sedimentary belts contain substantial carbonate sequences, but state boundaries are coarse and deserts, plateau cover and accessibility introduce high uncertainty.","Raise for major documented carbonate provinces; lower for shields, volcanic terrain, thick cover, very small islands, or severe accessibility constraints. State rows record the applied result.","https://pubs.usgs.gov/publication/ofr97470E|https://data.usgs.gov/datacatalog/data/USGS%3A60ad3d53d34e4043c850f275|https://onegeology.github.io/documentation/using/portal.html","REVIEW_REQUIRED"
