tech_id,era,family,unlock_count,classification,justification
anarchism,era_7,political_ideologies,2,JUSTIFIED_TERMINAL,A complete ideological branch; forcing later technologies to require this mutually exclusive doctrine would create false dependencies.
baking_powder,era_7,food_industrialization,1,SPECIALIZED_TERMINAL,A specialized food-chemistry process with no credible downstream technology among the available nodes.
modern_nursing,era_7,military_medicine,1,SPECIALIZED_TERMINAL,"Professional nursing retains its real medical-degrees prerequisite and field-hospital unlock, but does not technically enable antibiotics."
organized_sports,era_7,sports_mass_culture,0,JUSTIFIED_TERMINAL,A mass-culture institution with no later node that requires mastery of organized sport.
realism,era_7,arts_visual_media,3,JUSTIFIED_TERMINAL,A complete artistic movement; camera technology is intentionally detached from this non-technical prerequisite.
sericulture,era_7,agricultural_modernization,0,JUSTIFIED_TERMINAL,Event/non-researchable regional technology retained outside normal research progression.
socialism,era_7,political_ideologies,4,JUSTIFIED_TERMINAL,A complete ideology with direct unlocks; generic political agitation does not require simultaneous mastery of rival ideologies.
civilizing_mission,era_8,nationalism_imperialism,2,JUSTIFIED_TERMINAL,An imperial ideology with gameplay effects but no later technology that it genuinely enables.
dynamite,era_8,industrial_explosives,7,SPECIALIZED_TERMINAL,A high-impact explosives endpoint with substantial direct unlocks and no necessary later prerequisite relationship.
feminism,era_8,rights_reform,2,JUSTIFIED_TERMINAL,A complete reform movement with direct gameplay effects and no universally dependent later doctrine.
corporatism,era_9,political_ideologies,3,JUSTIFIED_TERMINAL,A complete political doctrine; it is not forced into generic agitation or propaganda as an AND-gate.
elevator,era_9,urban_infrastructure,1,SPECIALIZED_TERMINAL,A distinct vertical-transport technology; road paving is intentionally no longer its artificial successor.
pumpjacks,era_9,extractive_industries,11,SPECIALIZED_TERMINAL,A substantial oil-extraction endpoint with eleven direct unlock references; fuel availability alone is not made a compulsory engine-research prerequisite.
automatic_bottle_blowers,era_10,food_industrialization,1,SPECIALIZED_TERMINAL,Specialized packaging machinery with no available later technology that directly depends on bottle forming.
electric_railway,era_10,rail_transport,7,SPECIALIZED_TERMINAL,The represented rail family has no later railway node; its seven direct unlocks make this a substantive endpoint.
malaria_prevention,era_10,public_health,0,SPECIALIZED_TERMINAL,A focused public-health program; antibiotic discovery does not technically depend on malaria control.
multilateral_alliances,era_10,nationalism_imperialism,0,JUSTIFIED_TERMINAL,A mature diplomatic institution and explicitly acceptable terminal.
paved_roads,era_10,urban_infrastructure,0,SPECIALIZED_TERMINAL,A complete urban-infrastructure branch endpoint; it is not used as an artificial prerequisite for armor.
plastics,era_10,industrial_materials,1,SPECIALIZED_TERMINAL,A mature synthetic-materials technology with no available later node that directly depends on it.
psychoanalysis,era_10,philosophy_psychology,0,JUSTIFIED_TERMINAL,A distinct psychology school; analytical philosophy and behaviorism are no longer falsely gated behind it.
zeppelins,era_10,military_aviation,1,SPECIALIZED_TERMINAL,A specialized airship branch and explicitly acceptable terminal.
analytical_philosophy,era_11,philosophy_psychology,1,JUSTIFIED_TERMINAL,A mature philosophical school with no later direct conceptual dependency in the available 111-tech universe.
behaviorism,era_11,philosophy_psychology,0,JUSTIFIED_TERMINAL,A mature psychology school and natural endpoint within the represented period.
concrete_fortifications,era_11,fortification,1,SPECIALIZED_TERMINAL,The late hardened-fortification branch ends naturally; mobile armor is deliberately not made its false successor.
landing_craft,era_11,amphibious_operations,0,SPECIALIZED_TERMINAL,A specialized amphibious capability and explicitly acceptable branch terminal.
mass_propaganda,era_11,mass_politics_media,1,JUSTIFIED_TERMINAL,The mass-media mobilization family reaches its mature represented form here.
submarine,era_11,naval_weapons,0,SPECIALIZED_TERMINAL,A specialized naval-weapons branch with no later submarine node in the available universe.
