"system_id","parent_polity","historical_force_pool","domain","member_tag","allocation_low","allocation_high","allocation_recommended","allocation_type","double_count_guard","historical_basis","conversion_confidence","notes"
"HABSBURG_LAND_1776","Habsburg Monarchy","220000 near-date establishment; 200 V3 represented pool","land","AUS","130","150","140","PARENT_CORE_AND_METROPOLITAN","AUS+HUN+BEO+GAL+TRS recommended allocations sum exactly 200; never add 220 again.","1777 establishment anchor","HIGH","Parent pool representation factor 0.91."
"HABSBURG_LAND_1776","Habsburg Monarchy","same shared pool","land","HUN","24","32","28","ALLOCATE_FROM_OVERLORD_POOL","Included within 200; not independent.","Constitutional/organizational packet","MEDIUM",""
"HABSBURG_LAND_1776","Habsburg Monarchy","same shared pool","land","BEO","8","14","12","LOCAL_GARRISON_FROM_PARENT","Included within 200; not independent.","Austrian Netherlands structural note","LOW",""
"HABSBURG_LAND_1776","Habsburg Monarchy","same shared pool","land","GAL","8","14","12","LOCAL_GARRISON_FROM_PARENT","Included within 200; not independent.","Galicia structural note","LOW",""
"HABSBURG_LAND_1776","Habsburg Monarchy","same shared pool","land","TRS","6","10","8","LOCAL_GARRISON_FROM_PARENT","Included within 200; not independent.","Transylvania structural note","LOW",""
"BRITISH_CROWN_LAND_1776","British Crown","48000-50000 global regular establishment","land","GBR","23","27","25","HOME_AND_RESERVE","All allocations remain GBR-tag formations and sum to 49.","1775 establishment","HIGH","Home allocation."
"BRITISH_CROWN_LAND_1776","British Crown","same shared pool","land","IREK","3","5","4","OVERSEAS_GARRISON_FROM_PARENT","Represent under GBR; IREK gets no independent force.","Imperial constitutional note","MEDIUM","Ireland garrison."
"BRITISH_CROWN_LAND_1776","British Crown","same shared pool","land","NVS","6","8","7","NORTH_AMERICAN_DEPLOYMENT_FROM_PARENT","Represent under GBR; colonial tags get no duplicate regulars.","About 7000 in North America in 1775","HIGH","NVS is ledger representative for British North American deployment; NBS/ONT/QUE remain zero independent."
"BRITISH_CROWN_LAND_1776","British Crown","same shared pool","land","GBR","4","6","5","WEST_INDIES_AND_MEDITERRANEAN_GARRISON","Included in GBR 49.","Global Crown establishment","MEDIUM",""
"BRITISH_CROWN_LAND_1776","British Crown","same shared pool","land","GBR","7","9","8","INDIA_CROWN_REGIMENTS","Included in GBR 49 and explicitly excluded from BIC 55.","Company-vs-Crown packet rule","LOW",""
"BIC_COMPANY_LAND_1776","East India Company","1760s Coromandel and 1778 India-wide brackets; no exact Jan 1776 pool","land","BIC","25","35","30","BENGAL_PRESIDENCY_COMPANY_FORCE","Company Europeans/sepoys/artillery only; Crown regiments excluded.","BIC source brackets","LOW",""
"BIC_COMPANY_LAND_1776","East India Company","same modeled 45-65 pool","land","BIC","12","20","16","MADRAS_PRESIDENCY_COMPANY_FORCE","Company only; Maitland/Crown scope not counted.","BIC source brackets","LOW",""
"BIC_COMPANY_LAND_1776","East India Company","same modeled 45-65 pool","land","BIC","8","10","9","BOMBAY_PRESIDENCY_COMPANY_FORCE","Company only.","BIC source brackets","LOW",""
"SPANISH_IMPERIAL_LAND_1776","Spanish Crown","85000-105000 modeled global Crown standing/garrison representation","land","SPA","65","82","75","METROPOLITAN_AND_CROWN_CORE","All colonial allocations remain in SPA-tag formations; total recommended pool 95.","Qualitative imperial model","LOW",""
"SPANISH_IMPERIAL_LAND_1776","Spanish Crown","same modeled pool","land","CUB","","","4","LOCAL_GARRISON_FROM_PARENT","Represent geographically under SPA, not as independent tag barracks.","Structural-defer packet","VERY_LOW",""
"SPANISH_IMPERIAL_LAND_1776","Spanish Crown","same modeled pool","land","PCO","","","2","LOCAL_GARRISON_FROM_PARENT","Represent geographically under SPA, not as independent tag barracks.","Structural-defer packet","VERY_LOW",""
"SPANISH_IMPERIAL_LAND_1776","Spanish Crown","same modeled pool","land","PHI","","","4","LOCAL_GARRISON_FROM_PARENT","Represent geographically under SPA, not as independent tag barracks.","Structural-defer packet","VERY_LOW",""
"SPANISH_IMPERIAL_LAND_1776","Spanish Crown","same modeled pool","land","SC1","","","4","LOCAL_GARRISON_FROM_PARENT","Represent geographically under SPA, not as independent tag barracks.","Structural-defer packet","VERY_LOW",""
"SPANISH_IMPERIAL_LAND_1776","Spanish Crown","same modeled pool","land","SC2","","","2","LOCAL_GARRISON_FROM_PARENT","Represent geographically under SPA, not as independent tag barracks.","Structural-defer packet","VERY_LOW",""
"SPANISH_IMPERIAL_LAND_1776","Spanish Crown","same modeled pool","land","SC3","","","2","LOCAL_GARRISON_FROM_PARENT","Represent geographically under SPA, not as independent tag barracks.","Structural-defer packet","VERY_LOW",""
"SPANISH_IMPERIAL_LAND_1776","Spanish Crown","same modeled pool","land","SC4","","","2","LOCAL_GARRISON_FROM_PARENT","Represent geographically under SPA, not as independent tag barracks.","Structural-defer packet","VERY_LOW",""
"SPANISH_IMPERIAL_LAND_1776","Spanish Crown","same modeled pool","land","LOU","","","0","LOCAL_GARRISON_FROM_PARENT","Represent geographically under SPA, not as independent tag barracks.","Structural-defer packet","VERY_LOW",""
"PORTUGUESE_IMPERIAL_LAND_1776","Portuguese Crown","20000-28000 modeled global Crown pool","land","POR","16","22","20","METROPOLITAN_CORE","POR+BRZ allocations sum to POR target 24; BRZ gets no duplicate independent force.","Qualitative imperial model","LOW",""
"PORTUGUESE_IMPERIAL_LAND_1776","Portuguese Crown","same modeled pool","land","BRZ","3","6","4","LOCAL_GARRISON_FROM_PARENT","Represent under POR-tag imperial formation.","Brazil structural note","VERY_LOW",""
"VOC_COMPANY_1776","Dutch East India Company","No exact sovereign-equivalent pool; bespoke company abstraction","land","DEI","10","16","12","COMPANY_FORCE","Does not subtract from or duplicate NET state army; Dutch state detachments excluded.","VOC institutional evidence","LOW","Garrisons and company soldiers only."
"VOC_COMPANY_1776","Dutch East India Company","Company escort/patrol abstraction","naval","DEI","1","3","2","COMPANY_FORCE","Armed merchant shipping is not counted as state SOL/frigates; NET state navy separate.","VOC institutional evidence","LOW",""
"HBC_COMPANY_1776","Hudson Bay Company","Corporate security/logistics only","land","HBC","1","2","1","COMPANY_FORCE","Not part of GBR regular 49 and not a national field army.","HBC organizational note","VERY_LOW",""
"HBC_COMPANY_1776","Hudson Bay Company","No supported battle fleet","naval","HBC","0","0","0","NO_INDEPENDENT_1776_FORCE","Supply craft are not Royal Navy or HBC combat units.","HBC organizational note","VERY_LOW",""
"BRITISH_CROWN_NAVY_1776","Royal Navy","270 registered warships; 82 SOL ready/at sea by June","naval","GBR","108","130","120","GLOBAL_CROWN_FLEET","All worldwide stations sum to 42 frigates + 78 SOL; company vessels excluded.","NHHC and Dull anchors","HIGH",""
"SPANISH_IMPERIAL_NAVY_1776","Real Armada","17 SOL commissioned; 59 inventory / 28 armament near-date","naval","SPA","31","50","40","MULTIPLE_DISTINCT_CROWN_SQUADRONS","Cadiz/Cartagena/American stations sum once; colonial tags get no duplicate fleet.","Dull readiness/inventory anchors","HIGH",""
"PORTUGUESE_IMPERIAL_NAVY_1776","Portuguese Crown","Active Lisbon and South Atlantic presence; exact total unknown","naval","POR","8","16","12","DISTINCT_CROWN_SQUADRONS","BRZ has no independent duplicate; South Atlantic squadron remains POR capacity.","Portuguese naval archive","LOW",""
