id,fr,en,era,window,sub,type,prereq,cross,unlock,future,status,overlap,regional,historical,gameplay,ai,prod,society,gw,sources
scientific_fortification_siegecraft,Fortification scientifique et art du siège,Scientific Fortification & Siegecraft,I,~1690–1719,Génie / fortifications,UNIVERSAL_STARTING_DIFFERENTIAL,BASELINE_GUNPOWDER_WARFARE,,Fortifications bastionnées; sièges méthodiques; sape; ingénieurs spécialisés,permanent_engineer_services,STRONG_KEEP,AUDIT_VANILLA_LATER,Souvent déjà possédée par les grandes puissances disposant d'un corps d'ingénieurs en 1700/1776.,Capacité mature avant 1700 dans plusieurs États; ne doit pas être présentée comme une invention du XVIIIe siècle.,Tech de départ différenciée; améliore forts/siege support plutôt qu'un simple bonus d'attaque.,Poids élevé si frontières fortifiées/guerres de siège.,,State capacity / technical education candidate,N/A,https://actualites.musee-armee.fr/expositions/histoires-darmes-episode-10-de-loinlarmement-industrie-pionniere/
state_dockyard_systems,Systèmes d'arsenaux navals d'État,State Dockyard Systems,I,~1690–1719,Naval civil + militaire,UNIVERSAL_STARTING_DIFFERENTIAL,BASELINE_SHIPBUILDING,,Dry docks; mast ponds; ropeworks; stores; naval repair/construction capacity,scientific_naval_architecture; mechanized_naval_dockyards,STRONG_KEEP,GREAT_WAVE_AUDIT_REQUIRED,Déjà possédée seulement par les États disposant d'arsenaux complexes; ne pas donner à toutes les puissances côtières.,Les grands arsenaux navals intégrés sont antérieurs à 1700 dans plusieurs puissances maritimes.,Socle industriel/organisationnel des flottes d'État et de la construction navale.,Poids fort pour États ayant ambition navale et accès aux inputs.,Shipbuilding inputs; timber; fabric; tools,State administration candidate,"Auditer shipyards, naval construction, ship designer, free patch vs DLC.",https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
enclosed_dock_systems,Docks commerciaux fermés,Enclosed Dock Systems,I,~1690–1719,Marine civile / ports,UNIVERSAL,BASELINE_PORTS,,"Port PM/capacity for enclosed basins, regular loading/unloading, commercial repairs",ship_classification_surveying; hydrographic_surveying,KEEP,AUDIT_PORT_PMS_LATER,Peut être absent hors grands centres marchands; diffusion par ingénierie portuaire.,Liverpool ouvre un wet dock commercial en 1715; généralisation progressive des bassins fermés.,Donne une progression portuaire pré-ferroviaire sans confondre port commercial et arsenal militaire.,Poids selon volume commercial maritime et congestion portuaire.,Construction materials; tools,Commercial institutions candidate,Auditer PM de ports / convoyage / merchant shipping après V1 Society.,https://historicengland.org.uk/research/current/discover-and-understand/coastal-and-marine/port-and-harbours/
regulated_small_arms,Armes légères réglementaires,Regulated Small Arms,II,~1720–1749,Infanterie / armement,UNIVERSAL,BASELINE_FLINTLOCK_FIREARMS,,Regulated musket patterns; standardized calibres; improved small-arms PM,armament_standardization_inspection; light_infantry_tactics,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Certains États européens l'ont tôt; d'autres pays peuvent disposer d'autres traditions d'armes à feu sans ce niveau de réglementation.,France: fusil réglementaire 1717; Grande-Bretagne: Long Land Pattern 1727.,Standardise approvisionnement et production sans prétendre à l'interchangeabilité.,Poids fort si armée régulière nombreuse.,Small arms production; tools,Military administration candidate,N/A,https://collection.nam.ac.uk/detail.php?acc=1990-02-55-1
light_infantry_tactics,Tactiques d'infanterie légère,Light Infantry Tactics,III,~1750–1774,Infanterie / doctrine,UNIVERSAL,regulated_small_arms,,Skirmish/reconnaissance infantry role; later rifle-specialist PMs,rifle_troops,KEEP_CONCEPT,VANILLA_OVERLAP_PENDING_AUDIT_SKIRMISH,Certaines traditions légères/irrégulières sont antérieures; ce node représente leur formalisation dans les armées régulières.,"Diffusion des unités légères spécialisées au milieu du XVIIIe siècle, notamment après les guerres coloniales et la guerre de Sept Ans.",Concept historique à conserver même si le node final réutilise une tech vanilla.,"Poids selon terrain, doctrine, composition de l'armée.",,Officer education candidate,N/A,https://www.nam.ac.uk/explore/seven-years-war
standardized_field_artillery,Systèmes d'artillerie de campagne standardisés,Standardized Field Artillery Systems,III,~1750–1774,Artillerie,UNIVERSAL,BASELINE_ARTILLERY,,Standardized calibres; field artillery systems; caissons; service differentiation; artillery PMs,horse_artillery; explosive_field_ammunition; armament_standardization_inspection,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,"Le système Gribeauval sert de jalon, mais le node reste générique et peut être atteint par d'autres traditions.",Gribeauval réforme l'artillerie française à partir de 1764 comme système complet: armes + véhicules + services + standardisation.,"Node-système, pas simple 'meilleur canon'.",Poids fort pour armées régulières et pays à industrie d'armement.,Artillery industry; tools; iron,Technical officer education candidate,N/A,https://www.musee-armee.fr/collections/explorer-les-collections/portofolios/le-systeme-gribeauval.html
permanent_military_hospitals,Hôpitaux militaires permanents,Permanent Military Hospitals,III,~1750–1774,Médecine militaire,UNIVERSAL,BASELINE_MILITARY_MEDICINE,,Military/naval hospital organization; recovery ↑; disease mortality ↓,battlefield_evacuation,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Haslar est un jalon britannique; le concept est générique et doit pouvoir être acquis ailleurs.,Haslar ouvre aux patients en 1753 et constitue un des premiers grands hôpitaux navals permanents modernes.,Exploite récupération/mortalité plutôt qu'un bonus de combat.,Poids selon taille des forces et mortalité en campagne.,Groceries/medicine inputs later,Public medicine / hospital administration cross-link candidate,N/A,https://historicengland.org.uk/listing/the-list/list-entry/1001558/
scientific_naval_architecture,Architecture navale scientifique,Scientific Naval Architecture,III,~1750–1774,Naval civil + militaire,UNIVERSAL,state_dockyard_systems,,Calculated hull design; standardized plans; merchant + warship design competence,diagonal_ship_framing; iron_hull_construction; mechanized_naval_dockyards,STRONG_KEEP,GREAT_WAVE_AUDIT_REQUIRED,Les traditions navales avancées non européennes ne sont pas niées; le node représente formalisation calculée/standardisée.,"Chapman publie Architectura Navalis Mercatoria en 1768 et formalise calculs, proportions, stabilité, plans.",Doit ouvrir capacités du Ship Designer/shipbuilding après audit 1.13.9.,Poids élevé pour puissances navales et marchandes.,Timber; tools; shipbuilding inputs,Mathematics / technical education candidate,HIGH_PRIORITY_GREAT_WAVE_AUDIT,https://www.rijksmuseum.nl/en/collection/publication/Architectura-Navalis-Mercatoria--0dcd3a5eb0e331c18fe2aa7d5712604b
marine_chronometry,Chronométrie marine,Marine Chronometry,III,~1750–1774,Navigation civile + militaire,UNIVERSAL,BASELINE_CELESTIAL_NAVIGATION,,Longitude at sea capability; navigation accuracy; exploration/commercial/naval range efficiency,hydrographic_surveying; maritime_safety_standards,STRONG_KEEP,VANILLA_OVERLAP_PENDING_AUDIT,Peut diffuser par commerce/instruments; certains pays doivent commencer plus tôt/plus tard selon accès.,H4 (1759) puis K1 (1769) montrent une solution pratique au problème de longitude.,Civil + militaire; ne doit pas seulement donner un bonus aux navires de guerre.,"Poids selon commerce maritime, exploration et marine.",Precision instruments; glass/metals,Astronomy / precision science candidate,Auditer impacts navigation/range/ship design.,https://www.rmg.co.uk/sites/default/files/import/media/pdf/H4.pdf
ship_classification_surveying,Classification et inspection des navires,Ship Classification & Surveying,III,~1750–1774,Marine civile,UNIVERSAL,enclosed_dock_systems,,Hull survey/classification; merchant safety/insurance efficiency; ship quality standards,maritime_safety_standards,STRONG_KEEP,AUDIT_VANILLA_NAVAL_CIVIL,"Lloyd's Register sert de jalon, mais d'autres institutions peuvent jouer un rôle analogue.",Society for the Registry of Shipping fondée en 1760; registre survivant de 1764.,"Donne une vraie progression à la marine marchande, pas uniquement à la flotte militaire.",Poids selon commerce maritime et taille de la flotte marchande.,,Insurance/commercial law candidate,Auditer merchant shipping systems et modifiers.,https://www.lrfoundation.org.uk/about-us/our-history
