monument,profession,workforce,vanilla_pattern_source,historical_role,technical_validity,notes
Big Ben,machinists,100,"vanilla 1.13.9 common/production_methods/08_monuments.txt: pm_default_building_big_ben","Clock and tower maintenance",PASS,"Confirmed building_modifiers/level_scaled employment pattern"
Vatican City,clergymen,500,"vanilla 1.13.9 common/production_methods/08_monuments.txt: pm_default_building_vatican_city","Religious institution",PASS,"Confirmed 500-person monument reference"
Forbidden City,bureaucrats,800,"vanilla 1.13.9 common/production_methods/08_monuments.txt: pm_default_building_forbidden_city","Palace administration",PASS,"Part of a 1000-person monument workforce"
Forbidden City,clergymen,200,"vanilla 1.13.9 common/production_methods/08_monuments.txt: pm_default_building_forbidden_city","Court religious functions",PASS,"Part of a 1000-person monument workforce"
Trade League Power Bloc Statue,clerks,500,"vanilla 1.13.9 common/production_methods/08_monuments.txt: pm_power_bloc_statue_trade_league","Trade-league institutional staff",PASS,"Confirms clerks are valid in a vanilla monument production method"
Vanilla industry PM reference,shopkeepers,500,"vanilla 1.13.9 common/production_methods/01_industry.txt and modifier_type_definitions/99_todo_sort_into_other_files.txt","Commercial ownership and retail work",PASS,"Exact building_employment_shopkeepers_add key exists; used as a technical syntax reference because vanilla 08_monuments has no shopkeeper monument"
Rialto Commercial Complex,clerks,500,"CLEANUP-2E-4B follows vanilla building_modifiers/level_scaled pattern","Credit, insurance, notarial, accounting, and commercial-office work",PASS,"Preferred conceptual allocation; no industrial or religious employment"
Rialto Commercial Complex,shopkeepers,200,"Exact vanilla building_employment_shopkeepers_add modifier type","Merchants and market operators",PASS,"Preferred conceptual allocation; total monument workforce remains 700"
Rialto Commercial Complex,TOTAL,700,"CLEANUP-2E-4B","Broad commercial institution",PASS,"Hard cap met"
Palazzo San Giorgio,clerks,500,"CLEANUP-2E-4B follows vanilla building_modifiers/level_scaled pattern","Accounts, debt records, deposits, credit, and fiscal administration",PASS,"Preferred conceptual allocation"
Palazzo San Giorgio,bureaucrats,100,"Exact vanilla monument employment modifier used by Forbidden City and other monuments","Public debt, taxation, and institutional administration",PASS,"Preferred conceptual allocation; total monument workforce remains 600"
Palazzo San Giorgio,TOTAL,600,"CLEANUP-2E-4B","Casa di San Giorgio institutional workforce",PASS,"Hard cap met"
