state_id,source_file,historical_geological_justification,suggested_relative_potential,confidence,source_justification_category
STATE_WEST_COUNTRY,map_data/state_regions/00_west_europe.txt,"Cornwall and Devon historic copper mining district",36,HIGH,"HISTORIC_DISTRICT; USGS_GLOBAL_COPPER_MODEL"
STATE_WALES,map_data/state_regions/00_west_europe.txt,"Anglesey and Welsh copper occurrences plus historic Swansea smelting context",16,MEDIUM,"HISTORIC_DISTRICT; REGIONAL_GEOLOGY"
STATE_SVEALAND,map_data/state_regions/00_west_europe.txt,"Falun polymetallic district includes major historic copper production",24,HIGH,"HISTORIC_DISTRICT; REGIONAL_GEOLOGY"
STATE_EASTERN_NORWAY,map_data/state_regions/00_west_europe.txt,"Roros and adjacent Scandinavian sulfide districts",24,HIGH,"HISTORIC_DISTRICT; REGIONAL_GEOLOGY"
STATE_UPPER_ANDALUSIA,map_data/state_regions/01_south_europe.txt,"Iberian Pyrite Belt and Andalusian polymetallic ores",36,HIGH,"HISTORIC_DISTRICT; VOLCANOGENIC_SULFIDE"
STATE_EASTERN_SERBIA,map_data/state_regions/01_south_europe.txt,"Bor and Timok metallogenic district",36,HIGH,"HISTORIC_DISTRICT; PORPHYRY_COPPER"
STATE_CYPRUS,map_data/state_regions/08_middle_east.txt,"Cyprus-type volcanogenic massive sulfide deposits and ancient copper mining",24,HIGH,"HISTORIC_DISTRICT; VOLCANOGENIC_SULFIDE"
STATE_URAL,map_data/state_regions/14_siberia.txt,"Uralian copper and polymetallic mining belt",36,HIGH,"HISTORIC_DISTRICT; REGIONAL_GEOLOGY"
STATE_YUNNAN,map_data/state_regions/11_east_asia.txt,"Yunnan metallogenic provinces contain substantial copper systems",36,HIGH,"USGS_GLOBAL_COPPER_MODEL; REGIONAL_GEOLOGY"
STATE_KANTO,map_data/state_regions/11_east_asia.txt,"Ashio copper mine is explicitly represented by vanilla as a lead mine",16,HIGH,"VANILLA_HISTORY_EVIDENCE; HISTORIC_DISTRICT"
STATE_SHIKOKU,map_data/state_regions/11_east_asia.txt,"Besshi copper mine is explicitly represented by vanilla as a lead mine",16,HIGH,"VANILLA_HISTORY_EVIDENCE; HISTORIC_DISTRICT"
STATE_ARIZONA,map_data/state_regions/05_north_america.txt,"Southwestern United States porphyry copper province",60,HIGH,"USGS_GLOBAL_PORPHYRY_DATABASE; HISTORIC_DISTRICT"
STATE_MONTANA,map_data/state_regions/05_north_america.txt,"Butte district and Belt-Purcell regional copper potential",36,HIGH,"USGS_GLOBAL_COPPER_MODEL; HISTORIC_DISTRICT"
STATE_UTAH,map_data/state_regions/05_north_america.txt,"Bingham Canyon porphyry copper district",48,HIGH,"USGS_GLOBAL_PORPHYRY_DATABASE; HISTORIC_DISTRICT"
STATE_MICHIGAN,map_data/state_regions/05_north_america.txt,"Keweenaw native-copper district",36,HIGH,"HISTORIC_DISTRICT; REGIONAL_GEOLOGY"
STATE_BRITISH_COLUMBIA,map_data/state_regions/05_north_america.txt,"Cordilleran porphyry and volcanogenic copper systems",36,HIGH,"USGS_GLOBAL_PORPHYRY_DATABASE; REGIONAL_GEOLOGY"
STATE_SONORA,map_data/state_regions/05_north_america.txt,"Sonoran porphyry copper province including Cananea",48,HIGH,"USGS_GLOBAL_PORPHYRY_DATABASE; HISTORIC_DISTRICT"
STATE_ANTOFAGASTA,map_data/state_regions/07_south_america.txt,"Central Andean porphyry belt and world-class northern Chile deposits",60,HIGH,"USGS_GLOBAL_PORPHYRY_DATABASE; HISTORIC_DISTRICT"
STATE_SANTIAGO,map_data/state_regions/07_south_america.txt,"Central Chile Andean porphyry copper systems",36,HIGH,"USGS_GLOBAL_PORPHYRY_DATABASE; REGIONAL_GEOLOGY"
STATE_AREQUIPA,map_data/state_regions/07_south_america.txt,"Southern Peru segment of the Andean porphyry copper belt",48,HIGH,"USGS_GLOBAL_PORPHYRY_DATABASE; REGIONAL_GEOLOGY"
STATE_LA_PAZ,map_data/state_regions/07_south_america.txt,"Bolivian Andean polymetallic and copper occurrences",24,MEDIUM,"USGS_GLOBAL_COPPER_MODEL; REGIONAL_GEOLOGY"
STATE_KATANGA,map_data/state_regions/04_subsaharan_africa.txt,"Central African Copperbelt sediment-hosted deposits",60,HIGH,"USGS_CENTRAL_AFRICAN_COPPERBELT"
STATE_ZAMBIA,map_data/state_regions/04_subsaharan_africa.txt,"Central African Copperbelt sediment-hosted deposits",60,HIGH,"USGS_CENTRAL_AFRICAN_COPPERBELT"
STATE_NORTHERN_CAPE,map_data/state_regions/04_subsaharan_africa.txt,"Namaqualand and adjacent copper districts",24,MEDIUM,"HISTORIC_DISTRICT; REGIONAL_GEOLOGY"
STATE_BOTSWANA,map_data/state_regions/04_subsaharan_africa.txt,"Kalahari Copperbelt and Northwest Botswana Rift potential",24,MEDIUM,"USGS_SEDIMENT_HOSTED_ASSESSMENT"
STATE_SOUTH_AUSTRALIA,map_data/state_regions/13_australasia.txt,"Olympic Dam province and historic Burra/Moonta districts",60,HIGH,"GEOSCIENCE_AUSTRALIA; HISTORIC_DISTRICT"
STATE_QUEENSLAND,map_data/state_regions/13_australasia.txt,"Mount Isa and Queensland copper provinces",48,HIGH,"GEOSCIENCE_AUSTRALIA; HISTORIC_DISTRICT"
STATE_NEW_SOUTH_WALES,map_data/state_regions/13_australasia.txt,"Lachlan Orogen porphyry and related copper systems",24,HIGH,"GEOSCIENCE_AUSTRALIA; REGIONAL_GEOLOGY"
