queue_order,candidate_id,candidate_name,action,target_building,target_pmg,likely_tech_gate,dependencies,estimated_complexity,runtime_risk,reason_for_priority,blocked_by_design_decision
1,P01,Coke Blast Furnaces,ADD_PM,building_steel_mill,pmg_steelmaking_process,coke_smelting,"Review building_steel_mill unlock so the PM is reachable before puddling_and_rolling",medium,medium,Closes the earliest structural metallurgy gap and makes an existing era-1 technology industrially meaningful,no
2,P02,Puddling and Rolling,MINOR_REVISION,building_steel_mill,pmg_steelmaking_process,puddling_and_rolling,"P01 coke stage; preserve existing steel-market balance",medium,medium,Creates the explicit 1784 bridge and resolves the misleading blister-steel base identity,no
3,P03,Basic Bessemer Converter / Thomas-type route,ADD_PM,building_steel_mill,pmg_steelmaking_process,bessemer_process,"P01-P02 progression; existing limestone and fertilizer goods",medium,medium,Adds a real alternative to generic Bessemer using already implemented goods,no
4,P09,Chlorine Bleaching,MINOR_REVISION,building_paper_mill,pmg_base_building_paper_mill,industrial_paper_bleaching,"Keep textile PM unchanged; verify paper recipe profitability after removing legacy inputs",low,low,Small targeted cleanup that completes the industrial-chemicals linkage,no
5,P15,Thermal and Catalytic Cracking,ADD_PM,building_oil_refinery,pmg_base_building_oil_refinery,plastics,"Fractional refinery remains baseline; use industrial_chemicals and electricity; preserve coproduct balance",medium,high,Provides the missing terminal refinery choice and late refined-fuel supply response,no
6,P22,Moving Assembly Line,MINOR_REVISION,"building_tooling_workshop;building_motor_industry;building_automotive_industry;building_arms_industry;building_artillery_foundry;building_munition_plant","pmg_automation_building_tooling_workshop;pmg_automation_building_motor_industry;pmg_automation_building_automotive_industry;pmg_automation_building_arms_industry;pmg_automation_building_munition_plant",conveyors,"precision_machinery good and modifier types already validated; exclude furniture from the added input",low,medium,Connects the new capital good to existing mass-production PMs without new architecture,no
7,P07,Mechanical Mine Ventilation,ADD_PMG,"building_coal_mine;building_iron_mine;building_lead_mine;building_sulfur_mine;building_gold_mine;building_copper_mine;building_phosphate_mine",new reusable mine-ventilation PMG,"high_pressure_steam;electrical_capacitors","Use building employee mortality modifiers; define steam and electric tradeoffs; exclude limestone and initially salt",high,medium,Adds a safety-versus-cost decision not covered by pumping explosives transport or concentration,no
8,P16,Vapor-Compression Refrigeration,ADD_PM,"building_livestock_ranch;building_fishing_wharf;building_whaling_station","pmg_refrigeration_building_livestock_ranch;pmg_refrigeration_building_fishing_wharf;pmg_refrigeration_building_whaling_station",high_pressure_steam,"Retain existing unrefrigerated and electric steps; consume engines and coal",medium,medium,Fills the pre-electric cold-chain chronology without a building or dedicated technology,no
9,P18,Cylinder Flour Milling,ADD_PM,building_food_industry,pmg_automation_building_food_industry,automated_flour_milling,"Place before pm_automated_bakery; use existing grain groceries engines and tools only",low,low,Activates an existing era-4 technology that currently unlocks no PM,no
10,P20,Unit Electric Drive,ADD_PM,"building_steel_mill;building_tooling_workshop;building_paper_mill;building_glassworks;building_motor_industry","pmg_automation_building_steel_mill;pmg_automation_building_tooling_workshop;pmg_automation_building_paper_mill;pmg_glassblowing;pmg_automation_building_motor_industry",electrical_capacitors,"Do not add a stacking global PMG; tune alternatives against steam automation",high,high,Improves electrification chronology while limiting the edit surface,no
11,P21,Scientific Management,ADD_PMG,"building_tooling_workshop;building_motor_industry;building_automotive_industry;building_arms_industry;building_artillery_foundry;building_munition_plant;building_electrics_industry",new reusable organization PMG,corporate_management,"Paper and services inputs; clerks and engineers; define a non-free organizational tradeoff",high,high,Adds the missing organizational half of mass production after material automation is stable,no
12,P24,Tabulating Offices,ADD_PM,building_government_administration,pmg_base_building_government_administration,"central_statistical_offices;electrical_capacitors","Use paper electricity and precision_machinery; preserve the switchboard endpoint",medium,medium,Creates a materialized mechanized-administration step without an office-machine building,no
13,P23,Mechanized Typesetting / Rotary Press,ADD_PMG,building_urban_center,new printing-services PMG,"mechanized_printing;mass_circulation_press","Off PM plus steam and electric stages; consume paper engines or electricity; produce services",high,high,Connects currently non-productive printing technologies after core industrial gaps are closed,no
14,P05,Alloy Steel,DEFER,building_steel_mill,pmg_steelmaking_process,TBD,"Decide whether any alloy feedstock abstraction is acceptable; do not invent nickel chromium tungsten or alloy_metals",high,high,No clean implementation exists with the approved goods set,yes
