source_alias,object_type,object_id,production_method_group,building_id,current_file,current_requirement,responsibility_class,frozen_target,frozen_target_source,mapping_confidence,implementation_readiness,notes
academia,BUILDING,building_university,NOT_APPLICABLE,building_university,common/buildings/07_government.txt,unlocking_technologies = { academia },BUILDING_CONSTRUCTION_UNLOCK,institutionalized_scientific_exchange,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
admiralty,BUILDING,building_naval_administration,NOT_APPLICABLE,building_naval_administration,common/buildings/05_military.txt,unlocking_technologies = { admiralty },BUILDING_CONSTRUCTION_UNLOCK,state_dockyard_systems,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
artillery,PRODUCTION_METHOD,pm_cannons,pmg_foundries,building_artillery_foundry,common/production_methods/01_industry.txt,unlocking_technologies = { artillery },MILITARY_PM,standardized_field_artillery,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
central_archives,PRODUCTION_METHOD,pm_vertical_filing_cabinets,pmg_base_building_government_administration,building_government_administration,common/production_methods/07_government.txt,unlocking_technologies = { central_archives },INTERMEDIATE_PM,central_statistical_offices,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
centralization,PRODUCTION_METHOD,pm_horizontal_drawer_cabinets,pmg_base_building_government_administration,building_government_administration,common/production_methods/07_government.txt,unlocking_technologies = { centralization },INTERMEDIATE_PM,systematic_population_registration,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,HIGH_FROZEN,READY_MECHANICAL_TRANSFER,Exact object-specific TECH2H assignment.
dialectics,PRODUCTION_METHOD,pm_philosophy_department,pmg_base_building_university,building_university,common/production_methods/07_government.txt,unlocking_technologies = { dialectics },INTERMEDIATE_PM,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_banana_plantation,NOT_APPLICABLE,building_banana_plantation,common/buildings/04_plantations.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_coffee_plantation,NOT_APPLICABLE,building_coffee_plantation,common/buildings/04_plantations.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_cotton_plantation,NOT_APPLICABLE,building_cotton_plantation,common/buildings/04_plantations.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_dye_plantation,NOT_APPLICABLE,building_dye_plantation,common/buildings/04_plantations.txt,unlocking_technologies = { enclosure },BUILDING_CONSTRUCTION_UNLOCK,,,UNRESOLVED,DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
