Owner_TAG,Owner_Name,State_ID,State_Name,Building_ID,Recommended_Level,Confidence,Tech_Distribution_Review,Technology_Gate_Status,ROAD_LEVEL_JUSTIFICATION,CANAL_LEVEL_JUSTIFICATION,Recommended_Road_PM,Recommended_Canal_PM,Recommended_Rail_PM,Reason,Source_1,Source_2,Notes
SWE,Sweden,STATE_SVEALAND,Svealand,building_trade_center,2,HIGH,NO,NOT_APPLICABLE,,,,,,Stockholm was a major Baltic capital and redistribution/export market; two levels are conservative for a true long-distance commercial hub.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,
SWE,Sweden,STATE_SVEALAND,Svealand,building_government_administration,2,HIGH,NO,CURRENT_TECH_PRESENT:systematic_administrative_statistics,,,,,,Stockholm concentrated central royal administration and state institutions.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,,
SWE,Sweden,STATE_SVEALAND,Svealand,building_university,1,HIGH,NO,CURRENT_TECH_PRESENT:specialized_technical_academies,,,,,,Uppsala University and Sweden's dense learned institutions justify one higher-education seed in the Svealand state abstraction.,https://www.tekniskamuseet.se/lar-dig-mer/100-innovationer/papper/,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,State abstraction includes Uppsala/Stockholm institutional zone.
SWE,Sweden,STATE_SVEALAND,Svealand,building_paper_mill,1,MEDIUM,YES,CURRENT_TECH_ABSENT:traditional_papermaking,,,,,,Handmade rag-paper production had existed in Sweden since the sixteenth century and remained workshop-based in the eighteenth.,https://www.tekniskamuseet.se/lar-dig-mer/100-innovationer/papper/,,
SWE,Sweden,STATE_SVEALAND,Svealand,building_tooling_workshop,1,HIGH,NO,CURRENT_TECH_UNVERIFIED:organized_workshops,,,,,,Bergslagen and Polhem-era mechanized workshops support organized tool/metal workshop capacity.,https://www.raa.se/evenemang-och-upplevelser/upplev-kulturarvet/varldsarv-i-sverige/alla-varldsarv-i-sverige/engelsbergs-bruk/,https://www.tekniskamuseet.se/en/learn-more/swedish-inventors/christopher-polhem-the-mechanical-alphabet/,
SWE,Sweden,STATE_SVEALAND,Svealand,building_iron_mine,2,HIGH,NO,CURRENT_TECH_PRESENT:shaft_mining,,,,,,Bergslagen contained numerous ore mines feeding internationally important charcoal ironworks.,https://www.raa.se/evenemang-och-upplevelser/upplev-kulturarvet/varldsarv-i-sverige/alla-varldsarv-i-sverige/engelsbergs-bruk/,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,
SWE,Sweden,STATE_SVEALAND,Svealand,building_steel_mill,2,HIGH,YES,CURRENT_TECH_ABSENT:coke_smelting,,,,,,"The state abstraction covers Bergslagen ironworks; gameplay steel-mill placement represents organized ironworking, not literal coke steel.",https://www.raa.se/evenemang-och-upplevelser/upplev-kulturarvet/varldsarv-i-sverige/alla-varldsarv-i-sverige/engelsbergs-bruk/,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,Historically charcoal-based; Tech_Distribution_Review expected because building gate is coke_smelting.
SWE,Sweden,STATE_SVEALAND,Svealand,building_railway,2,MEDIUM,NO,NOT_APPLICABLE,Level 2 road network for Stockholm–Bergslagen administrative/export arteries; no claim of modern paved roads.,No active industrial-canal PM recommended at 1776-01-01.,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,"Dense capital–Bergslagen roads and winter/river transport justify a stronger regional road network, but not rail.",https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,,
SWE,Sweden,STATE_GOTALAND,Götaland,building_trade_center,2,HIGH,NO,NOT_APPLICABLE,,,,,,Gothenburg had become a major shipping and trading town through iron/wood exports and the Swedish East India Company.,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,,
SWE,Sweden,STATE_GOTALAND,Götaland,building_port,2,HIGH,YES,CURRENT_TECH_ABSENT:enclosed_dock_systems,,,,,,Gothenburg was a major ocean-facing port serving long-distance commerce.,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,,
SWE,Sweden,STATE_GOTALAND,Götaland,building_shipyard,1,MEDIUM,YES,CURRENT_TECH_ABSENT:state_dockyard_systems,,,,,,Commercial and naval shipbuilding capacity in the Gothenburg/Karlskrona southern zone supports a modest shipyard seed.,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,https://www.marinmuseum.se/en/visit-us/exhibitions/one-of-karlskronas-most-memorable-buildings,
SWE,Sweden,STATE_GOTALAND,Götaland,building_naval_administration,1,HIGH,YES,CURRENT_TECH_ABSENT:state_dockyard_systems,,,,,,Karlskrona was a permanent naval base and dockyard system before 1776.,https://www.marinmuseum.se/en/visit-us/exhibitions/one-of-karlskronas-most-memorable-buildings,,
SWE,Sweden,STATE_GOTALAND,Götaland,building_glassworks,1,HIGH,NO,CURRENT_TECH_UNVERIFIED:organized_workshops,,,,,,"Kosta glassworks had operated since 1742, producing window and utility glass.",https://glasriket.se/stories/kosta-275-ar/,,
SWE,Sweden,STATE_GOTALAND,Götaland,building_logging_camp,1,HIGH,NO,NOT_APPLICABLE,,,,,,Timber was a major export and an essential input to southern Swedish iron and shipping.,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,
SWE,Sweden,STATE_GOTALAND,Götaland,building_railway,1,MEDIUM,NO,NOT_APPLICABLE,Level 1 traditional regional road network.,No industrial canal seed; major Swedish canal completions are later.,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,"Road and coastal transport connected Gothenburg, southern manufacturing and naval sites.",https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,,
SWE,Sweden,STATE_SCANIA,Scania,building_paper_mill,1,HIGH,YES,CURRENT_TECH_ABSENT:traditional_papermaking,,,,,,"Klippan is among Sweden's oldest paper-mill sites, confirming pre-1776 organized paper production in Scania.",https://www.tekniskamuseet.se/lar-dig-mer/100-innovationer/papper/,,
SWE,Sweden,STATE_SCANIA,Scania,building_wheat_farm,1,MEDIUM,NO,CURRENT_TECH_PRESENT:improved_husbandry,,,,,,Scania's fertile plains supported comparatively commercial grain agriculture.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,,
SWE,Sweden,STATE_SCANIA,Scania,building_livestock_ranch,1,MEDIUM,NO,CURRENT_TECH_PRESENT:improved_husbandry,,,,,,Mixed commercial agriculture in southern Sweden supports a modest ranch seed.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,,
SWE,Sweden,STATE_SCANIA,Scania,building_port,1,MEDIUM,YES,CURRENT_TECH_ABSENT:enclosed_dock_systems,,,,,,The Scanian coast had established Baltic ports; one level is conservative.,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,,
SWE,Sweden,STATE_SCANIA,Scania,building_railway,1,MEDIUM,NO,NOT_APPLICABLE,Level 1 traditional road network.,No canal seed.,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,"A settled southern road network is justified, without implying later engineered roads.",https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,,
SWE,Sweden,STATE_NORRLAND,Norrland,building_logging_camp,2,HIGH,NO,NOT_APPLICABLE,,,,,,Northern forests were an important source of timber and charcoal within Sweden's export/iron economy.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,,
SWE,Sweden,STATE_NORRLAND,Norrland,building_fishing_wharf,1,MEDIUM,YES,CURRENT_TECH_ABSENT:marine_chronometry,,,,,,Coastal fisheries were an established commercial activity.,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,,
SWE,Sweden,STATE_NORRLAND,Norrland,building_port,1,LOW,YES,CURRENT_TECH_ABSENT:enclosed_dock_systems,,,,,,A modest coastal export-port seed is plausible but should not be scaled as a major Baltic entrepôt.,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,,
SWE,Sweden,STATE_GOTLAND,Gotland,building_fishing_wharf,1,MEDIUM,YES,CURRENT_TECH_ABSENT:marine_chronometry,,,,,,Island coastal economy supports a modest fishing installation.,https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,,
SWE,Sweden,STATE_GOTLAND,Gotland,building_port,1,MEDIUM,YES,CURRENT_TECH_ABSENT:enclosed_dock_systems,,,,,,"Visby remained an established Baltic harbor, though no longer a first-rank medieval entrepôt.",https://www.stage.goteborg.com/en/guides/gothenburgs-history-and-heritage,,
