area,object_id,file,status,implementation,validation
technology,portland_cement,common/technology/technologies/11_tech6c1b_portland_cement.txt,PASS,"production; era_7; parent hydraulic_cements; building gate","defined once; parent resolved; no existing topology changed"
good,cement,common/goods/11_tech6c1b_cement.txt,PASS,"industrial; cost 40; tradeable yes; prestige 5; traded_quantity 5; convoy 0.5","defined once; no POP need; no concrete good"
building,building_cement_works,common/buildings/11_tech6c1b_cement_works.txt,PASS,"bg_heavy_industry; construction_cost_very_high; ownership self; gate portland_cement","building group PMG and technology resolved"
icon,building_cement_works,C:/Games/Victoria 3/game/gfx/interface/icons/building_icons/unused/foundries.dds,PASS,"reused vanilla asset; no copy","path exists; CEMENT_WORKS_ICON is not TEMP_ASSET"
pmg,pmg_base_building_cement_works,common/production_method_groups/11_tech6c1b_cement_pmgs.txt,PASS,"one baseline method: pm_portland_cement_process","PMG and PM resolve once"
pm,pm_portland_cement_process,common/production_methods/11_tech6c1b_cement_production.txt,PASS,"limestone 30 + coal 15 -> cement 40; pollution 15","all good IDs resolved"
workforce,pm_portland_cement_process,common/production_methods/11_tech6c1b_cement_production.txt,PASS,"shopkeepers 500; laborers 3000; machinists 1000; engineers 500","total 5000; heavy-industry benchmark"
construction_demand,pm_steel_frame_buildings,common/production_methods/13_construction.txt,PASS,"cement input 30; existing inputs preserved","exact quantity present once"
construction_demand,pm_arc_welded_buildings,common/production_methods/13_construction.txt,PASS,"cement input 40; existing inputs preserved","exact quantity present once"
localization,english,localization/english/tech6c1b_portland_cement_l_english.yml,PASS,"Cement; Cement Works; Portland Cement Process; descriptions and modifiers","UTF-8 BOM; no introduced duplicate key; vanilla tech name reused"
localization,french,localization/french/tech6c1b_portland_cement_l_french.yml,PASS,"Ciment; Cimenterie; Procédé du ciment Portland; descriptions and modifiers","UTF-8 BOM; no introduced duplicate key; vanilla tech name reused"
scope,limestone_resource_distribution,map_data/state_regions,DEFERRED_TECH6C2,"no potentials assigned or changed","0 state resource files changed"
scope,salt,common/goods/10_tech6a1b_salt.txt,UNCHANGED,"existing salt chain preserved","0 salt files changed"
scope,concrete,common/goods,NOT_CREATED,"concrete remains abstract/local","0 concrete good definitions or productive references"
validation,static,TECH6C1B,PASS,"unknown IDs 0; duplicate definitions 0; duplicate localization keys introduced 0; invalid textures 0","git diff --check PASS"
validation,parser_smoke,Victoria 3 1.13.11,PASS,"40-second debug-mode startup; mod mounted","targeted hits 0; generic parse/unknown/texture hits 0; runtime not claimed"
