"candidate_id","record_type","candidate_name","historical_period","target_or_building","inputs","outputs","energy_sources","employment_types","required_technologies","inputs_added_or_removed","outputs_modified","employment_changes","possible_production_methods_or_alternatives","possible_ownership_methods","geographic_constraints","connections_to_other_buildings","military_uses","civilian_uses","trade_relevance","gameplay_value_0_5","implementation_complexity_0_5","recommended_status","priority","justification"
"B01","building","Cement Works","1840-1936","new_building","coal;limestone;clay","cement","coal;electricity","laborers;machinists;engineers","Portland Cement;Rotary Kilns","-","-","-","natural cement;Portland kiln;rotary kiln","private;publicly traded;state","limestone deposits preferred","construction sectors;mines;railways","fortifications","infrastructure;housing","high","5","3","strongly_recommended","A","Distinct bulk inputs/output;several PMs;cement trade and construction price loop."
"B02","building","Oil Refinery","1860-1936","new_building","oil;industrial chemicals","refined fuels;industrial chemicals","coal;oil;electricity","laborers;machinists;engineers;chemists","Fractional Refining;Thermal Cracking;Catalytic Cracking","-","-","-","kerosene focus;fuel distillation;thermal cracking;catalytic cracking","private;publicly traded;state","ports/pipelines beneficial","oil rigs;motor industries;chemical plants","naval and aviation fuel","lighting;transport","very_high","5","4","strongly_recommended","A","A refinery creates a missing oil-to-engine market decision."
"B03","building","Non-Ferrous Metallurgy Works","1880-1936","new_building","bauxite;copper ore/alloy metals;coal;electricity","aluminum;copper/alloys","electricity;coal","laborers;machinists;engineers","Electrometallurgy;Hall-Heroult;Alloy Metallurgy","-","-","-","copper smelting;Hall-Heroult;alloy refining","private;publicly traded;state","ore and cheap power","mines;power plants;electrics;arms","armor;aircraft;munitions","wiring;vehicles;construction","very_high","5","5","strongly_recommended","A","Conditional on new metal goods; distinct power-intensive location and workforce."
"B04","building","Pharmaceutical Laboratories","1870-1936","new_building","industrial chemicals;opium;paper","pharmaceuticals","coal;electricity","laborers;clerks;engineers;academics","Organic Chemistry;Industrial Laboratories;Bacteriology","-","-","-","botanical extraction;synthetic drugs;sterile fermentation","private;publicly traded;state","urban/university synergy","chemical plants;universities;health institution","military medicine","public health;consumption","high","4","4","strongly_recommended","A","Distinct skilled labor and product; multiple research-driven PMs."
"B05","building","Precision Engineering Works","1840-1936","new_building","steel;tools;electricity;alloy metals","precision machinery","steam;electricity","machinists;engineers;laborers","Precision Machine Tools;Interchangeability;Metrology","-","-","-","general machine tools;gauges;high-speed tooling","private;publicly traded;state","urban industrial centers","tooling;motors;arms;electrics","arms and artillery machinery","capital equipment","very_high","5","4","strongly_recommended","A","Separates advanced capital goods from generic hand tools."
"B06","building","Copper and Alloy Mine","1830-1936","new_resource_building","tools;explosives;engines","copper/alloy metals","steam;electricity","laborers;machinists;engineers","Geological Survey;Deep Mining;Flotation","-","-","-","surface workings;shaft mines;flotation concentration","private;publicly traded;state","state deposits","required by metallurgy works","strategic metals","electrification","very_high","5","5","possible_conditional","B","Needed only if map deposits and new goods are approved; could reuse mine template."
"B07","building","Fertilizer and Alkali Works","1790-1936","existing_chemical_plant_split","industrial chemicals;phosphates;nitrates","fertilizer;industrial chemicals","coal;electricity","laborers;machinists;engineers","Leblanc;Solvay;Superphosphate;Nitrogen Fixation","-","-","-","Leblanc;Solvay;superphosphate;Haber-Bosch","private;publicly traded;state","water/ports beneficial","mines;farms;explosives","explosives precursors","fertilizer;soap;glass","very_high","4","3","possible","B","Prefer extending chemical plant first; split only if PM-group conflicts become unmanageable."
"B08","building","Cold Storage Network","1870-1936","infrastructure_or_urban_building","electricity;engines","services;preservation modifier","steam;electricity","laborers;machinists;clerks","Mechanical Refrigeration;Cold Chain","-","-","-","ice houses;ammonia refrigeration;electric cold storage","private;municipal","ports and cities","food industries;railways;farms","logistics","food supply","high","3","4","possible","C","Likely better as PMs on farms;ports;railways and food industries."
"P01","production_method","Coke Blast Furnaces","1709-1850","steel mill","coal;iron","more iron/steel","coal","laborers;machinists","Coke Smelting","add coal;remove wood","higher metal output","fewer rural charcoal workers","-","-","coal market access","coal mines;steel mills","cannon iron","machines","high","5","2","recommended","A","Core transition from charcoal to mineral fuel."
"P02","production_method","Puddling and Rolling","1784-1860","steel mill","pig iron;coal","wrought iron/steel proxy","coal","laborers;machinists","Puddling and Rolling","add coal and tools","higher steel","more skilled puddlers","-","-","none","steel;tools","arms","rails;machines","high","5","2","recommended","A","Essential 1776-1836 bridge before Bessemer."
"P03","production_method","Basic Bessemer Converter","1878-1910","steel mill","iron;lime","steel;fertilizer byproduct","coal","laborers;engineers","Basic Steelmaking","add lime/phosphate handling","more steel;some fertilizer","more engineers","-","-","phosphoric ores advantageous","iron mines;chemical plants","armor","rails;fertilizer","high","5","2","recommended","A","Creates ore-specific choice and useful slag byproduct."
"P04","production_method","Open-Hearth Recycling","1865-1920","steel mill","iron;scrap;coal","quality steel","coal;gas","laborers;engineers","Open Hearth","add scrap;gas","quality/quantity tradeoff","more engineers","-","-","urban scrap supply","cities;steel mills","armor","structures","high","5","2","recommended","A","Distinct from fast Bessemer route."
"P05","production_method","Alloy Steel","1900-1936","steel mill","steel;alloy metals;electricity","advanced steel/precision machinery throughput","electricity","machinists;engineers","Alloy Metallurgy","add alloy metals/electricity","quality modifier","more engineers","-","-","alloy supply","precision works;arms;autos","armor;weapons","tools;motors","very_high","5","3","recommended","A","Late strategic materials should improve multiple downstream sectors."
"P06","production_method","Atmospheric Mine Pumping","1712-1800","mines","coal;tools","more minerals","coal","laborers;machinists","Atmospheric Engine","add coal","higher extraction","add machinists","-","-","coal access","mines;engine industry","metals","coal","minimal","5","1","recommended","A","Already vanilla pattern; available to advanced countries in 1776."
"P07","production_method","Mechanical Mine Ventilation","1830-1900","mines","engines;coal/electricity","mortality reduction;throughput","steam;electricity","machinists;engineers","Deep Mine Engineering","add engines/energy","safety and throughput","more machinists","-","-","deep mines","mines","strategic ore","all minerals","medium","4","2","recommended","A","Adds safety-cost choice absent from pure throughput PMs."
"P08","production_method","Froth Flotation","1900-1936","metal mines","industrial chemicals;electricity","more metal ore","electricity","laborers;engineers","Ore Concentration","add chemicals/electricity","higher output","more engineers","-","-","water required","mines;metallurgy","strategic metals","copper;lead;zinc","high","5","3","recommended","A","Unlocks low-grade ore and late non-ferrous supply."
"P09","production_method","Chlorine Bleaching","1790-1850","textile mill/paper mill","industrial chemicals","more clothes/paper","coal","laborers;machinists","Industrial Bleaching","add chemicals","higher output","chemical exposure","-","-","water access","chemical plants","uniforms","clothes;paper","high","4","2","recommended","A","Direct early chemical-textile linkage."
"P10","production_method","Synthetic Dyeing","1856-1930","chemical plant/textile mill","coal;industrial chemicals","existing dye or clothes bonus","coal","laborers;engineers","Aniline Chemistry","add industrial chemicals;reduce plantation dye need","more dye/clothes","more engineers","-","-","none","chemical plants;textiles","uniforms","clothes","very_high","5","2","recommended","A","Uses existing dye good while transforming its supply geography."
"P11","production_method","Solvay Alkali","1870-1930","chemical plant","salt/industrial chemicals;coal","industrial chemicals","coal","laborers;engineers","Solvay Process","reduce sulfur;add brine proxy","more chemicals;less pollution","more engineers","-","-","salt/brine abstracted","glass;paper;textiles","glass","soap;paper","high","4","2","recommended","A","Cleaner competitor to Leblanc."
"P12","production_method","Superphosphate Fertilizer","1840-1910","chemical plant","phosphates;industrial chemicals","fertilizer","coal","laborers;engineers","Agricultural Chemistry","add phosphates","more fertilizer","more engineers","-","-","phosphate supply","farms;mines","food security","agriculture","very_high","5","2","recommended","A","Makes phosphorus a distinct agricultural constraint."
"P13","production_method","Haber-Bosch Ammonia","1913-1936","chemical plant","coal/electricity;industrial chemicals","fertilizer;explosives","coal;electricity","engineers;machinists","High-Pressure Chemistry","remove nitrates;add energy","large fertilizer/explosives output","more engineers","-","-","large power supply","farms;explosives","munitions","fertilizer","very_high","5","3","recommended","A","Substitutes concentrated natural nitrates with capital and energy."
"P14","production_method","Fractional Fuel Refining","1860-1900","oil refinery","oil;coal","refined fuels","coal","laborers;machinists;engineers","Petroleum Refining","add oil","fuel output","more engineers","-","-","oil/port access","oil rigs;motors","naval fuel","lighting;transport","very_high","5","2","recommended","A","Creates missing fuel chain."
"P15","production_method","Thermal and Catalytic Cracking","1913-1936","oil refinery","oil;industrial chemicals","more refined fuels","oil;electricity","engineers","Cracking Processes","add catalysts/energy","higher fuel output","more engineers","-","-","refinery","autos;aviation","aviation fuel","autos","very_high","5","3","recommended","A","Terminal late-game refinery route."
"P16","production_method","Vapor-Compression Refrigeration","1850-1900","food industry;ports;livestock;fishing","engines;coal","preservation/throughput","steam","machinists","Mechanical Refrigeration","add engines/coal","more meat/fish/groceries","add machinists","-","-","none","railways;ports;food","logistics","food","high","5","2","recommended","A","Use on several existing buildings before adding cold-storage building."
"P17","production_method","Electric Cold Chain","1900-1936","food industry;ports;livestock;fishing","electricity","preservation/throughput","electricity","machinists;engineers","Electric Refrigeration","replace coal with electricity","more food output","more engineers","-","-","grid required","power;rail;food","logistics","food","high","5","2","recommended","A","Late network upgrade."
"P18","production_method","Cylinder Flour Milling","1870-1910","food industry","grain;engines","more groceries","steam;electricity","machinists","Roller Milling","add engines","more groceries","fewer laborers","-","-","grain markets","farms;rail","rations","food","medium","4","1","recommended","B","Clear mechanization without new building."
"P19","production_method","Vacuum Sugar Refining","1840-1900","food industry/sugar plantation","sugar;engines","more groceries/sugar value","steam","machinists;engineers","Vacuum Evaporation","add engines","higher food output","more machinists","-","-","sugar regions","plantations;food","rations","sugar","high","4","2","recommended","B","Captures Rillieux process with existing goods."
"P20","production_method","Unit Electric Drive","1900-1930","all urban industries","electricity;engines","throughput;labor saving","electricity","machinists;engineers","Electric Motors","replace coal engines with electricity","throughput","fewer laborers;more engineers","-","-","grid required","power plants","industrial capacity","all goods","very_high","5","3","recommended","A","Historically distinct from electric lighting and should be cross-sector PM group."
"P21","production_method","Scientific Management","1900-1930","large manufacturing buildings","paper;services","throughput with workforce cost","none","clerks;engineers","Scientific Management","add paper/services","throughput","more clerks/engineers;possible radicalism","-","-","urban firms","universities;offices","logistics","mass production","medium","4","3","recommended","B","Avoid free bonus; model administrative inputs and social tension."
"P22","production_method","Moving Assembly Line","1913-1936","automotive;arms;motors;electrics","electricity;precision machinery","more output","electricity","machinists;engineers","Assembly-Line Production","add capital goods/electricity","large throughput","fewer laborers per unit","-","-","large market","steel;precision works","weapons","autos;appliances","very_high","5","3","recommended","A","Limit to standardized high-volume sectors."
"P23","production_method","Mechanized Typesetting and Rotary Press","1850-1930","paper mill/urban center/government","paper;engines/electricity","services/authority/education access","steam;electricity","machinists;clerks","Mass Printing","add machinery","more services/authority proxy","more clerks","-","-","urban","paper;government","propaganda","press","medium","4","3","recommended","B","Engine lacks publishing building; PM/modifier is economical."
