"object_id","sector","file","technology_gate","current_inputs","current_outputs","current_margin","industrial_chemicals_candidate","limestone_candidate","salt_candidate","recommended_future_recipe","implementation_status","confidence","notes"
"pm_forest_glass","glass","common/production_methods/01_industry.txt","traditional_glassmaking via building_glassworks","wood=30","glass=30","600","No","No","No","Keep current recipe","KEEP_UNCHANGED","HIGH","Early glass abstraction should remain independent of industrial chemistry"
"pm_leaded_glass","glass","common/production_methods/01_industry.txt","industrial_ceramics","wood=20;lead=10;limestone=10;industrial_chemicals=5","glass=50","800","Implemented=5","Implemented=10","No","Implemented final recipe","IMPLEMENTED_TECH6C3C","HIGH","Only gameplay integration authorized in this phase"
"pm_crystal_glass","glass","common/production_methods/01_industry.txt","crystal_glass","lead=35","glass=60","1000","Possible","Possible","No","Define only during a complete glass-tier balance pass","REVIEW_REQUIRED","MEDIUM","Do not stack chemistry onto every glass PM"
"pm_houseware_plastics","plastics/glass abstraction","common/production_methods/01_industry.txt","plastics","oil=20;lead=30","glass=100","2000","Yes=10","No","No","oil=20;lead=30;industrial_chemicals=10 -> glass=110","DEFERRED","HIGH","Adding 10 chemicals and 10 glass preserves the 2000 base-price margin"
"pm_disabled_ceramics","glass/ceramics","common/production_methods/01_industry.txt","None","none","none","0","No","No","No","Keep current neutral PM","KEEP_UNCHANGED","HIGH","No production modifiers"
"pm_ceramics","glass/ceramics","common/production_methods/01_industry.txt","industrial_ceramics","dye=5","glass=-10;porcelain=10","100","Possible","Possible","No","Review only with the entire luxury-output PMG","REVIEW_REQUIRED","MEDIUM","Margin is the net value of additive negative/positive outputs"
"pm_bone_china","glass/ceramics","common/production_methods/01_industry.txt","chemical_bleaching plus advanced base glass PM","dye=10","glass=-20;porcelain=30","900","Possible","No","No","Keep current recipe pending a ceramics-specific phase","KEEP_UNCHANGED","MEDIUM","Existing gate already represents chemical knowledge"
"pm_manual_glassblowing","glass automation","common/production_methods/01_industry.txt","None","none","none","0","No","No","No","Keep current neutral PM","KEEP_UNCHANGED","HIGH","No production modifiers"
"pm_automatic_bottle_blowers","glass automation","common/production_methods/01_industry.txt","automatic_bottle_blowers","tools=2;engines=2;oil=5","none","-400","No","No","No","Keep current automation recipe","NOT_RECOMMENDED","HIGH","Operating cost is exchanged for 2500 fewer laborers"
"pm_dye_production","synthetic dyes","common/production_methods/01_industry.txt","aniline via building_synthetics_plant","sulfur=20;fertilizer=30;salt=10","dye=80","1000","Yes=10","No","Preserve=10","sulfur=20;fertilizer=30;salt=10;industrial_chemicals=10 -> dye=90","DEFERRED","HIGH","The added chemical input and 10 additional dye preserve the current margin"
"pm_artificial_fertilizers","fertilizer","common/production_methods/01_industry.txt","industrial_acids via building_chemical_plant","sulfur=30;iron=10;salt=5","fertilizer=90","650","No for baseline tier","No","Preserve=5","Keep current foundation recipe","DEFERRED","HIGH","Do not pre-empt future phosphate/nitrate geography"
"pm_improved_fertilizer","fertilizer","common/production_methods/01_industry.txt","improved_fertilizer","sulfur=30;iron=30;salt=10","fertilizer=140","1200","Yes=5","No","Preserve=10","sulfur=25;iron=30;salt=10;industrial_chemicals=5 -> fertilizer=140","DEFERRED","MEDIUM","Processed chemicals replace part of raw sulfur; projected margin 1250"
"pm_nitrogen_fixation","fertilizer","common/production_methods/01_industry.txt","nitrogen_fixation","sulfur=40;oil=20;iron=30;salt=20","fertilizer=200","1400","Yes=10","No","Preserve=20","sulfur=30;oil=20;iron=30;salt=20;industrial_chemicals=10 -> fertilizer=200","DEFERRED","MEDIUM","Processed chemicals replace part of raw sulfur; projected margin 1500"
"pm_leblanc_process","explosives","common/production_methods/01_industry.txt","industrial_acids via building_explosives_factory","sulfur=20;fertilizer=20","explosives=50","900","Do not change before legacy migration","No","No","Preserve current recipe exactly","DEFERRED","HIGH","Historically misnamed live baseline with PMG and history dependencies"
