Parent,Parent_Era,Child,Child_Era,Gap,Current_Reason,Decision,New_Parent,New_Child_Era,Reason
industrial_alkalis,era_5,aluminium_metallurgy,era_10,5,Existing Wave 2 structural or capability gate,KEEP_LONG_EDGE,,era_10,Keep industrial_alkalis -> aluminium_metallurgy: the parent is a durable foundational capability reused by this later specialization; anticipation cost already expresses the chronological distance.
specialized_professional_societies,era_5,analytical_philosophy,era_11,6,Existing Wave 2 structural or capability gate,KEEP_LONG_EDGE,,era_11,Keep specialized_professional_societies -> analytical_philosophy: the parent is a durable foundational capability reused by this later specialization; anticipation cost already expresses the chronological distance.
experimental_research_laboratories,era_5,antibiotics,era_12,7,Existing Wave 2 structural or capability gate,KEEP_LONG_EDGE,,era_12,Keep experimental_research_laboratories -> antibiotics: the parent is a durable foundational capability reused by this later specialization; anticipation cost already expresses the chronological distance.
organized_immunization_campaigns,era_6,antibiotics,era_12,6,Existing Wave 2 structural or capability gate,KEEP_LONG_EDGE,,era_12,Keep organized_immunization_campaigns -> antibiotics: the parent is a durable foundational capability reused by this later specialization; anticipation cost already expresses the chronological distance.
pressed_glass,era_6,automatic_bottle_blowers,era_10,4,Existing Wave 2 structural or capability gate,KEEP_LONG_EDGE,,era_10,Keep pressed_glass -> automatic_bottle_blowers: the parent is a durable foundational capability reused by this later specialization; anticipation cost already expresses the chronological distance.
industrial_acids,era_2,baking_powder,era_7,5,Existing Wave 2 structural or capability gate,REPLACE_PARENT,industrial_alkalis,era_7,industrial_alkalis is the nearer cumulative industrial stage; it preserves causality without the era_7 node jumping directly from era_2.
sugar_refining,era_2,baking_powder,era_7,5,Existing Wave 2 structural or capability gate,KEEP_LONG_EDGE,,era_7,Keep sugar_refining -> baking_powder: the parent is a durable foundational capability reused by this later specialization; anticipation cost already expresses the chronological distance.
experimental_research_laboratories,era_5,behaviorism,era_11,6,Existing Wave 2 structural or capability gate,KEEP_LONG_EDGE,,era_11,Keep experimental_research_laboratories -> behaviorism: the parent is a durable foundational capability reused by this later specialization; anticipation cost already expresses the chronological distance.
colonization,era_4,civilizing_mission,era_8,4,Existing Wave 2 structural or capability gate,KEEP_LONG_EDGE,,era_8,Keep colonization -> civilizing_mission: the parent is a durable foundational capability reused by this later specialization; anticipation cost already expresses the chronological distance.
coke_smelting,era_1,coal_gasification,era_5,4,Existing Wave 2 structural or capability gate,KEEP_LONG_EDGE,,era_5,Keep coke_smelting -> coal_gasification: the parent is a durable foundational capability reused by this later specialization; anticipation cost already expresses the chronological distance.
mechanized_farming,era_7,compression_ignition,era_11,4,Existing Wave 2 structural or capability gate,KEEP_LONG_EDGE,,era_11,Keep mechanized_farming -> compression_ignition: the parent is a durable foundational capability reused by this later specialization; anticipation cost already expresses the chronological distance.
