new_good,consumer_id,file,current_recipe,proposed_change,historical_reason,gameplay_reason,economic_risk,action
phosphates,pm_artificial_fertilizers,common/production_methods/01_industry.txt,"30 sulfur + 10 iron + 5 salt -> 90 fertilizer","Rework as basic phosphate route: 20 phosphates + 20 industrial_chemicals + 10 coal -> 80 fertilizer","Sulfuric-acid treatment of phosphate rock created soluble phosphate fertilizer","Creates immediate demand for phosphate while reusing the existing baseline slot","Low: proposed gross margin 700 versus current 650",IMPLEMENT_NEXT
phosphates,pm_improved_fertilizer,common/production_methods/01_industry.txt,"30 sulfur + 30 iron + 10 salt -> 140 fertilizer","Rework as improved phosphate route: 30 phosphates + 25 industrial_chemicals + 15 coal -> 120 fertilizer","Mature superphosphate manufacture intensified acid treatment and process control","Fills the existing improved_fertilizer technology with a stronger but input-heavier route","Low: proposed gross margin 1250 versus current 1200",IMPLEMENT_NEXT
nitrates,pm_nitrate_fertilizer,common/production_methods/01_industry.txt,NONE,"Add a mutually exclusive natural-nitrate route: 20 nitrates + 20 industrial_chemicals + 10 coal -> 90 fertilizer","Chilean nitrate was a major nineteenth-century fertilizer feedstock","Provides a strategic pre-Haber alternative without exposing raw nitrates directly to farms","Medium: concentrated supply may cause trade bottlenecks",DEFER
nitrates,pm_leblanc_process,common/production_methods/01_industry.txt,"20 sulfur + 20 fertilizer -> 50 explosives","In the nitrate phase replace part of fertilizer proxy with nitrates and rename the misleading legacy ID only if compatibility permits","Natural nitrates were direct precursors for nitric acid and military explosives","Creates strategic nitrate demand while preserving finished explosives as the downstream good","Medium: starting explosives factories require reliable imported nitrate supply",DEFER
nitrates,pm_ammonia-soda_process,common/production_methods/01_industry.txt,"30 sulfur + 30 fertilizer + 10 paper -> 80 explosives","Evaluate nitrate input when the full explosives ladder is rebalanced","The current name is chemically unrelated to explosives; nitrate feed would improve meaning","Avoids a partial recipe rewrite before natural nitrate supply exists","Medium: can amplify nitrate scarcity at the nitroglycerin gate",DEFER
nitrates,pm_vacuum_evaporation,common/production_methods/01_industry.txt,"40 sulfur + 40 fertilizer + 20 paper -> 110 explosives","Evaluate nitrate input in the nitrate/explosives implementation phase","Advanced explosives still require nitration chemistry","Keeps the whole explosives ladder balanced together","Medium: high-volume late demand could overwhelm two-region supply",DEFER
nitrates,pm_brine_electrolysis,common/production_methods/01_industry.txt,"40 sulfur + 50 fertilizer + 30 paper + 20 electricity -> 150 explosives","Evaluate nitrate input and eventual semantic rename in the nitrate phase","The current process name is unrelated to the product and needs chain-wide cleanup","Defers compatibility-sensitive ID/name work until all explosives recipes are treated","Medium: large late throughput and migration risk",DEFER
nitrates,pm_nitrogen_fixation,common/production_methods/01_industry.txt,"40 sulfur + 20 industrial_chemicals + 30 iron + 20 salt -> 200 fertilizer","Rework to consume no nitrates: 30 industrial_chemicals + 30 coal + 50 electricity + 10 tools -> 180 fertilizer","Haber-Bosch substitutes atmospheric nitrogen for mined nitrate","Creates the intended technological substitution and caps nitrate dependence","Medium: electricity and coal prices can make adoption volatile",DEFER
nitrates,pm_traditional_saltpetre_beds,proposed future compatibility hook,NONE,"Do not add initially; reconsider only if beta testing proves Atacama trade is structurally unusable","Traditional saltpetre beds existed but were smaller and less concentrated than Chilean caliche","Preserves strategic geography instead of giving every market a local escape route","High if added: would erase nitrate scarcity and trade identity",DEFER
fertilizer,pm_dye_production,common/production_methods/01_industry.txt,"20 sulfur + 30 fertilizer + 10 salt + 10 industrial_chemicals -> 90 dye","Audit fertilizer-as-chemical proxy during the nitrate/explosives cleanup; no 6B change","Nitrogen compounds can support chemical manufacture but fertilizer is an aggregate proxy","Avoids scope creep in the phosphate implementation","Low now; medium if removed without replacing input value",DEFER
explosives,pm_nitroglycerin_building_coal_mine,common/production_methods/03_mines.txt,"Consumes 5 explosives for higher coal output","Keep finished-explosives input","Mines used prepared blasting agents rather than raw nitrate rock","Maintains aggregation and avoids duplicating seven mine recipes","None",KEEP_UNCHANGED
explosives,pm_dynamite_building_coal_mine,common/production_methods/03_mines.txt,"Consumes 10 explosives for higher coal output","Keep finished-explosives input","Dynamite is a manufactured explosive","Preserves existing mine balance","None",KEEP_UNCHANGED
explosives,pm_nitroglycerin_building_iron_mine,common/production_methods/03_mines.txt,"Consumes explosives for higher iron output","Keep finished-explosives input","Mines consumed prepared blasting agents","Preserves existing mine balance","None",KEEP_UNCHANGED
explosives,pm_dynamite_building_iron_mine,common/production_methods/03_mines.txt,"Consumes explosives for higher iron output","Keep finished-explosives input","Dynamite is manufactured downstream","Preserves existing mine balance","None",KEEP_UNCHANGED
explosives,pm_nitroglycerin_building_lead_mine,common/production_methods/03_mines.txt,"Consumes explosives for higher lead output","Keep finished-explosives input","Mines consumed prepared blasting agents","Preserves existing mine balance","None",KEEP_UNCHANGED
explosives,pm_dynamite_building_lead_mine,common/production_methods/03_mines.txt,"Consumes explosives for higher lead output","Keep finished-explosives input","Dynamite is manufactured downstream","Preserves existing mine balance","None",KEEP_UNCHANGED
explosives,pm_nitroglycerin_building_sulfur_mine,common/production_methods/03_mines.txt,"Consumes explosives for higher sulfur output","Keep finished-explosives input","Mines consumed prepared blasting agents","Preserves existing mine balance","None",KEEP_UNCHANGED
explosives,pm_dynamite_building_sulfur_mine,common/production_methods/03_mines.txt,"Consumes explosives for higher sulfur output","Keep finished-explosives input","Dynamite is manufactured downstream","Preserves existing mine balance","None",KEEP_UNCHANGED
explosives,pm_nitroglycerin_building_gold_mine,common/production_methods/03_mines.txt,"Consumes explosives for higher gold output","Keep finished-explosives input","Mines consumed prepared blasting agents","Preserves existing mine balance","None",KEEP_UNCHANGED
explosives,pm_dynamite_building_gold_mine,common/production_methods/03_mines.txt,"Consumes explosives for higher gold output","Keep finished-explosives input","Dynamite is manufactured downstream","Preserves existing mine balance","None",KEEP_UNCHANGED
