"test_id","result","evidence","runtime_fail","root_cause","proposed_fix","second_runtime_required"
"PREP1B-00","PASS","Single human PREP1B launch completed; victoria3.exe and launcher confirmed closed afterward","NO","","","NO"
"PREP1B-01","PASS","Operator screenshot shows the Trafalgar startup painting","NO","","","NO"
"PREP1B-02","PASS","Operator screenshot shows a proportional 16:9 crop without missing texture or black screen","NO","","","NO"
"PREP1B-03","PASS","Operator screenshot retains initialization UI and Paradox/Victoria loading logos","NO","","","NO"
"PREP1B-04","PASS","Operator screenshot shows the mirrored Delaware painting with Washington clear of the left panel","NO","","","NO"
"PREP1B-05","PASS","Operator screenshot shows Age of Revolution in pure white","NO","","","NO"
"PREP1_REMEDIATION_CUSTOM_TITLE_TRACK","FAIL_REMEDIATED_STATICALLY","Operator heard vanilla/DLC title music; debug.log lines 444-447 reject main_theme_track_2/3/4 and report missing UTF-8 BOM","YES","The mod placed all four keys in music/main_themes/music.txt; DLC files registered keys 2-4 first, so the later duplicates were rejected","Keep only main_theme_track in music.txt; shadow the three DLC files by their exact virtual filenames mp1_main_theme.txt, mp2_main_theme.txt and ep2_main_theme.txt; encode all four files as UTF-8 BOM","YES"
"PREP1B-06","PASS","Objective-selection screenshot shows unchanged tutorial art and text","NO","","","NO"
"PREP1B-07","FAIL_REMEDIATED_STATICALLY","Operator found the Lion Capital photograph stylistically inconsistent with the painted cards","YES","The first safe replacement was a modern photograph rather than a painting","Replace it with Khem Karan's 1595 Mughal watercolor A Mounted Prince Hunting Lion in a Rocky Landscape, CC0 Cleveland Museum of Art digitization","YES"
"PREP1B-08","PASS","Operator explicitly judged the Battle of Ushant card perfect","NO","","","NO"
"PREP1B-09","FAIL_REMEDIATED_STATICALLY","Operator screenshot shows the physical artwork frame around the Bastille reproduction","YES","The Paris Musées source reproduction included visible framing in the vertical card crop","Use the Gallica/BnF public-domain reproduction and crop strictly inside the painted surface","YES"
"PREP1B-10","FAIL_REMEDIATED_STATICALLY","Operator screenshot shows the physical artwork frame around the Venice reproduction","YES","The Woburn Abbey source was a framed installation photograph","Use the borderless Google Art Project public-domain reproduction of Canaletto's Bucintoro and crop inside the painted surface","YES"
"PREP1B-11","PASS","Objective-selection screenshot shows unchanged sandbox art and text","NO","","","NO"
"PREP1_REMEDIATION_FRA_FLAG","FAIL_REMEDIATED_STATICALLY","Operator screenshot shows only three isolated fleurs-de-lis and rejects it as the Bourbon flag","YES","The PREP1 base FRA coat of arms was an oversimplified three-emblem approximation","Replace FRA base coat of arms with the full Bourbon royal standard: semé-de-lis plus te_coa_france_greater central royal arms","YES"
"PREP1_REMEDIATION_USA_FLAG","PASS","Operator screenshot shows thirteen stripes and thirteen stars in a circle","NO","","","NO"
"PREP1B-12","PASS","Operator screenshot shows the retained Polish-Lithuanian Commonwealth flag","NO","","","NO"
"PREP1B-13","PASS","Operator screenshot shows the retained 1707-1800 British Union flag","NO","","","NO"
"PREP1_REMEDIATION_SPA_FLAG","NOT_EXPLICITLY_CONFIRMED","Spain was visible in the screenshot but no explicit operator verdict was supplied","NO","","Static SPA base definition remains the 1776 Cross of Burgundy","YES"
"PREP1_REMEDIATION_RUS_FLAG","NOT_EXPLICITLY_CONFIRMED","Russia was visible in the screenshot but no explicit operator verdict was supplied","NO","","Static RUS base definition remains the eighteenth-century imperial eagle banner","YES"
"PREP1B-14","PASS","Operator screenshot shows the retained Prussian eagle","NO","","","NO"
"PREP1B-15","PASS","Operator reported no raw localization keys or other obvious localization defect","NO","","","NO"
"PREP1B-16","PASS","Operator entered a game and supplied an in-game music-player screenshot without reporting instability","NO","","","NO"
"PREP1B-17","PASS","Operator reported that the frontend music stops on game entry; the later vanilla in-game track is the intended gameplay transition","NO","","","NO"
"PREP1B-18","PASS","Read-only process check confirms Victoria 3 and the launcher are closed; no second launch occurred","NO","","","NO"
