Owner_TAG,Owner_Name,State_ID,State_Display_Name,Reviewed,Excluded_Serenissima,Map_Rework_Risk,Positive_Recommendation_Count,Recommended_Buildings,Trade_Center_Recommended,Regional_Infrastructure_Recommended,Tech_Distribution_Review_Count,Assessment
ABB,Arab Emirates,STATE_ABU_DHABI,Trucial Coast,YES,NO,NONE,2,building_port@1;building_fishing_wharf@1,NO,NO,2,POSITIVE_RECOMMENDATIONS
ADG,Kel Adagh,STATE_EAST_SAHARA,East Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
ADG,Kel Adagh,STATE_TIMBUKTU,Timbuktu,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
ADR,Adrar,STATE_INNER_MAURITANIA,Inner Mauritania,YES,NO,NONE,3,building_livestock_ranch@1;building_eye_of_sahara@1;building_salt_mine@1,NO,NO,1,POSITIVE_RECOMMENDATIONS
ADR,Adrar,STATE_MAURITANIA,Mauritania,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
ADR,Adrar,STATE_TIMBUKTU,Timbuktu,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
AHG,Kel Ahaggar,STATE_EAST_SAHARA,East Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
AIR,Kel Air,STATE_NIGER,Niger,YES,NO,NONE,2,building_livestock_ranch@1;building_millet_farm@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
AIT,Ait Abbas,STATE_CONSTANTINE,Constantine,YES,NO,NONE,3,building_livestock_ranch@1;building_wheat_farm@1;building_textile_mill@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
AJJ,Kel Ajjer,STATE_EAST_SAHARA,East Sahara,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
AJJ,Kel Ajjer,STATE_LIBYAN_DESERT,Fezzan,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
AJJ,Kel Ajjer,STATE_NIGER,Niger,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
ARB,Arabistan,STATE_KHUZESTAN,Arabistan,YES,NO,NONE,6,building_livestock_ranch@1;building_rice_farm@1;building_wheat_farm@1;building_railway@1;building_cotton_plantation@1;building_port@1,NO,YES,1,POSITIVE_RECOMMENDATIONS
ATR,Kel Ataram,STATE_TIMBUKTU,Timbuktu,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
BHN,Bahrain,STATE_ABU_DHABI,Trucial Coast,YES,NO,NONE,2,building_fishing_wharf@1;building_trade_center@1,YES,NO,1,POSITIVE_RECOMMENDATIONS
BHN,Bahrain,STATE_LARISTAN,Hormuz,YES,NO,NONE,0,,NO,NO,0,REVIEWED_NO_POSITIVE_BUILDING_SEED
