family_id,normalized_message,diagnostic_kind,fresh_diagnostics,files,objects,regions_features,source_matches,vanilla_matches,protected_occurrences,custom_only_occurrences,legacy_count,candidate_transform_count,semantic_exception_count,classification,certainty,risk,exact_transformation_rule,expected_diagnostics_removed,theoretical_diff,inverse_validation,classification_reason,file_list,patch_plan_sha256,hash_matrix
API_HAS_ROLE,PostValidate of trigger 'has_role' returned false,PostValidate_trigger,525,76,198,:;america:American_content;east_indies:events;france:French_content;global:NAVY;global:common/on_actions;global:events;global:journal_entries;iberia:events;india:India_hotfix;japan:Japan_hotfix;south_america:events;south_america:journal_entries,426,432,91,2,525,434,91,FAMILY_B,PROVEN,LOW,has_role = <general|admiral|agitator|politician|executive> -> has_role_of_type = <same value>,434,434+/434- across 61 files,PASS,Pure local syntax/API migration; source hotfix and vanilla 1.13 preserve scope and value; protected paths excluded.,common/journal_entries/00_fascism.txt;common/journal_entries/00_liberalism.txt;common/journal_entries/00_peoples_springtime_je.txt;common/journal_entries/00_slave_owner_paranoia.txt;common/journal_entries/00_tutorial.txt;common/journal_entries/02_brazil_navy.txt;common/journal_entries/04_imperialism_of_promise.txt;common/journal_entries/04_india_non_cooperation.txt;common/journal_entries/05_austrian_fascism.txt;common/on_actions/00_code_on_actions.txt;common/scripted_progress_bars/01_mod76_progress_bars.txt;events/agitators_events/agitator_law_events_2.txt;events/agitators_events/agitators_election_events.txt;events/agitators_events/algeria_events.txt;events/agitators_events/coup_events.txt;events/agitators_events/dreyfus_events.txt;events/agitators_events/exiles_events.txt;events/agitators_events/exiles_events_02.txt;events/agitators_events/garibaldi_events.txt;events/agitators_events/paris_commune_events.txt;events/agitators_events/paris_commune_pulse_events.txt;events/agitators_events/revolution_events_01.txt;events/agitators_events/revolution_events_02.txt;events/agitators_events/revolution_events_03.txt;events/agitators_events/yeet_agitator_events.txt;events/amazon_events.txt;events/american_civil_war/acw_events.txt;events/balkans_events/austria_federalism.txt;events/brazil/brazil_navy.txt;events/brazil/caudillo.txt;events/bulgaria_events.txt;events/character_events.txt;events/commander_events.txt;events/communism.txt;events/debug_events.txt;events/decree_events.txt;events/dei_breakup.txt;events/election_events/election_neutral_events.txt;events/expedition_events/antarctic_expedition_events.txt;events/expedition_events/central_africa_expedition_events.txt;events/expedition_events/congo_river_expedition_events.txt;events/expedition_events/niger_river_expedition_events.txt;events/expedition_events/west_america_expedition_events.txt;events/fascism_events.txt;events/general_events.txt;events/iberia_events/carlist_war_events.txt;events/iberia_events/ip4_anarchism_events.txt;events/iberia_events/ip4_coup_events.txt;events/iberia_events/struggle_for_the_highveld_events.txt;events/india_events/india_nationalism_events.txt;events/india_events/india_non_cooperation.txt;events/india_events/indian_famines.txt;events/india_events/mughal_events.txt;events/india_events/princely_states.txt;events/india_events/sikh_empire.txt;events/india_events/utilitarian.txt;events/industrial_accidents_events.txt;events/law_events/distribution_of_power_laws.txt;events/meiji_restoration.txt;events/movement_events.txt;events/nihilism.txt;events/obligation_events.txt;events/peoples_springtime.txt;events/pm_events.txt;events/psychology_events.txt;events/resignation.txt;events/slave_owner_paranoia_events.txt;events/soi_events/00_ep1_kazakh_events.txt;events/soi_events/00_lobbies_events_03.txt;events/soi_events/00_lobbies_events_04.txt;events/spooky_halloween_events.txt;events/suffragist_events.txt;events/tech_events/naval_tech_events.txt;events/tech_events/production_tech_events.txt;events/tibetan_expedition.txt;events/utopians.txt,D8C6DA5830C38B81348197141258F31BA8B5451E232E4ACD1C11A9FFE4B47466,PER_OCCURRENCE_AND_PER_FILE_IN_PATCH_PLAN
API_IS_RULER,Unknown trigger type: is_ruler,parser,170,45,71,america:American_content;france:French_content;global:common/dynamic_country_names;global:common/on_actions;global:events;global:journal_entries;iberia:events;india:India_hotfix;south_america:events,190,190,21,0,217,190,27,FAMILY_B,PROVEN,LOW,is_ruler = <yes|no> -> is_ruler_of_own_country = <same bool>,149,190+/190- across 47 files,PASS,Pure local syntax/API migration; source hotfix and vanilla 1.13 preserve scope and value; protected paths excluded.,common/dynamic_country_names/00_dynamic_country_names.txt;common/journal_entries/00_assassination.txt;common/journal_entries/01_french_monarchism.txt;common/journal_entries/03_korea.txt;common/journal_entries/05_metternich.txt;common/on_actions/00_code_on_actions.txt;events/agitators_events/agitators_election_events.txt;events/agitators_events/algeria_events.txt;events/agitators_events/coup_events.txt;events/agitators_events/exiles_events_02.txt;events/amazon_events.txt;events/balkans_events/03_ip3_austria_events.txt;events/balkans_events/balkan_wars_events.txt;events/brazil/caudillo.txt;events/character_events.txt;events/commander_events.txt;events/congo_free_state_events.txt;events/crime_events.txt;events/decree_events.txt;events/election_events/election_neutral_events.txt;events/expedition_events/antarctic_expedition_events.txt;events/expedition_events/central_africa_expedition_events.txt;events/expedition_events/congo_river_expedition_events.txt;events/expedition_events/niger_river_expedition_events.txt;events/expedition_events/west_america_expedition_events.txt;events/fascism_events.txt;events/general_events.txt;events/iberia_events/ip4_spanish_political_events.txt;events/iberia_events/struggle_for_the_highveld_events.txt;events/india_events/mughal_events.txt;events/india_events/princely_states.txt;events/india_events/sikh_empire.txt;events/india_events/utilitarian.txt;events/industrial_accidents_events.txt;events/law_events/anti_state_religion_law_events.txt;events/law_events/distribution_of_power_laws.txt;events/law_events/monarchy_laws.txt;events/obligation_events.txt;events/oil_rush_events.txt;events/red_scare_events.txt;events/soi_events/00_lobbies_events_03.txt;events/tech_events/production_tech_events.txt;events/technology_events.txt;events/tibetan_expedition.txt;events/warlord_china_events.txt,D8C6DA5830C38B81348197141258F31BA8B5451E232E4ACD1C11A9FFE4B47466,PER_OCCURRENCE_AND_PER_FILE_IN_PATCH_PLAN
API_HAS_JOURNAL_ENTRY,PostValidate of trigger 'has_journal_entry' returned false,PostValidate_trigger,79,36,71,:;global:common/ai_strategies;global:events;iberia:events,7,79,2,0,79,0,79,FAMILY_E,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_INTENTIONAL_OR_BACKLOG,0,NONE,NOT_APPLICABLE,API name remains valid or the failure is an absent referenced object; importing/recreating content is not an atomic API rename.,common/ai_strategies/00_default_strategy.txt;common/ai_strategies/03_political_strategies.txt;common/buildings/03_mines.txt;common/buildings/04_plantations.txt;common/buildings/11_private_infrastructure.txt;common/company_types/00_companies_japan.txt;common/company_types/00_companies_soi.txt;common/customizable_localization/japan_custom_loc.txt;common/decisions/west_america_expidition_decision.txt;common/decrees/00_decree.txt;common/government_types/01_regencies.txt;common/government_types/01_social_monarchies.txt;common/laws/00_church_and_state.txt;common/laws/00_education_system.txt;common/laws/00_health_system.txt;common/laws/00_migration.txt;common/laws/00_trade_policy.txt;common/political_movements/00_ideological_movements.txt;common/political_movements/04_country_specific_ideological_movements.txt;common/script_values/ip4_je_values.txt;common/scripted_buttons/07_iwakura_buttons.txt;common/scripted_buttons/07_japan_religion_buttons.txt;common/scripted_effects/00_victoria_ip4_scripted_effects.txt;common/scripted_rules/00_scripted_rules.txt;common/scripted_triggers/00_ai_triggers.txt;common/scripted_triggers/00_ip4_victoria_scripted_triggers.txt;common/treaty_articles/07_foreign_investment_rights.txt;common/treaty_articles/11_offer_embassy.txt;common/treaty_articles/14_treaty_port.txt;common/treaty_articles/17_prohibit_trade_with_global_market.txt;common/treaty_articles/20_law_commitment.txt;common/treaty_articles/21_no_tariffs.txt;common/treaty_articles/25_trade_privilege.txt;common/treaty_articles/27_amend_succession.txt;events/balkans_events/serbia_events.txt;events/iberia_events/iberian_union_events.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_HAS_TEMPLATE,PostValidate of trigger 'has_template' returned false,PostValidate_trigger,51,10,14,:;global:common/on_actions;iberia:events,8,51,0,0,51,0,51,FAMILY_E,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_INTENTIONAL_OR_BACKLOG,0,NONE,NOT_APPLICABLE,API name remains valid or the failure is an absent referenced object; importing/recreating content is not an atomic API rename.,common/on_actions/00_code_on_actions.txt;common/parties/conservative_party.txt;common/parties/liberal_party.txt;common/scripted_effects/00_scripted_effects.txt;common/scripted_effects/00_victoria_heir_generation.txt;common/scripted_effects/00_victoria_royal_successions.txt;events/iberia_events/carlist_war_events.txt;events/iberia_events/ip4_spanish_political_events.txt;gfx/portraits/portrait_modifiers/01_clothes.txt;gfx/portraits/portrait_modifiers/01_headgear.txt,NOT_APPLICABLE,NOT_APPLICABLE
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,Unexpected token: region_andes ; Unexpected token: region_baltic ; Unexpected token: region_brazil ; Unexpected token: region_canada ; Unexpected token: region_caucasus ; Unexpected token: region_central_america ; Unexpected token: region_central_asia ; Unexpected token: region_congo ; Unexpected token: region_dixie ; Unexpected token: region_england ; Unexpected token: region_gran_colombia ; Unexpected token: region_great_plains ; Unexpected token: region_iberia ; Unexpected token: region_italy ; Unexpected token: region_japan ; Unexpected token: region_la_plata ; Unexpected token: region_manchuria ; Unexpected token: region_new_england ; Unexpected token: region_niger ; Unexpected token: region_north_africa ; Unexpected token: region_north_china ; Unexpected token: region_north_germany ; Unexpected token: region_oceania ; Unexpected token: region_pacific_coast ; Unexpected token: region_persia ; Unexpected token: region_rhine ; Unexpected token: region_senegal ; Unexpected token: region_south_china ; Unexpected token: region_south_germany ; Unexpected token: region_southern_africa ; Unexpected token: region_the_midwest ; Unexpected token: region_zanj,parser,32,1,1,global:common/ai_strategies,0,15,0,0,32,0,32,FAMILY_C,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_SEMANTIC_REWRITE_REQUIRED,0,NONE,NOT_APPLICABLE,"The 1.13 equivalent changes structure, scope, selection, character construction, or gameplay semantics.",common/ai_strategies/00_default_strategy.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_IS_INVOLVED_IN_JOURNAL_ENTRY,PostValidate of trigger 'is_involved_in_journal_entry' returned false,PostValidate_trigger,28,9,13,:;global:common/on_actions;iberia:events,4,28,0,0,28,0,28,FAMILY_E,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_INTENTIONAL_OR_BACKLOG,0,NONE,NOT_APPLICABLE,API name remains valid or the failure is an absent referenced object; importing/recreating content is not an atomic API rename.,common/decisions/ip4_portugal_decisions.txt;common/on_actions/00_code_on_actions.txt;common/on_actions/ip4_on_actions.txt;common/script_values/command_values.txt;common/script_values/occupation_values.txt;common/scripted_buttons/06_iberia_buttons.txt;common/scripted_effects/00_victoria_ip4_scripted_effects.txt;common/scripted_triggers/ip4_carlist_war_triggers.txt;events/iberia_events/iberian_union_events.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_HAS_INTEREST_MARKER_IN_REGION,PostValidate of trigger 'has_interest_marker_in_region' returned false,PostValidate_trigger,23,6,6,america:American_content;global:common/on_actions;global:events;global:journal_entries,6,22,23,1,23,0,23,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/journal_entries/03_afghanistan.txt;common/journal_entries/07_american_mod_jes.txt;common/on_actions/00_code_on_actions.txt;events/egyptian_crisis_events.txt;events/italian_unification.txt;events/soi_events/00_ep1_caucasus_events.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_ADD_JOURNAL_ENTRY,PostValidate of effect 'add_journal_entry' returned false,PostValidate_effect,14,7,11,:;global:events;japan:Japan_hotfix,9,14,7,0,14,0,14,FAMILY_E,REJECTED_MECHANICAL,GAMEPLAY_OR_DEPENDENCY,NONE_INTENTIONAL_OR_BACKLOG,0,NONE,NOT_APPLICABLE,API name remains valid or the failure is an absent referenced object; importing/recreating content is not an atomic API rename.,common/decisions/japan_shinto.txt;common/laws/00_governance_principles.txt;common/scripted_buttons/06_portugal_buttons.txt;events/balkans_events/serbia_events.txt;events/iberia_events/two_spains_events.txt;events/japan_events/ep2_iwakura_events.txt;events/japan_events/ep2_meiji_restoration.txt,NOT_APPLICABLE,NOT_APPLICABLE
PINNING_ATOMICITY_EXCEPTION,Unexpected token: should_be_pinned_by_default,parser,14,12,14,:;france:French_content;global:journal_entries,14,12,14,2,14,0,14,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/journal_entries/00_autocracy.txt;common/journal_entries/00_battle_for_india_mod.txt;common/journal_entries/00_canals.txt;common/journal_entries/00_corn_laws.txt;common/journal_entries/00_prohibition_laws.txt;common/journal_entries/00_skyscraper.txt;common/journal_entries/01_paris_commune.txt;common/journal_entries/02_peru_bolivia.txt;common/journal_entries/03_korea.txt;common/journal_entries/05_grunderzeit.txt;common/journal_entries/05_montenegro_je.txt;common/journal_entries/07_hindustan_is_durrani_mod.txt,NOT_APPLICABLE,NOT_APPLICABLE
API_HAS_AMENDMENT,PostValidate of trigger 'has_amendment' returned false,PostValidate_trigger,13,7,11,america:American_content;global:events;iberia:events,12,12,1,0,13,12,1,FAMILY_B,PROVEN,LOW,has_amendment = amendment_X -> has_amendment = amendment_type:amendment_X,12,12+/12- across 6 files,PASS,Pure local syntax/API migration; source hotfix and vanilla 1.13 preserve scope and value; protected paths excluded.,events/agitators_events/historic_agitator_events.txt;events/agitators_events/land_ownership_law_events.txt;events/american_civil_war/acw_events.txt;events/balkans_events/metternich.txt;events/balkans_events/subjecthood_events.txt;events/iberia_events/ip4_election_rigging.txt;events/ig_petitions.txt,D8C6DA5830C38B81348197141258F31BA8B5451E232E4ACD1C11A9FFE4B47466,PER_OCCURRENCE_AND_PER_FILE_IN_PATCH_PLAN
API_IS_BUILDING_TYPE,PostValidate of trigger 'is_building_type' returned false,PostValidate_trigger,11,5,5,america:American_content;global:common/ai_strategies;global:events;south_america:events,10,11,2,0,11,0,11,FAMILY_D,REJECTED_MECHANICAL,PROTECTED,NONE_PROTECTED_WORK,0,NONE,NOT_APPLICABLE,The family collides with an explicit closed or protected area.,common/ai_strategies/00_default_strategy.txt;events/agitators_events/revolution_events_02.txt;events/brazil/brazil_navy.txt;events/brazil/culture_south_america.txt;events/dreadnought_hoax.txt,NOT_APPLICABLE,NOT_APPLICABLE
