Technology_ID,Current_Prerequisite,Issue_Type,Affected_TAG_Count,Affected_TAGs,Affected_Regions,Historical_Evidence_Summary,Gameplay_Meaning,Recommendation,Suggested_Replacement,Priority,Status
advanced_crop_rotations,selective_breeding,ARTIFICIAL_PREREQUISITE,32,ASM;AWA;BEL;BEO;BER;BIC;CHI;COC;DAI;FRA;GWA;HYD;IND;IREK;JAI;JAP;JOD;KNK;KOR;KOT;MARATH;MEW;MUG;MYS;NAG;NEP;NET;PAN;PTN;SIA;SIN;TRA,EAST_ASIA_SE_ASIA;OCEANIA_PACIFIC;SOUTH_ASIA;WESTERN_EUROPE,Les rotations avancées existent dans plusieurs systèmes agricoles sans sélection animale correspondante.,Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,REMOVE_EDGE,improved_husbandry,HIGH,ACTIVE
applied_mineralogy,shaft_mining,MISSING_PREREQUISITE,3,KRA;MOR;SC2,AFRICA;AMERICAS_CARIBBEAN;NORTHERN_EASTERN_EUROPE,"La région andine connaît des activités minières, mais l'attribution à ce TAG local est trop large pour être certaine. La Nouvelle-Grenade possède une économie aurifère importante; le nœud est proposé comme savoir-faire minier sectoriel, pas comme académie tech",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
atmospheric_engine,coke_smelting,ARTIFICIAL_PREREQUISITE,7,AUS;BEL;BEO;FRA;HUN;SPA;SPC,CENTRAL_EUROPE_GERMAN_ITALY;OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA;WESTERN_EUROPE,La vapeur atmosphérique est attestée dans plusieurs trajectoires sans sidérurgie locale au coke.,Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,REPLACE_EDGE,shaft_mining,HIGH,ACTIVE
codified_practical_knowledge,institutionalized_scientific_exchange,OVERBROAD_PREREQUISITE,66,ABB;ABU;ACE;ARB;ARM;ASM;AWA;BAL;BER;BHN;BRU;BUK;BUR;CAM;DAI;DEI;DUR;EGY;GRE;GWA;HDJ;HER;HYD;IND;ION;IR1;JAB;JBB;JOH;KAB;KAL;KAN;KAS;KHI;KOK;KOR;KUN;MAI;MAK;MARATH;MCR;MEW;MGD;MOL;MUG;MYS;NAG;NBB;NEJ;NEP;OMA;PAN;PER;PHI;PRK;PTN;RYU;SD1;SER;SIN;SRK;SUL;TIB;TRA;WAL;YOG,AFRICA;EAST_ASIA_SE_ASIA;OCEANIA_PACIFIC;OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA;SOUTH_ASIA,La codification pratique ne suppose pas toujours un réseau savant institutionnalisé.,Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,REPLACE_EDGE,parent alternatif ou branche OU,HIGH,ACTIVE
codified_practical_knowledge,periodical_print_networks,OVERBROAD_PREREQUISITE,77,ABB;ABU;ACE;ARB;ARM;ASM;AWA;BAL;BCE;BER;BHN;BIC;BOR;BRU;BUK;BUR;CAM;CON;DAI;DFR;DUR;EGY;ETH;GRE;GWA;HAR;HDJ;HER;HYD;IND;ION;IR1;JAB;JAI;JBB;JOH;KAB;KAL;KAN;KAS;KHI;KOK;KUN;MAI;MAK;MARATH;MCR;MEW;MGD;MOL;MOR;MUG;MYS;NAG;NBB;NEJ;NEP;OMA;PAN;PER;PHI;PRK;PTN;RYU;SD1;SER;SIN;SRK;SUL;TIB;TRA;TRI;TRS;TUN;TUR;WAL;YOG,AFRICA;EAST_ASIA_SE_ASIA;OCEANIA_PACIFIC;OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA;SOUTH_ASIA,"La codification peut circuler par manuscrits, écoles, ateliers ou administration sans presse périodique.",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,REPLACE_EDGE,imprimerie/archives ou branche OU,HIGH,ACTIVE
commercial_insurance_markets,institutionalized_public_credit,MISSING_PREREQUISITE,9,DEI;HAM;ION;KUT;NOR;PLC;SIN;SPA;SPC,CENTRAL_EUROPE_GERMAN_ITALY;EAST_ASIA_SE_ASIA;NORTHERN_EASTERN_EUROPE;OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA;SOUTH_ASIA;WESTERN_EUROPE,"Commerce maritime et crédit sont importants, mais l’existence d’un marché local d’assurance commerciale institutionnalisé distinct des opérateurs européens reste insuffisamment démontrée. Le commerce maritime et la gestion du risque sont importants, mais la do",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
commercial_insurance_markets,international_relations,MISSING_PREREQUISITE,1,NOR,NORTHERN_EASTERN_EUROPE,"Commerce maritime et crédit sont importants, mais l’existence d’un marché local d’assurance commerciale institutionnalisé distinct des opérateurs européens reste insuffisamment démontrée. Le commerce maritime et la gestion du risque sont importants, mais la do",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
industrial_canals,turnpike_road_networks,ARTIFICIAL_PREREQUISITE,8,BEL;BEO;CHI;FRA;IREK;JAP;NET;RUS,EAST_ASIA_SE_ASIA;NORTHERN_EASTERN_EUROPE;WESTERN_EUROPE,Les grands réseaux de canaux chinois et européens ne dérivent pas des turnpikes britanniques.,Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,REPLACE_EDGE,hydraulic engineering / improved waterways,HIGH,ACTIVE
industrial_ceramics,traditional_glassmaking,MISSING_PREREQUISITE,2,KOR;LUX,EAST_ASIA_SE_ASIA;WESTERN_EUROPE,"Des manufactures de porcelaine/céramique organisées existent dans plusieurs États bien avant 1776 (Meissen 1710, Nymphenburg 1747, Naples relancé 1771, etc.). Monarchie habsbourgeoise: réformes thérésiennes, appareil militaire/administratif et institutions sav",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
light_infantry_tactics,regulated_small_arms,MISSING_PREREQUISITE,49,ABB;ABU;ACE;ARG;BHN;BOL;CHL;CHT;CUB;ECU;FIN;GR5;HAI;HBC;HDJ;IQU;JOH;KAF;KAL;KAT;KBB;LAH;LOU;LUX;MAH;MAK;MBB;MEX;MICC;MKT;NPU;NVS;ORG;PCO;PEU;PNI;PRA;PRG;SC1;SC2;SC3;SC4;SEQ;SPU;TEX;URU;USA;VNZ;ZAI,AMERICAS_CARIBBEAN;EAST_ASIA_SE_ASIA;NORTHERN_EASTERN_EUROPE;OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA;WESTERN_EUROPE,"Troupes irrégulières, tirailleurs ou corps armés existent, mais l’identification à une doctrine spécifique d’infanterie légère est incertaine. Tactiques d'infanterie légère, de frontière ou de milice sont plausibles/établies dans l'environnement militaire loca",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
medical_degrees,institutionalized_scientific_exchange,OVERBROAD_PREREQUISITE,13,CHL;CUB;ECU;GR3;GR5;KOR;MEX;NPU;PEU;SC1;SC3;SPU;VNZ,AMERICAS_CARIBBEAN;CENTRAL_EUROPE_GERMAN_ITALY;EAST_ASIA_SE_ASIA,"Facultés, collèges, examens et ijazas médicales existent sans réseau savant moderne.",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,REPLACE_EDGE,parent éducatif/médical plus ancien,HIGH,ACTIVE
military_topographic_surveying,permanent_engineer_services,MISSING_PREREQUISITE,1,JAP,EAST_ASIA_SE_ASIA,"Les ingénieurs militaires produisent plans et relevés pour fortifications, mais le caractère systématique d'un service topographique distinct au cutoff reste ambigu. Le levé topographique militaire n'est retenu que pour des programmes/cartographies d'État iden",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
organized_elementary_schooling,periodical_print_networks,OVERBROAD_PREREQUISITE,7,BOR;CON;ETH;HAR;MOR;TRI;TUN,AFRICA,"Écoles communautaires, confessionnelles et d’État peuvent précéder un réseau de presse périodique.",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,REPLACE_EDGE,codified_practical_knowledge ou parent éducatif,HIGH,ACTIVE
permanent_engineer_services,scientific_fortification_siegecraft,MISSING_PREREQUISITE,5,CLM;KRA;MEX;SC1;SC2,AMERICAS_CARIBBEAN;NORTHERN_EASTERN_EUROPE,"Des travaux militaires/navals spécialisés existent, mais l'existence d'un corps local permanent du génie n'est pas suffisamment démontrée. Des ingénieurs militaires de carrière assurent localement fortification, travaux et plans; la capacité correspond à un se",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
permanent_military_hospitals,scientific_fortification_siegecraft,MISSING_PREREQUISITE,2,KRA;USA,AMERICAS_CARIBBEAN;NORTHERN_EASTERN_EUROPE,"Des hôpitaux de garnison/navals existent, mais leur correspondance avec un système permanent militaire institutionnalisé au sens du nœud demande une preuve locale plus directe. Le Continental Army Hospital Department est organisé en 1775; au 1er janvier 1776 l",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
political_economy,codified_practical_knowledge,MISSING_PREREQUISITE,1,HUN,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,"Cameralisme, agronomie politique et réformes économiques constituent une économie politique institutionnalisée dans quelques États seulement. Monarchie habsbourgeoise: réformes thérésiennes, appareil militaire/administratif et institutions savantes sont réels",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
political_economy,commercial_insurance_markets,MISSING_PREREQUISITE,10,AUS;FIN;HAN;HUN;KRA;PRU;RUS;SAX;TUS;UBD,CENTRAL_EUROPE_GERMAN_ITALY;NORTHERN_EASTERN_EUROPE;OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,"Cameralisme, agronomie politique et réformes économiques constituent une économie politique institutionnalisée dans quelques États seulement. Monarchie habsbourgeoise: réformes thérésiennes, appareil militaire/administratif et institutions savantes sont réels",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
political_economy,systematic_administrative_statistics,MISSING_PREREQUISITE,1,KRA,NORTHERN_EASTERN_EUROPE,"Cameralisme, agronomie politique et réformes économiques constituent une économie politique institutionnalisée dans quelques États seulement. Monarchie habsbourgeoise: réformes thérésiennes, appareil militaire/administratif et institutions savantes sont réels",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
regulated_small_arms,scientific_fortification_siegecraft,ARTIFICIAL_PREREQUISITE,24,ARM;BRA;CHC;CIR;DUR;EGY;GRE;HER;HES;IR1;JAB;JBB;KAB;KAN;KUN;MAI;MOL;MON;NBB;NEJ;OMA;PER;SER;WAL,CENTRAL_EUROPE_GERMAN_ITALY;OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,Arsenaux et armes réglementaires ne dépendent pas nécessairement d’une science de siège formalisée.,Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,REMOVE_EDGE,—,HIGH,ACTIVE
scientific_naval_architecture,state_dockyard_systems,MISSING_PREREQUISITE,5,FJI;HAW;MCR;PLY;TNG,OCEANIA_PACIFIC,"Des chantiers et savoir-faire navals existent, mais la preuve d'une architecture navale scientifique institutionnalisée au sens du nœud est insuffisante pour un ADD ferme. Architecture navale scientifique réservée aux arsenaux capables de formaliser la concept",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
ship_classification_surveying,enclosed_dock_systems,MISSING_PREREQUISITE,1,UBD,NORTHERN_EASTERN_EUROPE,"Classement/inspection systématique des navires retenu seulement là où une administration navale spécialisée est identifiable. Venise: Arsenal, dette publique, crédit, commerce et Padoue produisent un profil naval-financier-scientifique exceptionnel malgré le d",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
standardized_field_artillery,regulated_small_arms,MISSING_PREREQUISITE,24,BOL;BRZ;CHI;CHL;CLM;CUB;FIN;GR5;HAI;KOR;LOU;LUX;MEX;NPU;NVS;PCO;PEU;PNI;SC1;SC3;SPU;TEX;URU;USA,AMERICAS_CARIBBEAN;EAST_ASIA_SE_ASIA;NORTHERN_EASTERN_EUROPE;WESTERN_EUROPE,"Artillerie VOC locale existe, mais l’échelle d’une artillerie de campagne standardisée propre au Cap est incertaine. L'artillerie est présente ou mobilisable, mais le degré de standardisation et de disponibilité locale au 1er janvier 1776 varie fortement. Arti",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
stock_exchange,institutionalized_public_credit,MISSING_PREREQUISITE,1,FRM,CENTRAL_EUROPE_GERMAN_ITALY,"Le nœud est interprété comme marché organisé de titres/crédit négociable. Frankfurt possède une bourse ancienne, mais les titres d'État n'y apparaissent qu'à la fin des années 1770: cas REVIEW. Gênes: république marchande avec crédit ancien et manufactures de",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
sugar_refining,traditional_food_processing,MISSING_PREREQUISITE,4,KKI;MGH;NGA;TIP,SOUTH_ASIA,"Le raffinage/traitement du sucre existe localement avant 1776, mais le nœud actuel débloque centrifugation, betterave, évaporation vapeur et vacuum pan: le paquet gameplay est anachronique et ne doit pas être ADD silencieusement. Le raffinage du sucre est attr",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
systematic_legal_codification,systematic_administrative_statistics,MISSING_PREREQUISITE,1,ETH,AFRICA,"Le Fetha Nagast et la tradition écrite juridico-ecclésiastique structurent durablement la pratique du droit; le nœud est interprété comme codification établie. Droit écrit islamique et jurisprudence sont institutionnalisés, mais ce n’est pas nécessairement une",Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,RESEARCH_NEEDED,—,MEDIUM,ACTIVE
traditional_furniture_making,organized_textile_production,ARTIFICIAL_PREREQUISITE,8,ANK;BCE;KRG;KZM;LZO;MRV;NYM;SAF,AFRICA;SOUTH_ASIA,La connexion évite un nœud isolé mais lie deux métiers historiquement indépendants.,Prérequis direct chargé dans le working tree; aucune fermeture artificielle appliquée dans cette synthèse.,REPLACE_EDGE,parent artisanal général; conserver le nœud connecté,MEDIUM,ACTIVE
traditional_papermaking,organized_forestry (ancienne arête supprimée),RESOLVED_BY_CURRENT_TREE,78,ABS;ALK;APC;ARG;ARP;ATB;BLF;BNN;BOL;BRZ;BUR;CAM;CHI;CHL;CLM;CMI;COM;CUB;DAI;DEN;DENNOR;ECU;FIN;GNI;GR5;HAI;HBC;IQU;IRC;JAP;KOR;KRA;LKT;LOU;LUA;MEX;MICC;MKT;NBS;NOR;NPU;NVJ;NVS;NZP;ONT;ORG;PAT;PCO;PEU;PLC;PNI;PRA;PRG;PWN;QUE;RUS;RYU;SC1;SC2;SC3;SC4;SEQ;SHS;SIA;SLK;SLS;SML;SPU;SWE;TEX;THL;TIB;UBD;UCA;URU;USA;UTE;VNZ,AMERICAS_CARIBBEAN;EAST_ASIA_SE_ASIA;NORTHERN_EASTERN_EUROPE,Les anciennes alertes reposaient exclusivement sur organized_forestry; le logging rudimentaire et ces industries sont désormais découplés.,"Problème historique de fermeture, plus actif dans le working tree.",REMOVE_EDGE,—,RESOLVED,RESOLVED_BY_CURRENT_TREE
traditional_glassmaking,organized_forestry (ancienne arête supprimée),RESOLVED_BY_CURRENT_TREE,75,ABS;ALK;APC;ARG;ARP;ATB;BLF;BNN;BOL;BRZ;CHI;CHL;CLM;COM;CON;CUB;DEN;DENNOR;ECU;FIN;FZN;GNI;GR5;HAI;HBC;IQU;IRC;JAP;KRA;LKT;LOU;MAS;MEX;MICC;MKT;MOR;MZB;NBS;NOR;NPU;NVJ;NVS;NZP;ONT;ORG;PAT;PCO;PEU;PLC;PNI;PRA;PRG;PWN;QUE;RUS;SC1;SC2;SC3;SC4;SEQ;SLK;SLS;SML;SPU;SWE;TEX;THL;TRI;TUN;UBD;UCA;URU;USA;UTE;VNZ,AFRICA;AMERICAS_CARIBBEAN;EAST_ASIA_SE_ASIA;NORTHERN_EASTERN_EUROPE,Les anciennes alertes reposaient exclusivement sur organized_forestry; le logging rudimentaire et ces industries sont désormais découplés.,"Problème historique de fermeture, plus actif dans le working tree.",REMOVE_EDGE,—,RESOLVED,RESOLVED_BY_CURRENT_TREE
