source,target,source_era,target_era,source_family,target_family,source_branch,target_branch,classification,cross_branch,semantic_reason
early_socialism_cooperativism,anarchism,era_6,era_7,political_ideologies,political_ideologies,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
industrial_acids,baking_powder,era_2,era_7,industrial_chemistry,food_industrialization,Production,Production,STRONG,no,Industrial acid and alkali chemistry supplies the controlled reagents required for commercial baking-powder manufacture.
hot_blast_smelting,bessemer_process,era_6,era_7,steel_metallurgy,steel_metallurgy,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
pressed_glass,camera,era_6,era_7,industrial_materials,arts_visual_media,Production,Society,CROSS_BRANCH_JUSTIFIED,yes,Reliable industrial glass plates and optical glass are material prerequisites for practical photographic apparatus and negatives.
optical_telegraph_networks,electric_telegraph,era_4,era_7,telecommunications,telecommunications,Society,Military,CROSS_BRANCH_JUSTIFIED,yes,Direct continuation within the same conceptual technology family.
general_staff,field_works,era_6,era_7,military_organization,fortification,Military,Military,STRONG,no,"Professional staff planning institutionalizes military engineering, siting and construction of coordinated field works."
iron_hull_construction,ironclad_tech,era_6,era_7,pre1836_foundation,naval_hulls,Naval,Naval,STRONG,no,Direct continuation within the same conceptual technology family.
threshing_machine,mechanized_farming,era_4,era_7,agricultural_modernization,agricultural_modernization,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
medical_degrees,modern_nursing,era_3,era_7,military_medicine,military_medicine,Society,Military,CROSS_BRANCH_JUSTIFIED,yes,Direct continuation within the same conceptual technology family.
national_sovereignty,nationalism,era_4,era_7,nationalism_imperialism,nationalism_imperialism,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
industrial_acids,nitroglycerin,era_2,era_7,industrial_chemistry,industrial_explosives,Production,Production,STRONG,no,Direct continuation within the same conceptual technology family.
nationalism,organized_sports,era_7,era_7,nationalism_imperialism,sports_mass_culture,Society,Society,PLAUSIBLE,no,"National associations, standardized institutions and public competition plausibly prepare organized mass sport; this is institutional rather than merely chronological."
pharmaceuticals,quinine,era_6,era_7,public_health,public_health,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
romanticism,realism,era_7,era_7,arts_visual_media,arts_visual_media,Society,Society,STRONG,no,Direct continuation within the same conceptual technology family.
institutionalized_scientific_exchange,romanticism,era_1,era_7,philosophy_psychology,arts_visual_media,Society,Society,PLAUSIBLE,no,Transnational learned and publishing networks enabled circulation and contestation of the intellectual currents from which Romanticism emerged.
industrial_acids,rubber_mastication,era_2,era_7,industrial_chemistry,industrial_materials,Production,Production,STRONG,no,Industrial chemical processing supplies the solvents and controlled treatments needed to work raw rubber at scale.
early_socialism_cooperativism,socialism,era_6,era_7,political_ideologies,political_ideologies,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
labor_movement,socialism,era_6,era_7,political_ideologies,political_ideologies,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
high_pressure_steam,watertube_boiler,era_5,era_7,steam_power,steam_power,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
fractional_distillation,aniline,era_6,era_8,industrial_chemistry,industrial_materials,Production,Production,STRONG,no,Fractional processing of coal-tar feedstocks supplies the chemical intermediates used by the aniline-dye industry.
interchangeable_manufacture,breech_loading_artillery,era_6,era_8,factory_organization,artillery,Production,Military,CROSS_BRANCH_JUSTIFIED,yes,Precision interchangeable manufacture enables reliable breech mechanisms and ammunition tolerances for modern artillery.
shell_gun,breech_loading_artillery,era_6,era_8,artillery,artillery,Naval,Military,CROSS_BRANCH_JUSTIFIED,yes,Direct continuation within the same conceptual technology family.
nationalism,civilizing_mission,era_7,era_8,nationalism_imperialism,nationalism_imperialism,Society,Society,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
quinine,civilizing_mission,era_7,era_8,public_health,nationalism_imperialism,Society,Society,PLAUSIBLE,no,Reliable tropical medicine materially enabled sustained imperial administration and the expansionist doctrine represented by the civilizing mission.
nitroglycerin,dynamite,era_7,era_8,industrial_explosives,industrial_explosives,Production,Production,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
corps_organization,enlistment_offices,era_5,era_8,military_organization,military_organization,Military,Military,ESSENTIAL,no,Direct continuation within the same conceptual technology family.
logistics,enlistment_offices,era_5,era_8,pre1836_foundation,military_organization,Military,Military,STRONG,no,Direct continuation within the same conceptual technology family.
