Technology_ID,Current_Parents,Proposed_Parents,Current_Era,Proposed_Era,Current_Role,Proposed_Role,Change_Type,Reason,Historical_Compromise,Gameplay_Benefit,Distribution_Impact,Risk
CONTENT:building_artillery_foundry,regulated_small_arms,standardized_field_artillery,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Le bâtiment et son PM de base doivent devenir disponibles ensemble.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_automotive_industry:pm_aeroplane_production,gates actuels,gates actuels + combustion_engine,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_automotive_industry:pm_all_metal_aircraft,gates actuels,gates actuels + combustion_engine,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_automotive_industry:pm_assembly_lines_building_automotive_industry,gates actuels,gates actuels + combustion_engine,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_automotive_industry:pm_scientific_management,gates actuels,gates actuels + combustion_engine,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,"Créer une variante PM propre au bâtiment avant d’ajouter le gate, car le PM générique est partagé.",Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_cotton_plantation,cotton_gin,aucun gate bâtiment; cotton_gin reste un progrès de PM,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,La plantation précède l’égreneuse et ne doit pas bloquer les PM ferroviaires.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_electrics_industry:pm_scientific_management,gates actuels,gates actuels + telephone,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,"Créer une variante PM propre au bâtiment avant d’ajouter le gate, car le PM générique est partagé.",Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_explosives_factory:pm_brine_electrolysis,gates actuels,gates actuels + nitroglycerin,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_glassworks:pm_bone_china,gates actuels,gates actuels + traditional_glassmaking,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
CONTENT:building_gold_mine:pm_atmospheric_engine_pump_building_gold_mine,gates actuels,gates actuels + applied_mineralogy,N/A,N/A,Gate de contenu,Causalité bâtiment → PM garantie,MOVE_UNLOCK,Ajouter le gate cumulatif du bâtiment au PM sans modifier la technologie générale.,Aucun; correction de disponibilité gameplay.,Supprime une violation de causalité sans transformer une technologie générale en dépendance sectorielle.,Aucun grant pays attendu,MEDIUM: vérifier les PM partagés et l’interface runtime.
