modifier,current_value,mechanical_effect,classification,historical_fit,balance_risk,interaction_with_ven_gen_stack,recommended_action,candidate_value_min,candidate_value_max,notes
"state_aristocrats_investment_pool_efficiency_mult","0.50","Augmente de 50 % l'efficacité des profits investis par les aristocrates dans le pool d'investissement.","PLAUSIBLE_BUT_OVERTUNED","Élevé : le capital patricien est central à Venise et à Gênes, mais +50 % reproduit le maximum rural d'Agrarianism sans contrepartie sectorielle.","Élevé : se cumule avec la puissance politique aristocratique de Merchant Republic et avec une allocation privée de 50 %.","Merchant Republic donne +50 % de force politique aux aristocrates ; Centre of Commerce et Mercantilism rendent leurs investissements commerciaux particulièrement rentables.","REDUCE_AND_KEEP","0.35","0.40","Option B : conserver un rôle patricien fort mais inférieur au bonus spécialisé des shopkeepers."
"state_shopkeepers_investment_pool_efficiency_mult","0.50","Augmente de 50 % l'efficacité des profits investis par les shopkeepers dans le pool d'investissement.","CORE_MERCHANT_REPUBLIC_FLAVOR","Élevé : correspond au capital marchand et urbain, même si la catégorie Victoria 3 agrège aussi des petits propriétaires non financiers.","Moyen à élevé : valeur très forte, mais justifiée si les bonus publics génériques sont supprimés et si une contrainte territoriale existe.","Merchant Republic ajoute +50 % de force politique et +100 de pouvoir électoral aux shopkeepers ; le bonus alimente donc aussi la classe déjà favorisée institutionnellement.","KEEP_SPECIALTY_CAP","0.45","0.50","Option B : en faire le principal avantage d'investissement de la loi."
"state_trade_advantage_mult","0.10","Augmente de 10 % l'avantage commercial global de chaque État.","CORE_MERCHANT_REPUBLIC_FLAVOR","Très élevé : commerce, information, crédit maritime et intermédiation sont les domaines les mieux attestés.","Moyen isolément ; élevé dans la pile initiale à cause de +25 % d'avantage exportateur de Mercantilism et +20 % du Centre of Commerce.","La pile atteint +45 % d'avantage exportateur, +10 % d'avantage commercial générique et +50 % de throughput des centres de commerce.","KEEP_OR_CONDITIONAL_REBUFF","0.10","0.15","Le haut de fourchette n'est acceptable qu'avec Option B/B1 et retrait des bonus d'économie publique."
"state_capitalists_investment_pool_efficiency_mult","-0.10","Réduit de 10 % l'efficacité des profits investis par les capitalistes.","GOOD_CONSTRAINT","Élevé : traduit l'accès fermé au capital, la prééminence des lignages et une transition moins fluide vers le capitalisme industriel moderne.","Faible comme contrainte actuelle : -10 % ne compense pas +50 % aristocrates, +50 % shopkeepers et 50 % d'allocation privée.","La forte construction privée et les bonus commerciaux rendent la pénalité actuelle presque indolore à mesure que les capitalistes apparaissent.","STRENGTHEN_CONSTRAINT","-0.25","-0.15","Option B : -0.20 conseillé ; éviter une pénalité supérieure à Agrarianism sans test d'industrialisation."
"country_private_construction_allocation_mult","0.50","Réserve préférentiellement 50 % de la construction hebdomadaire à la construction privée.","GENERIC_POWER_BONUS","Moyen : une place importante de l'investissement privé est plausible, mais cette clé n'est ni commerciale ni maritime et couvre toute l'économie.","Élevé : égale Interventionism et Agrarianism, puis exploite deux classes à +50 % ; dépasse largement la spécialisation modeste recherchée.","Le pool gonflé par aristocrates et shopkeepers peut utiliser immédiatement la moitié de la capacité de construction, sans restriction sectorielle.","REDUCE","0.35","0.40","Option B : rester au-dessus de Cooperative Ownership (0.35) au plus, mais sous Interventionism/Agrarianism (0.50)."
"building_nationalization_investment_return_add","0.50","Renvoie 50 % de la compensation de nationalisation vers le pool d'investissement.","HISTORICALLY_QUESTIONABLE","Faible : le financement public génois et la réglementation vénitienne n'équivalent pas à une supériorité générale de nationalisation industrielle.","Moyen à élevé à long terme ; dormant avant les nationalisations mais supprime ensuite une partie de leur coût macroéconomique.","Fonctionne avec l'obligation de compenser et avec les deux bonus de dividendes publics, donnant à la loi une boucle de propriété publique complète.","REMOVE","0.00","0.00","Copié d'Agrarianism ; ce n'est pas un marqueur propre aux républiques marchandes."
"country_government_dividends_reinvestment_add","0.50","Réinvestit 50 % des dividendes des bâtiments nationalement possédés dans le pool au lieu de les verser au Trésor.","GENERIC_POWER_BONUS","Faible à moyen : la dette publique et les magistratures économiques ne justifient pas une règle générale pour les entreprises nationalisées.","Élevé : égale Interventionism/Agrarianism et crée un moteur public-privé sans rapport avec la taille territoriale.","Avec +30 % d'efficacité des dividendes publics et +50 % de retour de nationalisation, la loi cumule trois avantages de propriété publique.","REMOVE","0.00","0.00","Conditionnellement inactif sans bâtiments nationaux, mais puissant dès que la propriété publique s'étend ; non redondant à long terme."
"country_government_dividends_efficiency_add","0.30","Augmente de 30 % la part des dividendes publics restants convertie en recettes du Trésor.","GENERIC_POWER_BONUS","Faible : aucune supériorité générale de gestion d'une économie publique moderne n'est établie pour 1776.","Élevé : dépasse Interventionism (+25 %) et n'est égalé que par Agrarianism (+30 %) ; il gomme un coût de la propriété publique.","Il s'applique après le réinvestissement de 50 %, donc il n'est pas arithmétiquement redondant ; il renforce la même boucle de nationalisation.","REMOVE","0.00","0.00","Réserver ce type d'avantage à Interventionism/Command Economy."
"country_free_charters_add","1","Autorise une charte de compagnie sans coût d'autorité.","CORE_MERCHANT_REPUBLIC_FLAVOR","Élevé : les entreprises privilégiées, concessions et formes de partenariat public-marchand sont cohérentes, sans assimiler la république à une économie publique moderne.","Moyen : avantage fort mais borné ; Laissez-Faire en reçoit 2 et plusieurs lois en reçoivent 1.","Merchant Republic fournit +100 d'autorité et Centre of Commerce renforce le commerce ; la charte gratuite rend cette synergie immédiatement exploitable.","KEEP","1","1","Conserver une seule charte ; ne pas ajouter simultanément monopole gratuit ou compagnies supplémentaires sans audit dédié."
"country_disable_nationalization_without_compensation_bool","yes","Interdit de nationaliser les bâtiments appartenant aux pops sans indemniser leurs propriétaires.","GOOD_CONSTRAINT","Très élevé : protège le capital privé/patricien et impose un coût à l'intervention de l'État.","Faible ; c'est une restriction, pas un bonus.","Contrepoids utile à Merchant Republic ; il perd toutefois sa force si les trois bonus de nationalisation/dividendes restent actifs.","KEEP","yes","yes","Conserver même après suppression des bonus publics : la protection de la propriété est une bonne contrainte structurelle."
