Region,Owner_TAG,Country,State_ID,State_Name,Building_ID,Building_Name,Target_Level,Confidence,Economic_Role,Domestic_Demand,Export_Orientation,Industry_Form,Scale_Evidence,Level_Rationale,Tech_Distribution_Review,Map_Rework_Risk,Source_1,Source_2,Notes
R1_WESTERN_EUROPE,TUR,Turkey,STATE_ATTICA,Attica,building_vineyard,Vineyards,1,MEDIUM,MEDITERRANEAN_VITICULTURE,DOMESTIC_REGIONAL,DOMESTIC_AND_REGIONAL,TRADITIONAL_OR_ORGANIZED_SECTOR,The agricultural zoning evidence identifies littoral Greek areas with vines/olives in the long eighteenth-century agrarian system.,"Level 1 marks a documented traditional regional specialization, not an industrial concentration.",YES,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_CRETE,Crete,building_vineyard,Vineyards,1,MEDIUM,MEDITERRANEAN_VITICULTURE,DOMESTIC_REGIONAL,DOMESTIC_AND_REGIONAL,TRADITIONAL_OR_ORGANIZED_SECTOR,The agricultural zoning evidence identifies littoral Greek areas with vines/olives in the long eighteenth-century agrarian system.,"Level 1 marks a documented traditional regional specialization, not an industrial concentration.",YES,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_EAST_AEGEAN_ISLANDS,East Aegean Islands,building_vineyard,Vineyards,1,MEDIUM,MEDITERRANEAN_VITICULTURE,DOMESTIC_REGIONAL,DOMESTIC_AND_REGIONAL,TRADITIONAL_OR_ORGANIZED_SECTOR,The agricultural zoning evidence identifies littoral Greek areas with vines/olives in the long eighteenth-century agrarian system.,"Level 1 marks a documented traditional regional specialization, not an industrial concentration.",YES,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_PELOPONNESE,Peloponnese,building_vineyard,Vineyards,1,MEDIUM,MEDITERRANEAN_VITICULTURE,DOMESTIC_REGIONAL,DOMESTIC_AND_REGIONAL,TRADITIONAL_OR_ORGANIZED_SECTOR,The agricultural zoning evidence identifies littoral Greek areas with vines/olives in the long eighteenth-century agrarian system.,"Level 1 marks a documented traditional regional specialization, not an industrial concentration.",YES,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_MACEDONIA,Macedonia,building_wheat_farm,Wheat Farms,1,MEDIUM,CEREAL_AGRICULTURE,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,TRADITIONAL_OR_ORGANIZED_SECTOR,"Plains of Thessaly, Macedonia and Thrace are identified as cereal-producing zones in the historical agrarian pattern.",Level 1 is a conservative organized agrarian baseline.,YES,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_MACEDONIA,Macedonia,building_cotton_plantation,Cotton Plantations,1,MEDIUM,COTTON_CULTIVATION,DOMESTIC_REGIONAL,REGIONAL_MARKET,TRADITIONAL_OR_ORGANIZED_SECTOR,The same agrarian zoning identifies cotton among plain-zone commercial crops.,Level 1 avoids implying later nineteenth-century export scale.,NO,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_THESSALIA,Thessaly,building_wheat_farm,Wheat Farms,1,MEDIUM,CEREAL_AGRICULTURE,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,TRADITIONAL_OR_ORGANIZED_SECTOR,"Plains of Thessaly, Macedonia and Thrace are identified as cereal-producing zones in the historical agrarian pattern.",Level 1 is a conservative organized agrarian baseline.,YES,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_THESSALIA,Thessaly,building_cotton_plantation,Cotton Plantations,1,MEDIUM,COTTON_CULTIVATION,DOMESTIC_REGIONAL,REGIONAL_MARKET,TRADITIONAL_OR_ORGANIZED_SECTOR,The same agrarian zoning identifies cotton among plain-zone commercial crops.,Level 1 avoids implying later nineteenth-century export scale.,NO,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_EASTERN_THRACE,Eastern Thrace,building_wheat_farm,Wheat Farms,1,MEDIUM,CEREAL_AGRICULTURE,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,TRADITIONAL_OR_ORGANIZED_SECTOR,"Plains of Thessaly, Macedonia and Thrace are identified as cereal-producing zones in the historical agrarian pattern.",Level 1 is a conservative organized agrarian baseline.,YES,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_EASTERN_THRACE,Eastern Thrace,building_cotton_plantation,Cotton Plantations,1,MEDIUM,COTTON_CULTIVATION,DOMESTIC_REGIONAL,REGIONAL_MARKET,TRADITIONAL_OR_ORGANIZED_SECTOR,The same agrarian zoning identifies cotton among plain-zone commercial crops.,Level 1 avoids implying later nineteenth-century export scale.,NO,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_NORTHERN_THRACE,Northern Thrace,building_wheat_farm,Wheat Farms,1,MEDIUM,CEREAL_AGRICULTURE,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,TRADITIONAL_OR_ORGANIZED_SECTOR,"Plains of Thessaly, Macedonia and Thrace are identified as cereal-producing zones in the historical agrarian pattern.",Level 1 is a conservative organized agrarian baseline.,YES,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_NORTHERN_THRACE,Northern Thrace,building_cotton_plantation,Cotton Plantations,1,MEDIUM,COTTON_CULTIVATION,DOMESTIC_REGIONAL,REGIONAL_MARKET,TRADITIONAL_OR_ORGANIZED_SECTOR,The same agrarian zoning identifies cotton among plain-zone commercial crops.,Level 1 avoids implying later nineteenth-century export scale.,NO,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_WESTERN_THRACE,Western Thrace,building_wheat_farm,Wheat Farms,1,MEDIUM,CEREAL_AGRICULTURE,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,TRADITIONAL_OR_ORGANIZED_SECTOR,"Plains of Thessaly, Macedonia and Thrace are identified as cereal-producing zones in the historical agrarian pattern.",Level 1 is a conservative organized agrarian baseline.,YES,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_WESTERN_THRACE,Western Thrace,building_cotton_plantation,Cotton Plantations,1,MEDIUM,COTTON_CULTIVATION,DOMESTIC_REGIONAL,REGIONAL_MARKET,TRADITIONAL_OR_ORGANIZED_SECTOR,The same agrarian zoning identifies cotton among plain-zone commercial crops.,Level 1 avoids implying later nineteenth-century export scale.,NO,NONE,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,
R1_WESTERN_EUROPE,MLT,Malta,STATE_MALTA,Malta,building_cotton_plantation,Cotton Plantations,2,HIGH,CASH_CROP_COTTON,DOMESTIC_REGIONAL,EXPORT_ORIENTED,TRADITIONAL_OR_ORGANIZED_SECTOR,Cotton was a principal Maltese cash crop and export in the later eighteenth century.,Level 2 represents strong island-wide commercial specialization without assuming industrial-scale mechanization.,NO,NONE,https://www.um.edu.mt/library/oar/handle/123456789/42151,,
R1_WESTERN_EUROPE,DENNOR,Denmark-Norway,STATE_GREENLAND,Greenland,building_trade_center,Trade Center,1,MEDIUM,COLONIAL_TRADE,DOMESTIC_REGIONAL,EXPORT_REGIONAL,TRADITIONAL_OR_ORGANIZED_SECTOR,Permanent Danish-Norwegian colonies and organized trade existed in Greenland during the eighteenth century.,One level captures the organized colonial exchange network; it does not imply dense urban commerce.,NO,NONE,https://natmus.dk/organisation/forskning-og-kulturarv/nyere-tid-og-verdens-kulturer/etnografisk-samling/arktisk-forskning/projects/phd-project/,,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,HUN,Hungary,STATE_BANAT,Banat,building_wheat_farm,Wheat Farms,1,HIGH,ARABLE_AGRICULTURE,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,TRADITIONAL_OR_ORGANIZED_SECTOR,Habsburg Banat policy after 1718 explicitly promoted settlement and agricultural improvement of arable land.,Conservative level 1 for documented organized arable expansion.,YES,NONE,https://journals.univie.ac.at/index.php/rhy/article/view/7012,https://www.cambridge.org/core/books/abs/agricultural-knowledge-networks-in-rural-europe-17002000/proper-values-in-agriculture-the-role-of-agricultural-associations-in-knowledge-dissemination-in-hungary-18301880/DC43DE1AE2C2AFFD140E0CC6A790C9E6,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,HUN,Hungary,STATE_CENTRAL_HUNGARY,Great Hungarian Plain,building_wheat_farm,Wheat Farms,1,MEDIUM,ARABLE_AGRICULTURE,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,TRADITIONAL_OR_ORGANIZED_SECTOR,Hungary was a major agricultural producer/exporter and the Great Hungarian Plain is the canonical arable core.,Level 1 uses the broad national evidence conservatively at the state level.,YES,NONE,https://www.cambridge.org/core/books/abs/agricultural-knowledge-networks-in-rural-europe-17002000/proper-values-in-agriculture-the-role-of-agricultural-associations-in-knowledge-dissemination-in-hungary-18301880/DC43DE1AE2C2AFFD140E0CC6A790C9E6,,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,GAL,Galicia-Lodomeria,STATE_EAST_GALICIA,East Galicia,building_livestock_ranch,Livestock Ranches,1,HIGH,CATTLE_GRAZING,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,TRADITIONAL_OR_ORGANIZED_SECTOR,Austrian Galician sources document common-right cattle grazing and a substantial pastoral component.,Level 1 represents organized traditional livestock use.,YES,NONE,https://www.cambridge.org/core/journals/rural-history/article/conflicts-over-common-rights-to-cattle-grazing-on-common-lands-and-manorial-properties-in-austrian-galicia-17721918/8D30603CCD0470BD94EFAB725C38B2A7,,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,GAL,Galicia-Lodomeria,STATE_WEST_GALICIA,West Galicia,building_livestock_ranch,Livestock Ranches,1,HIGH,CATTLE_GRAZING,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,TRADITIONAL_OR_ORGANIZED_SECTOR,Austrian Galician sources document common-right cattle grazing and a substantial pastoral component.,Level 1 represents organized traditional livestock use.,YES,NONE,https://www.cambridge.org/core/journals/rural-history/article/conflicts-over-common-rights-to-cattle-grazing-on-common-lands-and-manorial-properties-in-austrian-galicia-17721918/8D30603CCD0470BD94EFAB725C38B2A7,,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,AUS,Austria,STATE_BUKOVINA,Bukovina,building_salt_mine,Salt Mines,1,MEDIUM,SALT_EXTRACTION,DOMESTIC_REGIONAL,REGIONAL_MARKET,TRADITIONAL_OR_ORGANIZED_SECTOR,Bukovina is documented as a salt-rich territory at the start of Habsburg rule in the 1770s.,Level 1 is a conservative extraction seed near the target date.,YES,NONE,https://www.jstor.org/stable/jj.5329287.8,,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,TRS,Transylvania,STATE_NORTHERN_TRANSYLVANIA,Northern Transylvania,building_salt_mine,Salt Mines,1,HIGH,SALT_EXTRACTION,DOMESTIC_REGIONAL,REGIONAL_MARKET,TRADITIONAL_OR_ORGANIZED_SECTOR,Habsburg cartographic/administrative evidence explicitly records Transylvanian salt mines and salt administration in 1773.,Level 1 conservatively captures the established salt sector.,YES,NONE,https://www.cambridge.org/core/journals/austrian-history-yearbook/article/abs/putting-transylvania-on-the-map-cartography-and-enlightened-absolutism-in-the-habsburg-monarchy/409D737C58ADAEE026CF4DBC39229CB4,,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,TRS,Transylvania,STATE_SOUTHERN_TRANSYLVANIA,Southern Transylvania,building_salt_mine,Salt Mines,1,HIGH,SALT_EXTRACTION,DOMESTIC_REGIONAL,REGIONAL_MARKET,TRADITIONAL_OR_ORGANIZED_SECTOR,Habsburg cartographic/administrative evidence explicitly records Transylvanian salt mines and salt administration in 1773.,Level 1 conservatively captures the established salt sector.,YES,NONE,https://www.cambridge.org/core/journals/austrian-history-yearbook/article/abs/putting-transylvania-on-the-map-cartography-and-enlightened-absolutism-in-the-habsburg-monarchy/409D737C58ADAEE026CF4DBC39229CB4,,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,KZH,Kishi Zhuz,STATE_AKTOBE,Aktobe,building_livestock_ranch,Livestock Ranches,1,LOW,PASTORAL_LIVESTOCK,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,PASTORAL_TRADITIONAL,Central Asian economic history identifies pastoral livestock and horse breeding as core eighteenth-century activities.,Level 1 only; the evidence is regional rather than a quantified owner-slice estimate.,YES,NONE,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,KZH,Kishi Zhuz,STATE_CHELYABINSK,Chelyabinsk,building_livestock_ranch,Livestock Ranches,1,LOW,PASTORAL_LIVESTOCK,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,PASTORAL_TRADITIONAL,Central Asian economic history identifies pastoral livestock and horse breeding as core eighteenth-century activities.,Level 1 only; the evidence is regional rather than a quantified owner-slice estimate.,YES,NONE,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,OZH,Orta Zhuz,STATE_CHELYABINSK,Chelyabinsk,building_livestock_ranch,Livestock Ranches,1,LOW,PASTORAL_LIVESTOCK,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,PASTORAL_TRADITIONAL,Central Asian economic history identifies pastoral livestock and horse breeding as core eighteenth-century activities.,Level 1 only; the evidence is regional rather than a quantified owner-slice estimate.,YES,NONE,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,KZH,Kishi Zhuz,STATE_KHIVA,Chorasmia,building_livestock_ranch,Livestock Ranches,1,LOW,PASTORAL_LIVESTOCK,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,PASTORAL_TRADITIONAL,Central Asian economic history identifies pastoral livestock and horse breeding as core eighteenth-century activities.,Level 1 only; the evidence is regional rather than a quantified owner-slice estimate.,YES,NONE,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,TRM,Turkmenia,STATE_KHIVA,Chorasmia,building_livestock_ranch,Livestock Ranches,1,LOW,PASTORAL_LIVESTOCK,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,PASTORAL_TRADITIONAL,Central Asian economic history identifies pastoral livestock and horse breeding as core eighteenth-century activities.,Level 1 only; the evidence is regional rather than a quantified owner-slice estimate.,YES,NONE,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,OZH,Orta Zhuz,STATE_SEMIRECHE,Semipalatinsk,building_livestock_ranch,Livestock Ranches,1,LOW,PASTORAL_LIVESTOCK,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,PASTORAL_TRADITIONAL,Central Asian economic history identifies pastoral livestock and horse breeding as core eighteenth-century activities.,Level 1 only; the evidence is regional rather than a quantified owner-slice estimate.,YES,NONE,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,KZH,Kishi Zhuz,STATE_SYRDARYA,Syrdarya,building_livestock_ranch,Livestock Ranches,1,LOW,PASTORAL_LIVESTOCK,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,PASTORAL_TRADITIONAL,Central Asian economic history identifies pastoral livestock and horse breeding as core eighteenth-century activities.,Level 1 only; the evidence is regional rather than a quantified owner-slice estimate.,YES,NONE,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,OZH,Orta Zhuz,STATE_SYRDARYA,Syrdarya,building_livestock_ranch,Livestock Ranches,1,LOW,PASTORAL_LIVESTOCK,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,PASTORAL_TRADITIONAL,Central Asian economic history identifies pastoral livestock and horse breeding as core eighteenth-century activities.,Level 1 only; the evidence is regional rather than a quantified owner-slice estimate.,YES,NONE,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,UZH,Uly Zhuz,STATE_SYRDARYA,Syrdarya,building_livestock_ranch,Livestock Ranches,1,LOW,PASTORAL_LIVESTOCK,DOMESTIC_REGIONAL,MIXED_OR_UNCERTAIN,PASTORAL_TRADITIONAL,Central Asian economic history identifies pastoral livestock and horse breeding as core eighteenth-century activities.,Level 1 only; the evidence is regional rather than a quantified owner-slice estimate.,YES,NONE,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,
