scope_group,country_tag,general_slot,formation_id,formation_name,hq_region,formation_state_basis,current_character,current_status,candidate_full_name,decision,decision_class,confidence,admissible_1776_01_01,birth_date,birth_date_precision,birth_place_historical,birth_polity_at_birth,v3_birth_state,v3_birth_state_confidence,death_date,death_date_precision,rank_1776_01_01,military_office_1776_01_01,office_start,office_end,command_type,formation_theatre_mapping,mapping_justification,culture_v3,culture_confidence,religion,religion_confidence,social_origin,ig_mapping_suggested,ideology_mapping_suggested,traits_suggested,portrait_status,portrait_reference,dna_existing,dna_reference,template_existing,template_reference,repo_character_existing,repo_event_hook,source_1,source_2,source_3,source_notes,decision_notes,research_only_no_implementation
PRUSSIA,PRU,GEN1776-003,cleanup2d4_formation_003,cleanup2d3b_pru_land_4,region_central_europe,"ANHALT + BRANDENBURG; conscript footprint across Brandenburg, Silesia, Westphalia, East/West Prussia, Rhineland/Pomerania",PROCEDURAL,PROCEDURAL,Friedrich Ehrenreich von Ramin,ACCEPT_REPLACE_PROCEDURAL,TERRITORIAL_COMMAND_ABSTRACTION,MEDIUM-HIGH,YES,1709-04-10,DAY,"Brüssow, Uckermark",Brandenburg-Prussia / Kingdom of Prussia,STATE_BRANDENBURG,HIGH,1782-12-02,DAY,Generalleutnant,Governor of Berlin,1767-07,1782-12-02,TERRITORIAL_HIGH_COMMAND,Broad central-Prussian / Brandenburg rear-area abstraction,"Active senior Frederician general and Governor of Berlin from 1767. Not a field-army commander on 1776-01-01, so use only as an explicitly labelled territorial-command abstraction.",north_german,HIGH,Evangelical/Protestant (source marks with uncertainty),MEDIUM,Old landed nobility,ig_armed_forces,royalist/traditionalist (gameplay inference only),No strong trait recommendation beyond experienced senior commander; avoid overfitting,CONTEMPORARY_PORTRAIT_NOT_VERIFIED_IN_THIS_AUDIT,,NO,No candidate-specific reusable DNA found in common/dna_data/ during this audit.,NO,No candidate-specific reusable character template found in common/character_templates/.,NO_NEW_REUSABLE_PROFILE,NO_RELEVANT_EXISTING_EVENT_HOOK_FOUND,Deutsche Biographie — Friedrich Ehrenreich von Ramin — https://www.deutsche-biographie.de/gnd124458947.html,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,"Chosen over an ungrounded procedural general; weaker geographic fit than Tauentzien/Saldern, hence abstraction label.",YES
PRUSSIA,PRU,GEN1776-004,cleanup2d4_formation_004,cleanup2d3b_pru_land_1 / 2_Armee,region_central_europe,ANHALT,PROCEDURAL,PROCEDURAL,Friedrich Christoph von Saldern,ACCEPT_REPLACE_PROCEDURAL,TERRITORIAL_INSPECTORATE_ABSTRACTION,HIGH,YES,1719-06-02,DAY,"Kolberg (Kołobrzeg), Pomerania",Kingdom of Prussia,STATE_POMERANIA,HIGH,1785-03-14,DAY,Generalleutnant,Inspector of infantry in the Duchy of Magdeburg and Altmark,1763,1785,INFANTRY_INSPECTORATE,Anhalt/Magdeburg-central Prussian formation,The formation is Anhalt-centred; Saldern's continuing Magdeburg/Altmark infantry inspectorate is the closest documented 1776 command structure among senior Frederician generals.,north_german,HIGH,Evangelical,HIGH,Lower-Saxon/Prussian nobility; military family,ig_armed_forces,royalist/traditionalist (gameplay inference only),meticulous; infantry drill/tactics emphasis (gameplay inference),CONTEMPORARY_PORTRAIT_NOT_VERIFIED_IN_THIS_AUDIT,,NO,No candidate-specific reusable DNA found in common/dna_data/ during this audit.,NO,No candidate-specific reusable character template found in common/character_templates/.,NO_NEW_REUSABLE_PROFILE,NO_RELEVANT_EXISTING_EVENT_HOOK_FOUND,Deutsche Biographie — Friedrich Christoph von Saldern — https://www.deutsche-biographie.de/gnd100202284.html,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,YES
PRUSSIA,PRU,GEN1776-005,cleanup2d4_formation_005,cleanup2d3b_pru_land_2 / main_Armee,region_central_europe,ANHALT + LOWER_SILESIA,PROCEDURAL,PROCEDURAL,Wichard Joachim Heinrich von Möllendorff,ACCEPT_REPLACE_PROCEDURAL,INSPECTORATE_ABSTRACTION,MEDIUM-HIGH,YES,1724-01-07,DAY,"Lindenberg, Prignitz",Kingdom of Prussia / Margraviate of Brandenburg,STATE_BRANDENBURG,HIGH,1816-01-28,DAY,General officer; exact 1776 rank should be checked against a contemporary Rangliste before coding,Infantry inspectorate service (Märkische/Pomeranian inspection sequence after the Seven Years' War),after 1763,before/into 1783 depending inspectorate assignment,INFANTRY_INSPECTORATE,Central/eastern Prussian main-army abstraction,A proven senior Frederician general in continuing inspectorate duty by 1776. The exact inspectorate chronology/rank should be checked in a contemporary Rangliste before implementation.,north_german,HIGH,Evangelical,HIGH,Old Prignitz landed nobility,ig_armed_forces,royalist/moderate-conservative (gameplay inference only),experienced commander; disciplined/organizational profile (gameplay inference),CONTEMPORARY_PORTRAIT_NOT_VERIFIED_IN_THIS_AUDIT,,NO,No candidate-specific reusable DNA found in common/dna_data/ during this audit.,NO,No candidate-specific reusable character template found in common/character_templates/.,NO_NEW_REUSABLE_PROFILE,NO_RELEVANT_EXISTING_EVENT_HOOK_FOUND,Deutsche Biographie — Wichard Joachim Heinrich von Möllendorff — https://www.deutsche-biographie.de/gnd117081051.html,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,Exact January-1776 rank and exact inspectorate transfer date remain the principal primary-source verification item.,,YES
PRUSSIA,PRU,GEN1776-006,cleanup2d4_formation_006,cleanup2d3b_pru_land_3 / Elbe_Armee,region_central_europe,LOWER_SILESIA + BRANDENBURG,PROCEDURAL,PROCEDURAL,Friedrich Bogislaw (Boguslaw) von Tauentzien,ACCEPT_REPLACE_PROCEDURAL,TERRITORIAL_INSPECTORATE_ABSTRACTION,HIGH,YES,1710-04-18,DAY,"Tauentzien (Tawecino), Lauenburg district, Hinterpommern",Brandenburg-Prussia / Kingdom of Prussia,STATE_POMERANIA,HIGH,1791-03-21,DAY,General der Infanterie (promoted 1775),Governor of Breslau; Silesian infantry inspector,1763,inspection to 1784; governor to 1791,TERRITORIAL_AND_INFANTRY_INSPECTORATE,Lower-Silesian formation,Strongest geographic fit in the Prussian audit: continuing Breslau/Silesian command and inspectorate directly overlap the formation's Lower Silesia base.,north_german,HIGH,Not independently verified in this audit,UNKNOWN,Pomeranian/Prussian nobility,ig_armed_forces,royalist/traditionalist (gameplay inference only),stalwart defender / experienced defensive commander (gameplay inference),CONTEMPORARY_PORTRAIT_NOT_VERIFIED_IN_THIS_AUDIT,,NO,No candidate-specific reusable DNA found in common/dna_data/ during this audit.,NO,No candidate-specific reusable character template found in common/character_templates/.,NO_NEW_REUSABLE_PROFILE,NO_RELEVANT_EXISTING_EVENT_HOOK_FOUND,Deutsche Biographie — Friedrich Bogislaw von Tauentzien — https://www.deutsche-biographie.de/gnd117250686.html,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,YES
ITALY_NORTHWEST,GEN,GEN1776-007,cleanup2d4_formation_007,cleanup2d3e_r1_gen_land_1,region_southern_europe,STATE_PIEDMONT,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,Do not force a Genoese general without a documented army-level appointment active on 1776-01-01.,YES
ITALY_NORTH,VEN,GEN1776-008,cleanup2d4_formation_008,cleanup2d3e_r1_ven_land_1,region_southern_europe,STATE_ISTRIA; conscripts VENETIA/ISTRIA/SOUTH_TYROL,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,Venetian military command was institutionally complex; no sufficiently documented single army-level holder was established for the cutoff.,YES
HABSBURG_AUSTRIA,AUS,GEN1776-009,cleanup2d4_formation_009,cleanup2d3b_aus_land_3,region_balkans,STATE_BUKOVINA + wide Habsburg conscript footprint,Andreas Hadik,HISTORICAL_NAMED,Gabriel Freiherr Splényi von Miháldy,ACCEPT_REPLACE_CURRENT_AND_REMAP_HADIK,DIRECT_TERRITORIAL_COMMAND,HIGH_FOR_OFFICE_MEDIUM_FOR_BIODETAILS,YES,1734-10-02,DAY,"Ternyn, Upper Hungary","Kingdom of Hungary, Habsburg Monarchy",STATE_SLOVAKIA,MEDIUM — historical Ternyn mapping should be geochecked before coding,1814-04-01,DAY,Generalmajor,Military organizer/commander responsible for newly acquired Bukovina,appointed 1773-05; occupation/administration from 1774-09-01,1778-04-06 / reassigned in 1778,DIRECT_TERRITORIAL_COMMAND,Bukovina,The formation's permanent units are based in Bukovina. Splényi was appointed before the cutoff specifically to organize and administer the newly acquired province.,hungarian,MEDIUM,Catholic,HIGH,Hungarian noble military family; son of an imperial cavalry general,ig_armed_forces,royalist (gameplay inference only),organizer / meticulous / experienced administrator (gameplay inference),CONTEMPORARY_PORTRAIT_NOT_VERIFIED_IN_THIS_AUDIT,,NO,No candidate-specific reusable DNA found in common/dna_data/ during this audit.,NO,No candidate-specific reusable character template found in common/character_templates/.,NO_NEW_REUSABLE_PROFILE,NO_RELEVANT_EXISTING_EVENT_HOOK_FOUND,Deutsche Biographie — Gabriel Freiherr Splényi von Miháldy — https://www.deutsche-biographie.de/gnd121754561.html,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,Death-date conflict in biographical traditions: Deutsche Biographie/ADB gives 1814-04-01; some older biographical compilations give 1818-04-01. Preserve conflict until primary confirmation.,"Hadik is not rejected; he is remapped to the central AUS slot because his Jan-1776 office is Hofkriegsrat president, not Bukovina field/territorial commander.",YES
HABSBURG_AUSTRIA,AUS,GEN1776-010,cleanup2d4_formation_010,cleanup2d3b_aus_land_4 / generalkommando_lemberg,region_central_europe,STATE_AUSTRIA in current unit placement; formation identity explicitly Lemberg,PROCEDURAL,PROCEDURAL,Joseph (Josip/József) Šišković,ACCEPT_REPLACE_PROCEDURAL,DIRECT_TERRITORIAL_COMMAND,HIGH_FOR_ADMISSIBILITY_MEDIUM_FOR_BIODETAILS,YES,1719-07-02,DAY,Szeged,"Kingdom of Hungary, Habsburg Monarchy",STATE_CENTRAL_HUNGARY,MEDIUM — geographic mapping; verify exact mod state key before coding,1783-02-04,DAY,Feldzeugmeister,Military commander / commanding general in Galicia,1775-10-13 (appointment period; some accounts state September 1775),1779-04-30 transfer to Bohemia,DIRECT_TERRITORIAL_COMMAND,Lemberg / Galicia,Direct fit to the formation identity: he was appointed to the Galician military command before 1776-01-01.,croat,MEDIUM — Bunjevac/Dalmatian family simplified to V3 Croatian,Catholic,MEDIUM-HIGH,Military-border/Bunjevac family elevated in Habsburg service,ig_armed_forces,royalist (gameplay inference only),experienced organizer / border-command specialist (gameplay inference),CONTEMPORARY_PORTRAIT_AVAILABLE,Wikimedia Commons — Category: Josip Šišković — https://commons.wikimedia.org/wiki/Category:Josip_%C5%A0i%C5%A1kovi%C4%87,NO,No candidate-specific reusable DNA found in common/dna_data/ during this audit.,NO,No candidate-specific reusable character template found in common/character_templates/.,NO_NEW_REUSABLE_PROFILE,NO_RELEVANT_EXISTING_EVENT_HOOK_FOUND,Hrvatska enciklopedija — Josip Šišković — https://www.enciklopedija.hr/clanak/siskovic-josip,Wikimedia Commons — Category: Josip Šišković — https://commons.wikimedia.org/wiki/Category:Josip_%C5%A0i%C5%A1kovi%C4%87,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,"Death-date conflict: Croatian Encyclopedia gives Prague, 1783-02-04; other catalogues/databases circulate December 1783 dates. Use 1783-02-04 only with source note until archival confirmation.",,YES
HABSBURG_AUSTRIA,AUS,GEN1776-011,cleanup2d4_formation_011,cleanup2d3b_aus_land_1,region_central_europe,STATE_AUSTRIA,Franz Moritz von Lacy,HISTORICAL_NAMED,Andreas Hadik von Futak,ACCEPT_REPLACE_LACY_HIGHER_COMMAND_ABSTRACTION,HIGHER_COMMAND_ABSTRACTION,HIGH,YES,1710-10-16,DAY,"Csallóköz / Große Schüttinsel (Žitný ostrov), Kingdom of Hungary","Kingdom of Hungary, Habsburg Monarchy",STATE_SLOVAKIA,MEDIUM-HIGH,1790-03-12,DAY,Feldmarschall,President of the Hofkriegsrat,1774-05,1790,CENTRAL_SUPREME_MILITARY_ADMINISTRATION,Vienna/central Habsburg army abstraction,Hadik is the most defensible higher-command abstraction: on 1776-01-01 he held the top central military-administrative office of the monarchy. He should not be presented as direct commander of this specific army.,hungarian,HIGH,Catholic,HIGH,Hungarian noble military family; father served as a hussar captain,ig_armed_forces,royalist (gameplay inference only),experienced offensive commander / bold raider; senior administrator (gameplay inference),CONTEMPORARY_PORTRAIT_AVAILABLE,Contemporary engraving by J. E. Mansfeld after G. Weikert is recorded in biographical collections; verify reproduction rights/source before mod use.,NO,No candidate-specific reusable DNA found in common/dna_data/ during this audit.,NO,No candidate-specific reusable character template found in common/character_templates/.,NO_NEW_REUSABLE_PROFILE,NO_RELEVANT_EXISTING_EVENT_HOOK_FOUND,Deutsche Biographie — Andreas Hadik von Futak — https://www.deutsche-biographie.de/gnd129786578.html,Österreichisches Staatsarchiv / Archivinformationssystem — Hofkriegsrat administrative history — https://www.archivinformationssystem.at/archivplansuche.aspx?ID=2351669,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,"Lacy re-evaluation: born 1725-10-21 St Petersburg, died 1801-11-24 Vienna; Austrian Field Marshal; army General Inspector from 1765; Hofkriegsrat president 1766-1774; from 1774-05-28 member of the State Council. He remains historically important but no longer held the Hofkriegsrat presidency on 1776-01-01. Sources: Deutsche Biographie — Franz Moritz von Lacy — https://www.deutsche-biographie.de/gnd118778404.html ; Österreichisches Staatsarchiv / Archivinformationssystem — Hofkriegsrat administrative history — https://www.archivinformationssystem.at/archivplansuche.aspx?ID=2351669","Explicit HIGHER_COMMAND_ABSTRACTION. This is a remap, not evidence that Hadik directly commanded the in-game formation.",YES
HABSBURG_AUSTRIA,AUS,GEN1776-012,cleanup2d4_formation_012,cleanup2d3b_aus_land_2 / armee_in_italien_scope,region_southern_europe,STATE_LOMBARDY,PROCEDURAL,PROCEDURAL,Giovanni Battista Serbelloni,ACCEPT_REPLACE_PROCEDURAL,DIRECT_TERRITORIAL_COMMAND,HIGH_FOR_OFFICE_MEDIUM_FOR_EXACT_BIODETAILS,YES,1696,YEAR,Milan (probable; exact birthplace not independently pinned down in this audit),Duchy of Milan under the Spanish Habsburg Crown,STATE_LOMBARDY,HIGH,1778,YEAR,Imperial Field Marshal,Commanding General of the Imperial Army in Italy / Lombardy,1762,1778 (still associated with Milan; exact terminal office date to confirm),DIRECT_REGIONAL_HIGH_COMMAND,Lombardy / Imperial Army in Italy,Direct theatre fit: Serbelloni was appointed commanding general of the imperial army in Italy in 1762 and remained a senior Habsburg military authority in Milan through the 1770s.,north_italian,HIGH,Catholic (probable; not independently proven in this audit),MEDIUM,Major Milanese aristocratic/patrician family,ig_armed_forces,royalist (gameplay inference only),experienced commander / aristocratic military administrator (gameplay inference),CONTEMPORARY_PORTRAIT_NOT_VERIFIED_IN_THIS_AUDIT,,NO,No candidate-specific reusable DNA found in common/dna_data/ during this audit.,NO,No candidate-specific reusable character template found in common/character_templates/.,NO_NEW_REUSABLE_PROFILE,NO_RELEVANT_EXISTING_EVENT_HOOK_FOUND,"Elena Riva, Università Cattolica, study on Giovanni Battista Serbelloni (2023) — https://publicatt.unicatt.it/handle/10807/273548",Wienbibliothek Digital — Giovanni Battista Serbelloni — https://www.digital.wienbibliothek.at/name/view/5434297,"Treccani, Dizionario Biografico context for the Serbelloni family — https://www.treccani.it/enciclopedia/gian-galeazzo-serbelloni_%28Dizionario-Biografico%29/","Birth-year conflict: reliable modern/authority records commonly give 1696, while some secondary traditions give 1697. Do not synthesize an exact day/month.",,YES
