tech_id,branch,era,current_prerequisites,source_vanilla_status,freeze_action,classification,proposed_action,proposed_prerequisites,implemented_prerequisites,status,notes
academia,society,era_7,rationalism,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,rationalism,PASS_NEUTRALIZED,Canonical owner: institutionalized_scientific_exchange. ID retained only because out-of-scope history/events/AI still reference it.
admiralty,military,era_7,navigation,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,navigation,PASS_NEUTRALIZED,Canonical owner: state_dockyard_systems. ID retained only because out-of-scope history/events/AI still reference it.
army_reserves,military,era_7,line_infantry,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,line_infantry,PASS_NEUTRALIZED,Canonical owner: corps_organization. ID retained only because out-of-scope history/events/AI still reference it.
artillery,military,era_7,gunsmithing,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,gunsmithing,PASS_NEUTRALIZED,Canonical owner: standardized_field_artillery. ID retained only because out-of-scope history/events/AI still reference it.
baking_powder,production,era_7,fractional_distillation,VANILLA_1_13_9_ERA_2,PRESERVE_POST1836_DEFAULT,PRESERVED_POST1836_BRIDGE,KEEP,fractional_distillation,fractional_distillation,PASS,Retained as a distinct post-1836 node.
banking,society,era_7,currency_standards,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,currency_standards,PASS_NEUTRALIZED,Canonical owner: institutionalized_public_credit. ID retained only because out-of-scope history/events/AI still reference it.
bessemer_process,production,era_7,steelworking;hot_blast_smelting,VANILLA_1_13_9_ERA_2,PRESERVE_POST1836_DEFAULT,PRESERVED_POST1836_BRIDGE,REWIRE_PREREQUISITES,hot_blast_smelting,hot_blast_smelting,PASS,Retained as a distinct post-1836 node.
central_archives,society,era_7,centralization,VANILLA_1_13_9_ERA_2,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,centralization,PASS_NEUTRALIZED,Canonical owner: systematic_administrative_statistics. ID retained only because out-of-scope history/events/AI still reference it.
central_banking,society,era_7,banking,VANILLA_1_13_9_ERA_2,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,banking,PASS_NEUTRALIZED,Canonical owner: institutionalized_public_credit. ID retained only because out-of-scope history/events/AI still reference it.
centralization,society,era_7,tech_bureaucracy;nationalism,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,tech_bureaucracy;nationalism,PASS_NEUTRALIZED,Canonical owner: systematic_population_registration. ID retained only because out-of-scope history/events/AI still reference it.
currency_standards,society,era_7,international_trade;centralization,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,international_trade;centralization,PASS_NEUTRALIZED,Canonical owner: scientific_metrology. ID retained only because out-of-scope history/events/AI still reference it.
democracy,society,era_7,rationalism,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,rationalism,PASS_NEUTRALIZED,Canonical owner: constitutional_government. ID retained only because out-of-scope history/events/AI still reference it.
dialectics,society,era_7,empiricism,VANILLA_1_13_9_ERA_2,RETIME,CONSUMED_REPLACE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,empiricism,PASS_NEUTRALIZED,Canonical owner: early_socialism_cooperativism. ID retained only because out-of-scope history/events/AI still reference it.
drydocks,military,era_7,navigation,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,navigation,PASS_NEUTRALIZED,Canonical owner: state_dockyard_systems. ID retained only because out-of-scope history/events/AI still reference it.
egalitarianism,society,era_7,democracy,VANILLA_1_13_9_ERA_2,RETIME,CONSUMED_MERGE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,democracy,PASS_NEUTRALIZED,Canonical owner: human_rights. ID retained only because out-of-scope history/events/AI still reference it.
empiricism,society,era_7,academia,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,academia,PASS_NEUTRALIZED,Canonical owner: institutionalized_scientific_exchange. ID retained only because out-of-scope history/events/AI still reference it.
gunsmithing,military,era_7,standing_army,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,standing_army,PASS_NEUTRALIZED,Canonical owner: regulated_small_arms. ID retained only because out-of-scope history/events/AI still reference it.
hydraulic_cranes,military,era_7,drydocks,VANILLA_1_13_9_ERA_2,RETIME,CONSUMED_REPLACE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,drydocks,PASS_NEUTRALIZED,Canonical owner: mechanized_naval_dockyards. ID retained only because out-of-scope history/events/AI still reference it.
international_trade,society,era_7,tech_bureaucracy,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,tech_bureaucracy,PASS_NEUTRALIZED,Canonical owner: commercial_insurance_markets. ID retained only because out-of-scope history/events/AI still reference it.
joint_stock_companies,society,era_7,banking;corporate_charters,VANILLA_1_13_9_ERA_2,MERGE,CONSUMED_MERGE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,banking;corporate_charters,PASS_NEUTRALIZED,Canonical owner: stock_exchange. ID retained only because out-of-scope history/events/AI still reference it.
law_enforcement,society,era_7,tech_bureaucracy;urban_planning;professional_civil_policing,VANILLA_1_13_9_ERA_1,RETIME,CONSUMED_REPLACE,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,tech_bureaucracy;urban_planning;professional_civil_policing,PASS_NEUTRALIZED,Canonical owner: professional_civil_policing. ID retained only because out-of-scope history/events/AI still reference it.
line_infantry,military,era_7,mandatory_service;military_drill,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,mandatory_service;military_drill,PASS_NEUTRALIZED,Canonical owner: regulated_small_arms. ID retained only because out-of-scope history/events/AI still reference it.
mandatory_service,military,era_7,standing_army,VANILLA_1_13_9_ERA_1,SPLIT,CONSUMED_SPLIT,NEUTRALIZE_CAN_RESEARCH_NO_AND_REWIRE_ACTIVE_DEPENDENTS,INACTIVE_COMPATIBILITY_ALIAS,standing_army,PASS_NEUTRALIZED,Canonical owner: corps_organization. ID retained only because out-of-scope history/events/AI still reference it.
